# Messungs_ID Temperature[K] Phase[degree] a a_error gamma gamma_error x0 x0_error 
1353 435.43 0.642952235249 497034518.946 4856.82785322 7688.68372456 0.106251390191 -1638.6168663 0.0751310129087
1356 430.9 -0.3623416579 334960582.581 5332.92125677 9269.98577568 0.208720783135 -1610.52616329 0.147587651928
1359 426.15 4.74832251683 202261906.662 5834.1101276 11094.2173077 0.452556349233 -2045.83729174 0.32000482008
1362 421.36 7.69928972599 112272022.19 6093.70950757 12103.5487186 0.929045985141 -1962.93448705 0.656932488695
1365 416.51 -0.00255691162304 71679887.3117 6488.60008036 13724.4217225 1.75687192538 -1167.13458217 1.24228987767
1368 411.7 1.89078301923 54568369.7762 6390.28004968 13310.4181672 2.20436338086 -1391.60795384 1.55871325544
1371 406.88 5.19294649797 55635105.4707 6616.63981852 14270.475838 2.40012276679 -4040.55612409 1.69713367368
1374 402.04 9.00527421469 68715745.6404 6924.65574312 15629.2622677 2.22739340289 -7141.51242373 1.57499348717
1377 397.23 2.54027685612 93315196.0784 6381.04131962 13271.6805242 1.28345971974 -6695.02518301 0.90753900837
1380 392.48 1.45549770728 153093278.52 5922.60152497 11433.7613859 0.625536365935 -10445.2004485 0.442319734995
1383 387.69 -2.03762011515 258159020.413 5303.32062152 9167.20932858 0.266327847586 -12719.052485 0.188321948546
1386 382.9 -0.508808812939 421908899.263 4753.49021973 7365.03590321 0.117350173087 -14710.7068933 0.0829790384428
1389 378.18 -0.370787899128 615253582.007 4266.08622236 5932.05749139 0.0581698171934 -16254.4871977 0.0411322550646
1392 373.27 0.343056497314 714485688.895 4091.96045148 5457.73911753 0.0442044143928 -17220.8968537 0.0312572311811
1395 368.48 -0.00037176749249 569097043.663 4492.58676893 6578.74251315 0.0734459661196 -17332.7567831 0.0519341113199
1398 363.66 2.60939787801 321361344.242 5450.54949142 9683.43588769 0.232268940265 -16471.7843593 0.164238653352
1401 358.81 -2.30446910038 248944712.454 6782.64283403 14994.8910803 0.577769393591 -11246.9758717 0.40854201539
