# Temperature[K] tau[s] tau_error Beta Beta_error M0 M0_error Moff Moff_err
305.53 0.00301561228661 7.16767430438e-08 2.82851805676 0.00019935920967 39772.5881444 0.868178863678 700.343052145 0.772935029865
310.31 0.00278054499222 7.11530498724e-08 2.63160178293 0.000191408153554 38304.8599603 0.845796770304 1958.59431969 0.743321802484
315.06 0.00264900922377 8.00673003211e-08 2.11637327349 0.000146659802086 39582.8591035 0.922663617951 719.37454505 0.805620690229
319.89 0.00249106444495 7.4196477302e-08 2.08974758796 0.000145134996731 39494.2850101 0.886729944005 401.712998685 0.764359335012
324.69 0.00196117233895 7.14460865357e-08 1.60816874967 0.000108903356145 39317.9441045 0.906551764253 459.669372341 0.738339974235
329.5 0.001255725137 5.61459718628e-07 1.28478358958 0.000256620966084 39551.2003126 13.3076074513 7.20357098224e-12 12.9294687193
334.3 0.000637310624458 6.11010788564e-08 1.27497732569 0.000135666554842 39116.8509171 2.50254716055 1.36723320512e-12 2.1192982462
339.1 0.000324445860413 2.72856081915e-08 1.24467853671 0.000145953656775 36554.412058 2.23093402992 1465.3812197 1.64360411298
343.86 0.000139620499605 7.30421724119e-09 1.55673431322 0.000179480625476 35000.0 1.58041098904 1362.32162119 0.858826829938
