SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/11/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

219 points for Peak 1

Converged after 207 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -2.019e-02     1.022e+00  
T     =       6.181s      146.236s  

RSS   =    4.052e-03
SD    =    4.302e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.978e-01   -2.234e-03
    2       2.000s     9.938e-01     9.934e-01   -4.234e-04
    3       3.000s     9.882e-01     9.887e-01    4.867e-04
    4       4.000s     9.832e-01     9.838e-01    5.744e-04
    5       5.000s     9.783e-01     9.786e-01    2.715e-04
    6       6.000s     9.731e-01     9.732e-01    1.235e-04
    7       7.000s     9.671e-01     9.676e-01    4.987e-04
    8       8.000s     9.606e-01     9.620e-01    1.337e-03
    9       9.000s     9.541e-01     9.562e-01    2.140e-03
   10      10.000s     9.480e-01     9.504e-01    2.384e-03
   11      11.000s     9.424e-01     9.444e-01    2.051e-03
   12      12.000s     9.368e-01     9.385e-01    1.658e-03
   13      13.000s     9.309e-01     9.325e-01    1.630e-03
   14      14.000s     9.248e-01     9.265e-01    1.734e-03
   15      15.000s     9.192e-01     9.205e-01    1.339e-03
   16      16.000s     9.143e-01     9.145e-01    1.958e-04
   17      17.000s     9.097e-01     9.085e-01   -1.236e-03
   18      18.000s     9.048e-01     9.025e-01   -2.296e-03
   19      19.000s     8.992e-01     8.965e-01   -2.762e-03
   20      20.000s     8.934e-01     8.905e-01   -2.887e-03
   21      21.000s     8.875e-01     8.845e-01   -2.966e-03
   22      22.000s     8.817e-01     8.786e-01   -3.072e-03
   23      23.000s     8.758e-01     8.727e-01   -3.137e-03
   24      24.000s     8.699e-01     8.668e-01   -3.080e-03
   25      25.000s     8.638e-01     8.610e-01   -2.849e-03
   26      26.000s     8.577e-01     8.551e-01   -2.524e-03
   27      27.000s     8.517e-01     8.494e-01   -2.386e-03
   28      28.000s     8.463e-01     8.436e-01   -2.692e-03
   29      29.000s     8.412e-01     8.379e-01   -3.317e-03
   30      30.000s     8.360e-01     8.322e-01   -3.803e-03
   31      31.000s     8.304e-01     8.266e-01   -3.881e-03
   32      32.000s     8.247e-01     8.209e-01   -3.775e-03
   33      33.000s     8.192e-01     8.154e-01   -3.851e-03
   34      34.000s     8.140e-01     8.098e-01   -4.141e-03
   35      35.000s     8.088e-01     8.043e-01   -4.433e-03
   36      36.000s     8.036e-01     7.988e-01   -4.722e-03
   37      37.000s     7.986e-01     7.934e-01   -5.209e-03
   38      38.000s     7.938e-01     7.880e-01   -5.834e-03
   39      39.000s     7.888e-01     7.826e-01   -6.133e-03
   40      40.000s     7.830e-01     7.773e-01   -5.721e-03
   41      41.000s     7.767e-01     7.720e-01   -4.692e-03
   42      42.000s     7.702e-01     7.668e-01   -3.404e-03
   43      43.000s     7.637e-01     7.615e-01   -2.106e-03
   44      44.000s     7.574e-01     7.564e-01   -1.038e-03
   45      45.000s     7.518e-01     7.512e-01   -6.216e-04
   46      46.000s     7.472e-01     7.461e-01   -1.104e-03
   47      47.000s     7.430e-01     7.410e-01   -2.004e-03
   48      48.000s     7.383e-01     7.360e-01   -2.383e-03
   49      49.000s     7.328e-01     7.309e-01   -1.876e-03
   50      50.000s     7.271e-01     7.260e-01   -1.157e-03
   51      51.000s     7.222e-01     7.210e-01   -1.149e-03
   52      52.000s     7.181e-01     7.161e-01   -1.960e-03
   53      53.000s     7.141e-01     7.112e-01   -2.888e-03
   54      54.000s     7.097e-01     7.064e-01   -3.285e-03
   55      55.000s     7.047e-01     7.016e-01   -3.085e-03
   56      56.000s     6.993e-01     6.968e-01   -2.544e-03
   57      57.000s     6.939e-01     6.920e-01   -1.856e-03
   58      58.000s     6.885e-01     6.873e-01   -1.153e-03
   59      59.000s     6.832e-01     6.826e-01   -5.883e-04
   60      60.000s     6.782e-01     6.780e-01   -1.966e-04
   61      61.000s     6.732e-01     6.734e-01    1.525e-04
   62      62.000s     6.683e-01     6.688e-01    4.985e-04
   63      63.000s     6.636e-01     6.642e-01    6.249e-04
   64      64.000s     6.594e-01     6.597e-01    3.260e-04
   65      65.000s     6.555e-01     6.552e-01   -2.687e-04
   66      66.000s     6.516e-01     6.507e-01   -8.242e-04
   67      67.000s     6.475e-01     6.463e-01   -1.158e-03
   68      68.000s     6.432e-01     6.419e-01   -1.265e-03
   69      69.000s     6.386e-01     6.375e-01   -1.092e-03
   70      70.000s     6.338e-01     6.332e-01   -5.928e-04
   71      71.000s     6.289e-01     6.289e-01   -1.007e-05
   72      72.000s     6.243e-01     6.246e-01    2.226e-04
   73      73.000s     6.203e-01     6.203e-01    4.407e-05
   74      74.000s     6.161e-01     6.161e-01   -2.019e-05
   75      75.000s     6.113e-01     6.119e-01    5.658e-04
   76      76.000s     6.060e-01     6.077e-01    1.712e-03
   77      77.000s     6.007e-01     6.036e-01    2.883e-03
   78      78.000s     5.957e-01     5.995e-01    3.807e-03
   79      79.000s     5.907e-01     5.954e-01    4.689e-03
   80      80.000s     5.856e-01     5.913e-01    5.698e-03
   81      81.000s     5.807e-01     5.873e-01    6.556e-03
   82      82.000s     5.765e-01     5.833e-01    6.799e-03
   83      83.000s     5.730e-01     5.793e-01    6.314e-03
   84      84.000s     5.699e-01     5.754e-01    5.462e-03
   85      85.000s     5.667e-01     5.714e-01    4.719e-03
   86      86.000s     5.632e-01     5.676e-01    4.321e-03
   87      87.000s     5.595e-01     5.637e-01    4.191e-03
   88      88.000s     5.557e-01     5.598e-01    4.111e-03
   89      89.000s     5.521e-01     5.560e-01    3.971e-03
   90      90.000s     5.484e-01     5.522e-01    3.884e-03
   91      91.000s     5.445e-01     5.485e-01    3.996e-03
   92      92.000s     5.405e-01     5.447e-01    4.187e-03
   93      93.000s     5.369e-01     5.410e-01    4.108e-03
   94      94.000s     5.337e-01     5.373e-01    3.653e-03
   95      95.000s     5.304e-01     5.337e-01    3.234e-03
   96      96.000s     5.267e-01     5.300e-01    3.366e-03
   97      97.000s     5.224e-01     5.264e-01    4.001e-03
   98      98.000s     5.183e-01     5.228e-01    4.517e-03
   99      99.000s     5.148e-01     5.193e-01    4.425e-03
  100     100.000s     5.119e-01     5.157e-01    3.857e-03
  101     101.000s     5.089e-01     5.122e-01    3.284e-03
  102     102.000s     5.058e-01     5.087e-01    2.973e-03
  103     103.000s     5.023e-01     5.053e-01    2.917e-03
  104     104.000s     4.987e-01     5.018e-01    3.099e-03
  105     105.000s     4.949e-01     4.984e-01    3.501e-03
  106     106.000s     4.911e-01     4.950e-01    3.893e-03
  107     107.000s     4.877e-01     4.916e-01    3.921e-03
  108     108.000s     4.847e-01     4.883e-01    3.551e-03
  109     109.000s     4.817e-01     4.850e-01    3.210e-03
  110     110.000s     4.783e-01     4.816e-01    3.349e-03
  111     111.000s     4.744e-01     4.784e-01    3.954e-03
  112     112.000s     4.705e-01     4.751e-01    4.629e-03
  113     113.000s     4.668e-01     4.719e-01    5.084e-03
  114     114.000s     4.632e-01     4.687e-01    5.402e-03
  115     115.000s     4.596e-01     4.655e-01    5.835e-03
  116     116.000s     4.558e-01     4.623e-01    6.469e-03
  117     117.000s     4.520e-01     4.591e-01    7.098e-03
  118     118.000s     4.486e-01     4.560e-01    7.373e-03
  119     119.000s     4.458e-01     4.529e-01    7.087e-03
  120     120.000s     4.434e-01     4.498e-01    6.414e-03
  121     121.000s     4.409e-01     4.467e-01    5.846e-03
  122     122.000s     4.379e-01     4.437e-01    5.762e-03
  123     123.000s     4.347e-01     4.407e-01    6.015e-03
  124     124.000s     4.316e-01     4.377e-01    6.035e-03
  125     125.000s     4.293e-01     4.347e-01    5.431e-03
  126     126.000s     4.273e-01     4.317e-01    4.445e-03
  127     127.000s     4.251e-01     4.288e-01    3.715e-03
  128     128.000s     4.223e-01     4.259e-01    3.588e-03
  129     129.000s     4.192e-01     4.230e-01    3.760e-03
  130     130.000s     4.165e-01     4.201e-01    3.616e-03
  131     131.000s     4.143e-01     4.172e-01    2.909e-03
  132     132.000s     4.123e-01     4.144e-01    2.035e-03
  133     133.000s     4.099e-01     4.116e-01    1.616e-03
  134     134.000s     4.069e-01     4.087e-01    1.837e-03
  135     135.000s     4.037e-01     4.060e-01    2.289e-03
  136     136.000s     4.007e-01     4.032e-01    2.494e-03
  137     137.000s     3.980e-01     4.004e-01    2.473e-03
  138     138.000s     3.951e-01     3.977e-01    2.636e-03
  139     139.000s     3.918e-01     3.950e-01    3.188e-03
  140     140.000s     3.884e-01     3.923e-01    3.868e-03
  141     141.000s     3.853e-01     3.896e-01    4.344e-03
  142     142.000s     3.824e-01     3.870e-01    4.613e-03
  143     143.000s     3.795e-01     3.843e-01    4.828e-03
  144     144.000s     3.768e-01     3.817e-01    4.910e-03
