#i	t	cos	sin
0	3e-05	0.0327391	-0.237612
1	3.05e-05	0.0210888	-0.23532
2	3.1e-05	0.00972568	-0.232545
3	3.15e-05	-0.00134991	-0.229291
4	3.2e-05	-0.0120998	-0.22557
5	3.25e-05	-0.0225114	-0.221395
6	3.3e-05	-0.0325534	-0.216797
7	3.35e-05	-0.0422234	-0.211797
8	3.4e-05	-0.0514807	-0.206421
9	3.45e-05	-0.0603174	-0.200698
10	3.5e-05	-0.0687503	-0.194647
11	3.55e-05	-0.0767709	-0.188296
12	3.6e-05	-0.0843876	-0.181673
13	3.65e-05	-0.0915807	-0.174801
14	3.7e-05	-0.098335	-0.16772
15	3.75e-05	-0.104655	-0.160411
16	3.8e-05	-0.110515	-0.15292
17	3.85e-05	-0.115914	-0.145281
18	3.9e-05	-0.120874	-0.137496
19	3.95e-05	-0.125419	-0.129618
20	4e-05	-0.129502	-0.121646
21	4.05e-05	-0.133117	-0.1136
22	4.1e-05	-0.136305	-0.105511
23	4.15e-05	-0.139075	-0.097394
24	4.2e-05	-0.14142	-0.089311
25	4.25e-05	-0.143344	-0.0812598
26	4.3e-05	-0.144857	-0.073246
27	4.35e-05	-0.145965	-0.0652809
28	4.4e-05	-0.146692	-0.0573678
29	4.45e-05	-0.147031	-0.0495261
30	4.5e-05	-0.146977	-0.0418072
31	4.55e-05	-0.146559	-0.0342269
32	4.6e-05	-0.145792	-0.0267906
33	4.65e-05	-0.144717	-0.0195222
34	4.7e-05	-0.143318	-0.0124356
35	4.75e-05	-0.141612	-0.00553593
36	4.8e-05	-0.139615	0.00115519
37	4.85e-05	-0.137339	0.00766938
38	4.9e-05	-0.134802	0.0139903
39	4.95e-05	-0.132	0.0200873
40	5e-05	-0.128952	0.0259546
41	5.05e-05	-0.125674	0.0315915
42	5.1e-05	-0.12219	0.0369747
43	5.15e-05	-0.118506	0.0421009
44	5.2e-05	-0.114627	0.0469648
45	5.25e-05	-0.110595	0.0515731
46	5.3e-05	-0.106407	0.0559332
47	5.35e-05	-0.102062	0.0600288
48	5.4e-05	-0.0976191	0.0638447
49	5.45e-05	-0.0930446	0.0674008
50	5.5e-05	-0.0883828	0.0706889
51	5.55e-05	-0.083653	0.0736859
52	5.6e-05	-0.0788868	0.076412
53	5.65e-05	-0.0740721	0.0788706
54	5.7e-05	-0.0691951	0.0810584
55	5.75e-05	-0.0642828	0.0829691
56	5.8e-05	-0.0593605	0.0846349
57	5.85e-05	-0.0544432	0.0860409
58	5.9e-05	-0.0495411	0.0871966
59	5.95e-05	-0.0446496	0.0881329
60	6e-05	-0.0397877	0.0888258
61	6.05e-05	-0.0349702	0.0892445
62	6.1e-05	-0.0301994	0.0894232
63	6.15e-05	-0.0254979	0.0893787
64	6.2e-05	-0.0208912	0.0891396
65	6.25e-05	-0.0163676	0.0886885
66	6.3e-05	-0.0119356	0.0880357
67	6.35e-05	-0.00760225	0.0871865
68	6.4e-05	-0.00339146	0.0861408
69	6.45e-05	0.0006908	0.0849271
70	6.5e-05	0.00465834	0.0835529
71	6.55e-05	0.00850897	0.0820074
72	6.6e-05	0.0122185	0.0802949
73	6.65e-05	0.0157703	0.078434
74	6.7e-05	0.0191812	0.0764576
75	6.75e-05	0.0224557	0.0743681
76	6.8e-05	0.0255911	0.0721407
77	6.85e-05	0.028567	0.0697759
78	6.9e-05	0.0313692	0.0673252
79	6.95e-05	0.034006	0.0647739
80	7e-05	0.0364767	0.0621273
81	7.05e-05	0.0387846	0.0594044
82	7.1e-05	0.0409299	0.0566177
83	7.15e-05	0.0429366	0.0537958
84	7.2e-05	0.0447909	0.0509301
85	7.25e-05	0.0464665	0.0480246
86	7.3e-05	0.0479793	0.0450757
87	7.35e-05	0.0493345	0.0420888
88	7.4e-05	0.0505072	0.0390875
89	7.45e-05	0.0515203	0.0360855
90	7.5e-05	0.0523797	0.0331042
91	7.55e-05	0.0531093	0.0301272
92	7.6e-05	0.0536922	0.0271714
93	7.65e-05	0.0541273	0.0242344
94	7.7e-05	0.0544175	0.0213243
95	7.75e-05	0.0545745	0.0184366
96	7.8e-05	0.0545801	0.0155845
97	7.85e-05	0.0544586	0.012772
98	7.9e-05	0.0541865	0.010007
99	7.95e-05	0.053785	0.00731312
100	8e-05	0.0532692	0.00469852
101	8.05e-05	0.0526476	0.00214871
102	8.1e-05	0.0519191	-0.000353108
103	8.15e-05	0.0510548	-0.00279486
104	8.2e-05	0.0500626	-0.00516782
105	8.25e-05	0.0490008	-0.00744474
106	8.3e-05	0.0478605	-0.00961156
107	8.35e-05	0.0466413	-0.0117046
108	8.4e-05	0.0453414	-0.0137075
109	8.45e-05	0.0439782	-0.0155993
110	8.5e-05	0.0425364	-0.0173964
111	8.55e-05	0.0410191	-0.019112
112	8.6e-05	0.0394513	-0.0207382
113	8.65e-05	0.0378368	-0.0222728
114	8.7e-05	0.0361752	-0.023705
115	8.75e-05	0.0344784	-0.025033
116	8.8e-05	0.0327616	-0.0262476
117	8.85e-05	0.0310202	-0.0273489
118	8.9e-05	0.029244	-0.0283634
119	8.95e-05	0.0274338	-0.0292778
120	9e-05	0.0256007	-0.030086
121	9.05e-05	0.023763	-0.0308039
122	9.1e-05	0.0219172	-0.0314292
123	9.15e-05	0.0200777	-0.0319439
124	9.2e-05	0.018246	-0.0323678
125	9.25e-05	0.0164264	-0.0327039
126	9.3e-05	0.0146409	-0.0329481
127	9.35e-05	0.0128699	-0.0331324
128	9.4e-05	0.0111084	-0.0332202
129	9.45e-05	0.0093695	-0.0332205
130	9.5e-05	0.00765298	-0.0331254
131	9.55e-05	0.00597269	-0.0329627
132	9.6e-05	0.00433517	-0.0327239
133	9.65e-05	0.0027554	-0.032402
134	9.7e-05	0.00122632	-0.0320111
135	9.75e-05	-0.000278363	-0.0315496
136	9.8e-05	-0.00175235	-0.0310035
137	9.85e-05	-0.0031671	-0.0303962
138	9.9e-05	-0.00453318	-0.0297459
139	9.95e-05	-0.00585877	-0.0290453
140	0.0001	-0.00713311	-0.0283021
141	0.0001005	-0.00835045	-0.0275233
142	0.000101	-0.00951416	-0.0266939
143	0.0001015	-0.010616	-0.0258315
144	0.000102	-0.0116515	-0.0249225
145	0.0001025	-0.0126375	-0.0239859
146	0.000103	-0.013552	-0.022997
147	0.0001035	-0.0144106	-0.0219971
148	0.000104	-0.015213	-0.0209671
149	0.0001045	-0.0159634	-0.0199087
150	0.000105	-0.016653	-0.0188271
151	0.0001055	-0.0172632	-0.0177291
152	0.000106	-0.0178191	-0.0166293
153	0.0001065	-0.0183168	-0.0155358
154	0.000107	-0.0187538	-0.0144324
155	0.0001075	-0.0191103	-0.0133163
156	0.000108	-0.0194336	-0.0121997
