#i	t	cos	sin
0	3e-05	0.0385491	-0.234828
1	3.05e-05	0.0270556	-0.232119
2	3.1e-05	0.0159008	-0.22894
3	3.15e-05	0.00509262	-0.225311
4	3.2e-05	-0.00533187	-0.22125
5	3.25e-05	-0.015366	-0.21678
6	3.3e-05	-0.0249839	-0.211939
7	3.35e-05	-0.0341704	-0.206744
8	3.4e-05	-0.04295	-0.201253
9	3.45e-05	-0.0513067	-0.195461
10	3.5e-05	-0.059252	-0.189409
11	3.55e-05	-0.0667701	-0.183122
12	3.6e-05	-0.0738623	-0.176606
13	3.65e-05	-0.0805294	-0.169867
14	3.7e-05	-0.0867473	-0.162957
15	3.75e-05	-0.0925285	-0.155913
16	3.8e-05	-0.0978986	-0.148727
17	3.85e-05	-0.102851	-0.141432
18	3.9e-05	-0.107388	-0.134034
19	3.95e-05	-0.111497	-0.126558
20	4e-05	-0.115172	-0.119046
21	4.05e-05	-0.118429	-0.11149
22	4.1e-05	-0.121268	-0.103953
23	4.15e-05	-0.123711	-0.0964444
24	4.2e-05	-0.12576	-0.0889425
25	4.25e-05	-0.127434	-0.0814816
26	4.3e-05	-0.128736	-0.0741037
27	4.35e-05	-0.129688	-0.0667922
28	4.4e-05	-0.130281	-0.05959
29	4.45e-05	-0.130525	-0.0524836
30	4.5e-05	-0.130437	-0.0454947
31	4.55e-05	-0.130022	-0.038652
32	4.6e-05	-0.12932	-0.0319616
33	4.65e-05	-0.128351	-0.0254301
34	4.7e-05	-0.127099	-0.0190688
35	4.75e-05	-0.12559	-0.0128957
36	4.8e-05	-0.12382	-0.00690622
37	4.85e-05	-0.121783	-0.00112991
38	4.9e-05	-0.119503	0.00442966
39	4.95e-05	-0.117009	0.00978902
40	5e-05	-0.114326	0.0149255
41	5.05e-05	-0.111484	0.0198462
42	5.1e-05	-0.108471	0.0245415
43	5.15e-05	-0.105295	0.0290284
44	5.2e-05	-0.101968	0.0332864
45	5.25e-05	-0.0985065	0.0373131
46	5.3e-05	-0.0949284	0.0411139
47	5.35e-05	-0.0912341	0.044681
48	5.4e-05	-0.087441	0.0480024
49	5.45e-05	-0.0835759	0.0511008
50	5.5e-05	-0.0796392	0.0539602
51	5.55e-05	-0.0756531	0.0565724
52	5.6e-05	-0.0716256	0.0589616
53	5.65e-05	-0.0675478	0.0611306
54	5.7e-05	-0.0634547	0.0630654
55	5.75e-05	-0.0593483	0.0647837
56	5.8e-05	-0.0552363	0.0662942
57	5.85e-05	-0.0511438	0.067588
58	5.9e-05	-0.0470881	0.0686557
59	5.95e-05	-0.0430606	0.0695037
60	6e-05	-0.039074	0.0701456
61	6.05e-05	-0.035126	0.0706066
62	6.1e-05	-0.0312083	0.0708917
63	6.15e-05	-0.0273474	0.0709757
64	6.2e-05	-0.0235695	0.0708875
65	6.25e-05	-0.0198809	0.0706369
66	6.3e-05	-0.016258	0.0702016
67	6.35e-05	-0.0127378	0.0696102
68	6.4e-05	-0.00928966	0.0688687
69	6.45e-05	-0.00594933	0.0679666
70	6.5e-05	-0.00272317	0.0669391
71	6.55e-05	0.000397724	0.0657798
72	6.6e-05	0.00339245	0.06449
73	6.65e-05	0.00627383	0.063086
74	6.7e-05	0.00903745	0.0615855
75	6.75e-05	0.0116831	0.0600062
76	6.8e-05	0.0142021	0.0583311
77	6.85e-05	0.0165771	0.0565823
78	6.9e-05	0.0188226	0.0547694
79	6.95e-05	0.0209505	0.0528776
80	7e-05	0.0229701	0.0509317
81	7.05e-05	0.0248808	0.0489024
82	7.1e-05	0.0266616	0.0468371
83	7.15e-05	0.0282915	0.0447096
84	7.2e-05	0.0297836	0.0425578
85	7.25e-05	0.03113	0.0403918
86	7.3e-05	0.0323665	0.0382072
87	7.35e-05	0.0334958	0.036012
88	7.4e-05	0.0345047	0.0337958
89	7.45e-05	0.0353844	0.0315579
90	7.5e-05	0.0361421	0.0293301
91	7.55e-05	0.0368003	0.0271236
92	7.6e-05	0.0373381	0.0249202
93	7.65e-05	0.0377775	0.0227268
94	7.7e-05	0.038106	0.0205376
95	7.75e-05	0.0383285	0.018369
96	7.8e-05	0.0384471	0.0162346
97	7.85e-05	0.038456	0.0141626
98	7.9e-05	0.0383737	0.012133
99	7.95e-05	0.0381929	0.0101445
100	8e-05	0.037931	0.00821228
101	8.05e-05	0.0375994	0.00633427
102	8.1e-05	0.0371787	0.00449593
103	8.15e-05	0.0366755	0.00271319
104	8.2e-05	0.0361071	0.000965493
105	8.25e-05	0.035469	-0.000703646
106	8.3e-05	0.0347536	-0.00231254
107	8.35e-05	0.0339797	-0.00384952
108	8.4e-05	0.033155	-0.00534479
109	8.45e-05	0.0322699	-0.00676147
110	8.5e-05	0.0313549	-0.00810464
111	8.55e-05	0.0303872	-0.00939178
112	8.6e-05	0.0293769	-0.0106118
113	8.65e-05	0.0283165	-0.0117701
114	8.7e-05	0.0272219	-0.0128467
115	8.75e-05	0.0261194	-0.0138364
116	8.8e-05	0.0249638	-0.0147819
117	8.85e-05	0.0237963	-0.0156381
118	8.9e-05	0.0226216	-0.0164132
119	8.95e-05	0.0214315	-0.0171275
120	9e-05	0.0202397	-0.017775
121	9.05e-05	0.0190466	-0.0183661
122	9.1e-05	0.0178496	-0.0188876
123	9.15e-05	0.0166423	-0.0193747
124	9.2e-05	0.0154266	-0.0197979
125	9.25e-05	0.014215	-0.020134
126	9.3e-05	0.0130315	-0.0204109
127	9.35e-05	0.0118552	-0.0206285
128	9.4e-05	0.0106947	-0.0207943
129	9.45e-05	0.00954964	-0.0208804
130	9.5e-05	0.00841937	-0.0209001
131	9.55e-05	0.00732266	-0.0208769
132	9.6e-05	0.00622338	-0.0208133
133	9.65e-05	0.00515303	-0.0206981
134	9.7e-05	0.00411225	-0.0205459
135	9.75e-05	0.0030951	-0.0203426
136	9.8e-05	0.0021156	-0.0200921
137	9.85e-05	0.00117481	-0.0198118
138	9.9e-05	0.000261516	-0.019509
139	9.95e-05	-0.000626369	-0.0191746
140	0.0001	-0.00150148	-0.0187977
141	0.0001005	-0.00232901	-0.0183975
142	0.000101	-0.00314171	-0.0179783
143	0.0001015	-0.00391154	-0.0175352
144	0.000102	-0.00463838	-0.0170358
145	0.0001025	-0.00531324	-0.0164925
146	0.000103	-0.00594508	-0.0159423
147	0.0001035	-0.00655427	-0.0153615
148	0.000104	-0.00713989	-0.0147653
149	0.0001045	-0.00768452	-0.0141188
150	0.000105	-0.00819033	-0.0134708
151	0.0001055	-0.00866379	-0.0128149
152	0.000106	-0.00908621	-0.0121604
153	0.0001065	-0.0094617	-0.0115137
154	0.000107	-0.00980586	-0.010874
155	0.0001075	-0.0101209	-0.0102218
156	0.000108	-0.0103891	-0.00957873
157	0.0001085	-0.0106298	-0.00894909
158	0.000109	-0.0108435	-0.00831531
159	0.0001095	-0.0110128	-0.0076785
160	0.00011	-0.0111516	-0.00703465
161	0.0001105	-0.0112541	-0.00639566
162	0.000111	-0.0113275	-0.0057725
163	0.0001115	-0.0113842	-0.00516208
164	0.000112	-0.0114194	-0.0045416
165	0.0001125	-0.0114157	-0.00391196
166	0.000113	-0.0113827	-0.00327946
167	0.0001135	-0.0113272	-0.00267994
168	0.000114	-0.011241	-0.00211437
169	0.0001145	-0.0111228	-0.00156555
170	0.000115	-0.0109888	-0.00103919
171	0.0001155	-0.0108483	-0.000525081
172	0.000116	-0.0106781	-1.95518e-05
173	0.0001165	-0.0105087	0.000463484
174	0.000117	-0.0102942	0.000925665
175	0.0001175	-0.0100582	0.00136644
176	0.000118	-0.00979323	0.00179302
177	0.0001185	-0.0095096	0.00220428
178	0.000119	-0.00922504	0.00260609
179	0.0001195	-0.00895792	0.00298239
180	0.00012	-0.00867107	0.00334616
181	0.0001205	-0.00836022	0.0036939
182	0.000121	-0.00802753	0.00403793
183	0.0001215	-0.00767096	0.00436862
184	0.000122	-0.00729147	0.00466797
185	0.0001225	-0.00692972	0.00493164
186	0.000123	-0.00655144	0.0051615
187	0.0001235	-0.00616037	0.00535343
188	0.000124	-0.00578684	0.00553053
189	0.0001245	-0.00541186	0.00568298
190	0.000125	-0.00504543	0.00581189
191	0.0001255	-0.00467855	0.00592287
192	0.000126	-0.00430502	0.00601906
193	0.0001265	-0.00394135	0.00609875
194	0.000127	-0.00358965	0.00613762
195	0.0001275	-0.00323072	0.00616455
196	0.000128	-0.00288172	0.00615792
197	0.0001285	-0.00254206	0.0061555
198	0.000129	-0.00219707	0.00614246
199	0.0001295	-0.00184692	0.00610158
200	0.00013	-0.0015165	0.00603412
201	0.0001305	-0.00120414	0.00594696
202	0.000131	-0.000920784	0.00586676
203	0.0001315	-0.000644691	0.00579662
204	0.000132	-0.000368119	0.00569295
205	0.0001325	-9.60157e-05	0.00559698
206	0.000133	0.000173734	0.00547782
207	0.0001335	0.000417938	0.0053709
208	0.000134	0.000644857	0.00526116
209	0.0001345	0.000865645	0.00514249
210	0.000135	0.00108793	0.00500323
211	0.0001355	0.00127691	0.0048454
212	0.000136	0.00146669	0.00469358
213	0.0001365	0.00163728	0.00453754
214	0.000137	0.00180017	0.00437965
215	0.0001375	0.00194444	0.00421894
216	0.000138	0.00209143	0.00405515
217	0.0001385	0.00222769	0.00388103
218	0.000139	0.00235779	0.0036916
219	0.0001395	0.0024656	0.00349786
220	0.00014	0.0025781	0.00331747
221	0.0001405	0.00267975	0.0031276
222	0.000141	0.0027575	0.00295236
223	0.0001415	0.00282721	0.00275193
224	0.000142	0.00289155	0.00255384
225	0.0001425	0.00296602	0.00235361
226	0.000143	0.00302196	0.0021529
227	0.0001435	0.00307754	0.00196448
228	0.000144	0.00311119	0.00177524
229	0.0001445	0.00313365	0.00159301
230	0.000145	0.00315801	0.00141341
231	0.0001455	0.00317903	0.00123299
232	0.000146	0.00317243	0.00106614
233	0.0001465	0.00314878	0.000894652
234	0.000147	0.00310256	0.000728453
235	0.0001475	0.00306053	0.000571324
236	0.000148	0.00302131	0.00043492
237	0.0001485	0.00297755	0.000284398
238	0.000149	0.0029503	0.0001256
239	0.0001495	0.00291685	-2.12046e-05
240	0.00015	0.00288101	-0.000165325
241	0.0001505	0.00284212	-0.000321067
242	0.000151	0.00278863	-0.000460512
243	0.0001515	0.00272309	-0.000583508
244	0.000152	0.0026383	-0.000694046
245	0.0001525	0.00254736	-0.000799826
246	0.000153	0.00247984	-0.000901794
