#i	t	cos	sin
0	3e-05	0.07188	-0.770612
1	3.05e-05	0.0339171	-0.764944
2	3.1e-05	-0.0013983	-0.759245
3	3.15e-05	-0.0351187	-0.750715
4	3.2e-05	-0.0690461	-0.739807
5	3.25e-05	-0.103053	-0.728163
6	3.3e-05	-0.138196	-0.715198
7	3.35e-05	-0.173497	-0.700117
8	3.4e-05	-0.209085	-0.68293
9	3.45e-05	-0.242721	-0.666941
10	3.5e-05	-0.273256	-0.647801
11	3.55e-05	-0.304071	-0.625785
12	3.6e-05	-0.332224	-0.603508
13	3.65e-05	-0.356371	-0.580648
14	3.7e-05	-0.38379	-0.555879
15	3.75e-05	-0.409572	-0.531369
16	3.8e-05	-0.434262	-0.506232
17	3.85e-05	-0.453647	-0.481566
18	3.9e-05	-0.47194	-0.455787
19	3.95e-05	-0.489726	-0.430184
20	4e-05	-0.510605	-0.404395
21	4.05e-05	-0.526464	-0.377473
22	4.1e-05	-0.543905	-0.348569
23	4.15e-05	-0.560403	-0.315062
24	4.2e-05	-0.573172	-0.282807
25	4.25e-05	-0.583849	-0.253718
26	4.3e-05	-0.591676	-0.226064
27	4.35e-05	-0.597279	-0.195964
28	4.4e-05	-0.599359	-0.165723
29	4.45e-05	-0.599537	-0.135313
30	4.5e-05	-0.601762	-0.104477
31	4.55e-05	-0.6022	-0.0724712
32	4.6e-05	-0.602685	-0.0412685
33	4.65e-05	-0.603378	-0.0104499
34	4.7e-05	-0.601365	0.0203395
35	4.75e-05	-0.596491	0.048224
36	4.8e-05	-0.587122	0.0755523
37	4.85e-05	-0.575743	0.105088
38	4.9e-05	-0.564665	0.130938
39	4.95e-05	-0.550042	0.155542
40	5e-05	-0.535588	0.178169
41	5.05e-05	-0.522665	0.198754
42	5.1e-05	-0.50707	0.222311
43	5.15e-05	-0.492565	0.246997
44	5.2e-05	-0.47368	0.271887
45	5.25e-05	-0.452905	0.29201
46	5.3e-05	-0.435887	0.308682
47	5.35e-05	-0.414646	0.325624
48	5.4e-05	-0.393974	0.341389
49	5.45e-05	-0.372784	0.356862
50	5.5e-05	-0.352951	0.372029
51	5.55e-05	-0.330732	0.385631
52	5.6e-05	-0.310374	0.396809
