# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_error Beta Beta_error M0 M0_error Moff Moff_err
13 380.0 -26.70070854673213 3.888760937638525e-05 9.688375026277474e-07 0.998405386307243 0.02335322206471732 0.0 0.0 0.0 0.0
15 390.0 -17.335782962664354 2.3708571307723034e-05 7.546389291536875e-07 0.9784019872110217 0.023160936269685108 0.0 0.0 0.0 0.0
18 375.0 -33.815580890335845 4.5533554768538e-05 1.9466378044035325e-06 1.0081259847833146 0.04381901270754955 0.0 0.0 0.0 0.0
21 385.0 -19.86796489974456 2.9155989426038565e-05 5.315433159193226e-07 0.9655011825840544 0.014044192437899339 0.0 0.0 0.0 0.0
24 370.0 -16.00428693794178 4.216213820914124e-05 4.0030746954170853e-07 1.017672315103431 0.009629895148583563 0.0 0.0 0.0 0.0
26 365.0 -10.759243726778395 2.714779422122721e-05 4.2721124908697636e-07 0.9772290863004408 0.012085677634797348 0.0 0.0 0.0 0.0
29 360.0 -3.756667323441727 1.944646245002653e-05 5.857492270344882e-07 1.0138133952988053 0.021699135675962045 0.0 0.0 0.0 0.0
31 355.0 -4.71493905898632 2.208541162073578e-05 8.251391455757265e-07 0.9645004330795061 0.025609691502811838 0.0 0.0 0.0 0.0
34 350.0 -6.307982716776236 3.808441717122758e-05 9.077648779927626e-07 0.8540101286281142 0.015522768295634887 0.0 0.0 0.0 0.0
36 345.0 0.821993076063242 8.625348081234144e-05 7.102639925469524e-07 0.8676230166053295 0.007630718667799029 0.0 0.0 0.0 0.0
39 340.0 7.603123509899996 0.00018264515394205967 1.0756159518119072e-06 0.9092571180184458 0.007684592361015743 0.0 0.0 0.0 0.0
41 330.0 -0.44906737406723424 0.0005861898620133075 1.2340872625487636e-06 0.9472917726887451 0.002798595027021498 0.0 0.0 0.0 0.0
44 335.0 11.200493334114201 0.0003456116608532018 1.886016817412093e-06 0.9274506462822804 0.007283415821555791 0.0 0.0 0.0 0.0
47 320.0 2.394469830774584 0.0010059811489048728 3.462162595768174e-06 0.9957119161806727 0.0049474870577605815 0.0 0.0 0.0 0.0
50 310.0 -1.5721562732520908 0.0013052882326398988 9.076781428001309e-06 1.0131317737545724 0.01017246242719709 0.0 0.0 0.0 0.0
57 340.0 -13.083199643596277 0.00019279105534231078 1.149720102280248e-06 0.911782646149578 0.007387181440460258 0.0 0.0 0.0 0.0
