# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
9.000000000000000228e-06 2.967872226833424065e+05 2.373729936149198693e+03 1.106660349028781638e+03 2.373729936149198693e+03 -7.675424614103582144e+02 -6.138871146280203916e+00 -2.862012726016426978e+00 -6.138871146280203916e+00
1.500000000000000038e-05 1.816782420675045578e+05 2.459211572346678622e+03 -9.782270301310927607e+01 2.459211572346678622e+03 -4.698509721558370416e+02 -6.359941261291193193e+00 2.529862221616135942e-01 -6.359941261291193193e+00
2.400000000000000061e-05 8.590711549172535888e+04 2.456771137380379514e+03 1.030577091421720979e+03 2.456771137380379514e+03 -2.221704771553954743e+02 -6.353629879540962477e+00 -2.665248423672627709e+00 -6.353629879540962477e+00
4.000000000000000327e-05 2.307282502681421829e+04 2.278106143823875755e+03 5.135232536269450065e+02 2.278106143823875755e+03 -5.967026731358492952e+01 -5.891571682822235090e+00 -1.328058864922297966e+00 -5.891571682822235090e+00
6.499999999999999431e-05 2.659475728884106957e+03 2.370448792315940409e+03 -3.478963889958416758e+02 2.370448792315940409e+03 -6.877858583510315427e+00 -6.130385547772118748e+00 8.997194970571451567e-01 -6.130385547772118748e+00
1.069999999999999988e-04 9.492696029439165386e+02 2.520855434725234318e+03 -3.447188433008839183e+02 2.520855434725234318e+03 -2.454973367782052662e+00 -6.519362820727260477e+00 8.915018210335585724e-01 -6.519362820727260477e+00
1.759999999999999954e-04 5.708538215628970391e+01 2.534752372780445967e+03 -2.541929565193937322e+02 2.534752372780445967e+03 -1.476325508040435552e-01 -6.555302676710700993e+00 6.573864122453749737e-01 -6.555302676710700993e+00
2.889999999999999774e-04 5.712617935703702869e+02 2.374642162172352982e+03 -8.063711324239998248e+02 2.374642162172352982e+03 -1.477380593350279492e+00 -6.141230318622072026e+00 2.085413510039604290e+00 -6.141230318622072026e+00
4.749999999999999990e-04 -7.635614463210010854e+02 2.511233790784034682e+03 -5.076339046148063971e-01 2.511233790784034682e+03 1.974700348109588610e+00 -6.494479605719982729e+00 1.312828002232146150e-03 -6.494479605719982729e+00
7.799999999999999859e-04 -2.295908711275872918e+02 2.550080782066299435e+03 -8.915133043846713008e+02 2.550080782066299435e+03 5.937612163669043763e-01 -6.594944561851161069e+00 2.305605712539653407e+00 -6.594944561851161069e+00
1.200000000000000030e-05 2.291825975634219358e+05 2.519298868886320179e+03 -1.755058364439413708e+03 2.519298868886320179e+03 -5.927053511799363150e+02 -6.515337275541907225e+00 4.538880767107470682e+00 -6.515337275541907225e+00
1.900000000000000105e-05 1.295287791805708694e+05 2.444119671252552507e+03 4.816831333058144082e+02 2.444119671252552507e+03 -3.349835518418163360e+02 -6.320911026739935323e+00 -1.245714874160413377e+00 -6.320911026739935323e+00
3.100000000000000135e-05 5.011288110731367487e+04 2.531886394559221571e+03 -1.004735121434454413e+03 2.531886394559221571e+03 -1.296004718993955862e+02 -6.547890767402819279e+00 2.598416674406649474e+00 -6.547890767402819279e+00
5.099999999999999960e-05 8.147427298960838016e+03 2.351614322295943111e+03 -2.323016999108639538e+03 2.351614322295943111e+03 -2.107063891318032134e+01 -6.081676390592759773e+00 6.007718827223026636e+00 -6.081676390592759773e+00
8.399999999999999535e-05 -2.186569384758736305e+02 2.663881826401429407e+03 -1.627987811151041342e+03 2.663881826401429407e+03 5.654841985609675437e-01 -6.889253504434077691e+00 4.210254607389687820e+00 -6.889253504434077691e+00
1.379999999999999933e-04 2.309185485594667853e+01 2.552553962616771059e+03 -9.268689261375160413e+02 2.552553962616771059e+03 -5.971948170280454854e-02 -6.601340629276363892e+00 2.397041390597215660e+00 -6.601340629276363892e+00
2.259999999999999910e-04 -1.611074218621126420e+03 2.393340496499515666e+03 -4.388191906632246742e+02 2.393340496499515666e+03 4.166513167565124576e+00 -6.189587405642145157e+00 1.134861395549751073e+00 -6.189587405642145157e+00
3.710000000000000190e-04 -1.436195738715170478e+02 2.385617159073769017e+03 -2.476283507524641792e+01 2.385617159073769017e+03 3.714247542040090555e-01 -6.169613535593214237e+00 6.404092202255091959e-02 -6.169613535593214237e+00
6.089999999999999494e-04 2.613099699221109518e+02 2.563066704095125715e+03 -7.396049956695163701e+02 2.563066704095125715e+03 -6.757922247854937225e-01 -6.628528374751095242e+00 1.912744873970747328e+00 -6.628528374751095242e+00
1.000000000000000021e-03 -1.409385155523106278e+03 2.379174894993542694e+03 8.998370093473097313e+02 2.379174894993542694e+03 3.644910793547248229e+00 -6.152952740076190530e+00 -2.327132235606630850e+00 -6.152952740076190530e+00
