# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
9.000000000000000228e-06 3.862557807770612417e+05 2.420902781317802692e+03 -4.842667471137247048e+01 2.420902781317802692e+03 -1.574023588750411818e+03 -9.865374897948971267e+00 1.973426214284638158e-01 -9.865374897948971267e+00
1.500000000000000038e-05 2.598455219557902601e+05 2.481398177555949587e+03 7.905811615264537977e+02 2.481398177555949587e+03 -1.058891546339457591e+03 -1.011189853702068220e+01 -3.221682260808869547e+00 -1.011189853702068220e+01
2.400000000000000061e-05 1.445931442438431259e+05 2.457189074816484208e+03 -6.513733255089027807e+02 2.457189074816484208e+03 -5.892287731034938361e+02 -1.001324448271050471e+01 2.654399054872868646e+00 -1.001324448271050471e+01
4.000000000000000327e-05 5.036721057110001857e+04 2.424222148653653221e+03 1.630048384702246040e+03 2.424222148653653221e+03 -2.052504622169753645e+02 -9.878901588671491041e+00 -6.642579182023244044e+00 -9.878901588671491041e+00
6.499999999999999431e-05 9.722695174299529754e+03 2.435441777026831915e+03 1.023683470440264045e+03 2.435441777026831915e+03 -3.962077025692532573e+01 -9.924622482947476954e+00 -4.171593048122871572e+00 -9.924622482947476954e+00
1.069999999999999988e-04 1.013883350143876783e+03 2.462194352540861018e+03 -2.391602021679795484e+02 2.462194352540861018e+03 -4.131656764222932487e+00 -1.003364139480478023e+01 9.745971929414116719e-01 -1.003364139480478023e+01
1.759999999999999954e-04 -3.515072914609555141e+02 2.489932146324928453e+03 2.909304003170163355e+00 2.489932146324928453e+03 1.432420680576564020e+00 -1.014667515090335037e+01 -1.185564943163639959e-02 -1.014667515090335037e+01
2.889999999999999774e-04 -1.474678734161774400e+02 2.542866327382721011e+03 1.049593729168629352e+03 2.542866327382721011e+03 6.009435272993277621e-01 -1.036238622574740731e+01 -4.277179450861041232e+00 -1.036238622574740731e+01
4.749999999999999990e-04 -7.885466602408492918e+02 2.509134389101723627e+03 -4.731993392038946240e+02 2.509134389101723627e+03 3.213391503299837471e+00 -1.022492584537006444e+01 1.928325630724828210e+00 -1.022492584537006444e+01
7.799999999999999859e-04 -1.439419268673634633e+02 2.447693145035465477e+03 5.834493713862901387e+01 2.447693145035465477e+03 5.865750095535451347e-01 -9.974547799796473768e+00 -2.377603440797899925e-01 -9.974547799796473768e+00
1.200000000000000030e-05 3.139787006330718868e+05 2.613856194896573470e+03 -4.065591074027324794e+02 2.613856194896573470e+03 -1.279488633587354798e+03 -1.065167568519387764e+01 1.656761289075876276e+00 -1.065167568519387764e+01
1.900000000000000105e-05 1.969083291139386711e+05 2.433838737637389386e+03 -3.562319564645877108e+02 2.433838737637389386e+03 -8.024173883514221188e+02 -9.918089967608542779e+00 1.451674073107543261e+00 -9.918089967608542779e+00
3.100000000000000135e-05 9.091453731690190034e+04 2.377969388099947992e+03 2.667671337566134753e+02 2.377969388099947992e+03 -3.704841025530914180e+02 -9.690417843496485162e+00 -1.087097674995321395e+00 -9.690417843496485162e+00
5.099999999999999960e-05 2.485261795986375728e+04 2.493986751580881901e+03 -3.459642626884015044e+02 2.493986751580881901e+03 -1.012764309503140652e+02 -1.016319799569573767e+01 1.409832389409581888e+00 -1.016319799569573767e+01
8.399999999999999535e-05 3.530683265708797080e+03 2.359598840619770726e+03 -6.417233338782896226e+02 2.359598840619770726e+03 -1.438782025074619497e+01 -9.615556374720828359e+00 2.615074557444579728e+00 -9.615556374720828359e+00
1.379999999999999933e-04 5.827727893104486157e+02 2.458983576152778369e+03 -1.431701633036478370e+03 2.458983576152778369e+03 -2.374846314043815632e+00 -1.002055722098898016e+01 5.834300105278150461e+00 -1.002055722098898016e+01
2.259999999999999910e-04 4.696076704049310138e+02 2.383358118264555287e+03 -5.287930463771756422e+02 2.383358118264555287e+03 -1.913689289486972145e+00 -9.712377355339748775e+00 2.154874489879207822e+00 -9.712377355339748775e+00
3.710000000000000190e-04 -7.075461978943176291e+02 2.448621677814891427e+03 4.681505931271425425e+02 2.448621677814891427e+03 2.883308059172126736e+00 -9.978331646072648553e+00 -1.907751581574206989e+00 -9.978331646072648553e+00
6.089999999999999494e-04 -1.182059861394592190e+03 2.392164118092315675e+03 -1.110870579356478174e+03 2.392164118092315675e+03 4.816989667849201240e+00 -9.748262517818201189e+00 4.526887578066181916e+00 -9.748262517818201189e+00
1.000000000000000021e-03 -2.112777750388800087e+02 2.511936415681127983e+03 2.490222917222882302e+02 2.511936415681127983e+03 8.609740442482711753e-01 -1.023634433061167037e+01 -1.014786006586146705e+00 -1.023634433061167037e+01
