# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
9.000000000000000228e-06 8.163345908750331728e+05 2.284574057014127447e+03 -1.034579475837810605e+04 2.284574057014127447e+03 2.230420113641786486e+02 6.241999279249664800e-01 -2.826717007784955271e+00 6.241999279249664800e-01
1.500000000000000038e-05 7.647362349145779153e+05 2.488001653156740304e+03 -3.716559328998817364e+03 2.488001653156740304e+03 2.089441142210860392e+02 6.797811818835826081e-01 -1.015452337019853379e+00 6.797811818835826081e-01
2.400000000000000061e-05 6.897255358558204025e+05 2.381552578100264327e+03 -2.522564198166655842e+02 2.381552578100264327e+03 1.884494085220848092e+02 6.506967646925837512e-01 -6.892244905992077342e-02 6.506967646925837512e-01
4.000000000000000327e-05 5.800325595707622124e+05 2.328197068656689225e+03 3.882194307382116676e+03 2.328197068656689225e+03 1.584786804203671693e+02 6.361187714571149288e-01 1.060707749621288665e+00 6.361187714571149288e-01
6.499999999999999431e-05 4.451378105625560856e+05 2.199689005519577222e+03 4.211143472263131116e+03 2.199689005519577222e+03 1.216222290613653314e+02 6.010073144650834864e-01 1.150584479324709752e+00 6.010073144650834864e-01
1.069999999999999988e-04 2.920309483341406449e+05 2.395907984646053592e+03 7.985296826198507915e+03 2.395907984646053592e+03 7.978979553863636909e+01 6.546190029337579652e-01 2.181772872745945335e+00 6.546190029337579652e-01
1.759999999999999954e-04 1.547096089186269382e+05 2.345878715161022228e+03 6.310856015272780496e+03 2.345878715161022228e+03 4.227034200962631161e+01 6.409498175069087145e-01 1.724275848175645942e+00 6.409498175069087145e-01
2.889999999999999774e-04 5.837038520479893486e+04 2.327106310243177177e+03 2.529900095535502260e+03 2.327106310243177177e+03 1.594817647776638481e+01 6.358207503354064150e-01 6.912288321064748997e-01 6.358207503354064150e-01
4.749999999999999990e-04 1.651190893141261040e+04 2.349991723133600772e+03 1.552489848835261000e+03 2.349991723133600772e+03 4.511445944703567967e+00 6.420735890354157815e-01 4.241771234213133068e-01 6.420735890354157815e-01
7.799999999999999859e-04 2.632475421701799405e+03 2.357195756332259862e+03 -1.104328465334111797e+01 2.357195756332259862e+03 7.192548490365474612e-01 6.440419021174829117e-01 -3.017287823744112425e-03 6.440419021174829117e-01
1.200000000000000030e-05 7.895352145031159744e+05 2.534739750284490583e+03 -4.035155652365996502e+03 2.534739750284490583e+03 2.157197848211494318e+02 6.925511408038993455e-01 -1.102500424374424526e+00 6.925511408038993455e-01
1.900000000000000105e-05 7.320560492893247865e+05 2.388035812480613004e+03 -2.090089901369443396e+03 2.388035812480613004e+03 2.000151108258017700e+02 6.524681384068696799e-01 -5.710622344616071988e-01 6.524681384068696799e-01
3.100000000000000135e-05 6.399397040735544870e+05 2.459626272300300116e+03 1.390342206718429225e+03 2.459626272300300116e+03 1.748467360612100947e+02 6.720283534598096020e-01 3.798745339684629907e-01 6.720283534598096020e-01
5.099999999999999960e-05 5.144721668363574427e+05 2.436849008411885279e+03 5.411964669434557436e+03 2.436849008411885279e+03 1.405660230066552856e+02 6.658050636374353015e-01 1.478677369298615929e+00 6.658050636374353015e-01
8.399999999999999535e-05 3.659603087924321881e+05 2.370084723699336791e+03 7.679346964277421648e+03 2.370084723699336791e+03 9.998905383272592928e+01 6.475634743234072177e-01 2.098180099216251815e+00 6.475634743234072177e-01
1.379999999999999933e-04 2.184365086418933643e+05 2.338950329614322072e+03 6.713640412627410115e+03 2.338950329614322072e+03 5.968204555761004571e+01 6.390568179144425764e-01 1.834326118170682474e+00 6.390568179144425764e-01
2.259999999999999910e-04 9.871597071511001559e+04 2.485976047499919787e+03 5.371966658826453568e+03 2.485976047499919787e+03 2.697154929875566509e+01 6.792277382772745620e-01 1.467748962201429697e+00 6.792277382772745620e-01
3.710000000000000190e-04 3.142764984992508471e+04 2.487802919098559869e+03 2.681875248870409905e+03 2.487802919098559869e+03 8.586780853501135624e+00 6.797268830157426889e-01 7.327520558631247516e-01 6.797268830157426889e-01
6.089999999999999494e-04 7.121566157798466520e+03 2.397932256471613982e+03 6.575031483571815443e+02 2.397932256471613982e+03 1.945781126579253062e+00 6.551720821056656874e-01 1.796454864550943165e-01 6.551720821056656874e-01
1.000000000000000021e-03 7.536722309550054888e+02 2.282854098532830449e+03 -3.982416581515611824e+02 2.282854098532830449e+03 2.059211653904612360e-01 6.237299943910705746e-01 -1.088090856812992530e-01 6.237299943910705746e-01
