# t_m M M/M0 (M-M1)/M0
9.999999999999999547e-07 9.234706177848774241e+05 9.234706177848774900e-01 9.224301139424064822e-01
1.023371798632519308e-06 9.219877147543068277e+05 9.219877147543069640e-01 9.209472109118358452e-01
1.047289838236359565e-06 9.204777190181768965e+05 9.204777190181769875e-01 9.194372151757059797e-01
1.071766885445503435e-06 9.189401853748128051e+05 9.189401853748129234e-01 9.178996815323419156e-01
1.096816005273138014e-06 9.173746633128639078e+05 9.173746633128639916e-01 9.163341594703929838e-01
1.122450568085305844e-06 9.157806970343120629e+05 9.157806970343121966e-01 9.147401931918410778e-01
1.148684256737554753e-06 9.141578254822833696e+05 9.141578254822835259e-01 9.131173216398124071e-01
1.175531073878369957e-06 9.125055823738876497e+05 9.125055823738877914e-01 9.114650785314166725e-01
1.203005349423324184e-06 9.108234962383125676e+05 9.108234962383127131e-01 9.097829923958415943e-01
1.231121748203889582e-06 9.091110904604148818e+05 9.091110904604149390e-01 9.080705866179439312e-01
1.259895277795028425e-06 9.073678833300489932e+05 9.073678833300491409e-01 9.063273794875780220e-01
1.289341296525715624e-06 9.055933880973866908e+05 9.055933880973867645e-01 9.045528842549157567e-01
1.319475521676705910e-06 9.037871130344853736e+05 9.037871130344854453e-01 9.027466091920144375e-01
1.350314037869872138e-06 9.019485615033736685e+05 9.019485615033737691e-01 9.009080576609027613e-01
1.381873305653633617e-06 9.000772320309261559e+05 9.000772320309262664e-01 8.990367281884552586e-01
1.414170170289023892e-06 8.981726183908106759e+05 8.981726183908107508e-01 8.971321145483397430e-01
1.447221870741134366e-06 8.962342096927950624e+05 8.962342096927952140e-01 8.951937058503240952e-01
1.481046048880673974e-06 8.942614904797126073e+05 8.942614904797127062e-01 8.932209866372416984e-01
1.515660758900604291e-06 8.922539408323901007e+05 8.922539408323901799e-01 8.912134369899191721e-01
1.551084476952840571e-06 8.902110364828491583e+05 8.902110364828492717e-01 8.891705326403782639e-01
1.587336111010208705e-06 8.881322489361022599e+05 8.881322489361023198e-01 8.870917450936313120e-01
1.624435010958865447e-06 8.860170456008703914e+05 8.860170456008704676e-01 8.849765417583994598e-01
1.662400978926613503e-06 8.838648899295580341e+05 8.838648899295581396e-01 8.828243860870871318e-01
1.701254279852589246e-06 8.816752415678279940e+05 8.816752415678280608e-01 8.806347377253570530e-01
1.741015652304015331e-06 8.794475565141247353e+05 8.794475565141248730e-01 8.784070526716537541e-01
1.781706319545728901e-06 8.771812872895053588e+05 8.771812872895055069e-01 8.761407834470343881e-01
1.823348000868442370e-06 8.748758831181441201e+05 8.748758831181442375e-01 8.738353792756731186e-01
1.865962923181746036e-06 8.725307901188792894e+05 8.725307901188793513e-01 8.714902862764083435e-01
1.909573832878096448e-06 8.701454515081830323e+05 8.701454515081831209e-01 8.691049476657121131e-01
1.954204007974051565e-06 8.677193078149394132e+05 8.677193078149395555e-01 8.666788039724684367e-01
1.999877270535287164e-06 8.652517971074230736e+05 8.652517971074231706e-01 8.642112932649521628e-01
2.046617999391989682e-06 8.627423552328768419e+05 8.627423552328769008e-01 8.617018513904058929e-01
2.094451143151468901e-06 8.601904160700886277e+05 8.601904160700887259e-01 8.591499122276177181e-01
2.143402233514858855e-06 8.575954117953844834e+05 8.575954117953845657e-01 8.565549079529135579e-01
2.193497398905060136e-06 8.549567731624458684e+05 8.549567731624460043e-01 8.539162693199748855e-01
2.244763378413223769e-06 8.522739297963731224e+05 8.522739297963731753e-01 8.512334259539021675e-01
2.297227536071151343e-06 8.495463105024200631e+05 8.495463105024201322e-01 8.485058066599491244e-01
2.350917875457289323e-06 8.467733435898250900e+05 8.467733435898251448e-01 8.457328397473541370e-01
2.405863054644066633e-06 8.439544572111725574e+05 8.439544572111726817e-01 8.429139533687015629e-01
2.462092401494625704e-06 8.410890797177117784e+05 8.410890797177118516e-01 8.400485758752408438e-01
2.519635929317013705e-06 8.381766400310778990e+05 8.381766400310779463e-01 8.371361361886069385e-01
2.578524352884276345e-06 8.352165680318411905e+05 8.352165680318412999e-01 8.341760641893702921e-01
2.638789104828934724e-06 8.322082949653309770e+05 8.322082949653311079e-01 8.311677911228599891e-01
2.700462352420681915e-06 8.291512538651609793e+05 8.291512538651610864e-01 8.281107500226900786e-01
