# t_m M M/M0 (M-M1)/M0
3.731696837732755809e-05 7.225584794623850612e+05 7.869459515131446148e-01 7.855695614191949838e-01
3.878187145610719399e-05 7.162571475555344950e+05 7.800831054263804853e-01 7.787067153324308544e-01
4.030428030568050765e-05 7.097848024342086865e+05 7.730340070699223132e-01 7.716576169759726822e-01
4.188645235435271141e-05 7.031389618079221109e+05 7.657959529553971523e-01 7.644195628614474103e-01
4.353073364731891934e-05 6.963172715880020987e+05 7.583663792203589882e-01 7.569899891264092462e-01
4.523956232538058048e-05 6.893175209807186620e+05 7.507428780663736312e-01 7.493664879724238892e-01
4.701547224022129581e-05 6.821376583678128663e+05 7.429232150546672964e-01 7.415468249607175544e-01
4.886109671160326288e-05 6.747758079760118853e+05 7.349053472610683757e-01 7.335289571671187447e-01
5.077917243205403721e-05 6.672302873321461957e+05 7.266874422865574612e-01 7.253110521926078302e-01
5.277254352483532347e-05 6.594996254948566202e+05 7.182678981136088048e-01 7.168915080196590628e-01
5.484416576121014950e-05 6.515825820475700311e+05 7.096453637916374513e-01 7.082689736976877093e-01
5.699711094326075290e-05 6.434781668303837068e+05 7.008187609271998575e-01 6.994423708332502265e-01
5.923457145875805631e-05 6.351856603806678904e+05 6.917873059460668550e-01 6.904109158521171130e-01
6.155986501483513579e-05 6.267046350435881177e+05 6.825505330849122032e-01 6.811741429909624612e-01
6.397643955748424092e-05 6.180349767042798921e+05 6.731083180600506699e-01 6.717319279661010389e-01
6.648787838417262398e-05 6.091769070830846904e+05 6.634609023494113522e-01 6.620845122554616102e-01
6.909790545715645651e-05 6.001310065240554977e+05 6.536089180117351516e-01 6.522325279177855206e-01
7.181039092537341731e-05 5.908982371948251966e+05 6.435534129537936465e-01 6.421770228598440156e-01
7.462935686310129138e-05 5.814799666029474465e+05 6.332958765422798120e-01 6.319194864483301810e-01
7.755898323389002265e-05 5.718779913199391449e+05 6.228382654419093445e-01 6.214618753479596025e-01
8.060361408861345649e-05 5.620945607895121211e+05 6.121830295452134196e-01 6.108066394512636776e-01
8.376776400682923638e-05 5.521324010809429456e+05 6.013331378425805784e-01 5.999567477486309475e-01
8.705612479099856735e-05 5.419947384322262369e+05 5.902921040633500871e-01 5.889157139694004561e-01
9.047357242349293694e-05 5.316853224106854759e+05 5.790640119002733455e-01 5.776876218063237145e-01
9.402517429670132095e-05 5.212084485012008809e+05 5.676535396105881759e-01 5.662771495166384339e-01
9.771619672696181254e-05 5.105689799142365810e+05 5.560659837673677108e-01 5.546895936734179688e-01
1.015521127634568086e-04 4.997723683876594296e+05 5.443072819149976649e-01 5.429308918210479229e-01
1.055386103036522926e-04 4.888246737380441627e+05 5.323840338627058300e-01 5.310076437687560880e-01
1.096816005273137988e-04 4.777325818990578409e+05 5.203035213303541795e-01 5.189271312364044375e-01
1.139872266616051392e-04 4.665034211668429198e+05 5.080737256414545877e-01 5.066973355475048457e-01
1.184618730902683531e-04 4.551451763553860364e+05 4.957033431399279766e-01 4.943269530459782346e-01
1.231121748203889692e-04 4.436665005490477779e+05 4.832017979899066451e-01 4.818254078959569031e-01
1.279450273207873381e-04 4.320767241250778316e+05 4.705792520022494263e-01 4.692028619082996843e-01
1.329675967466211416e-04 4.203858607065528049e+05 4.578466111179480547e-01 4.564702210239983127e-01
1.381873305653632058e-04 4.086046096961583826e+05 4.450155281676957397e-01 4.436391380737459977e-01
1.436119685999078855e-04 3.967443550341849914e+05 4.320984015192073091e-01 4.307220114252575671e-01
1.492495545051829070e-04 3.848171598205046612e+05 4.191083692199582544e-01 4.177319791260085124e-01
1.551084476952840495e-04 3.728357564407903119e+05 4.060592982435474729e-01 4.046829081495976754e-01
1.611973357388157043e-04 3.608135318424259895e+05 3.929657684535381446e-01 3.915893783595884026e-01
1.675252472408215586e-04 3.487645076160442550e+05 3.798430509100531594e-01 3.784666608161034174e-01
1.741015652304015381e-04 3.367033145551343332e+05 3.667070801623794063e-01 3.653306900684296643e-01
1.809360410738716568e-04 3.246451613892291789e+05 3.535744201959573618e-01 3.521980301020076198e-01
1.880388089340914693e-04 3.126057974165365449e+05 3.404622237351906389e-01 3.390858336412408969e-01
1.954204007974053514e-04 3.006014687999924645e+05 3.273881846450237276e-01 3.260117945510739856e-01
2.030917620904734884e-04 2.886488683372305823e+05 3.143704832248935821e-01 3.129940931309438401e-01
2.110642679101554697e-04 2.767650785701975692e+05 3.014277242488198616e-01 3.000513341548701196e-01
2.193497398905057730e-04 2.649675081645542523e+05 2.885788676755497439e-01 2.872024775816000020e-01
2.279604637318979670e-04 2.532738215626759629e+05 2.758431520329092668e-01 2.744667619389595803e-01
2.369092074182632202e-04 2.417018619971225853e+05 2.632400105709729599e-01 2.618636204770232734e-01
2.462092401494625450e-04 2.302695680436407274e+05 2.507889803790712691e-01 2.494125902851215548e-01
2.558743520168586523e-04 2.189948839937617886e+05 2.385096047716551981e-01 2.371332146777054839e-01
2.659188744512693946e-04 2.078956644361293293e+05 2.264213293668281279e-01 2.250449392728784137e-01
2.763577014736157632e-04 1.969895735519357549e+05 2.145433924079589993e-01 2.131670023140092851e-01
2.872063117797827919e-04 1.862939797519270505e+05 2.028947100117487468e-01 2.015183199177990325e-01
2.984807916924324248e-04 1.758258464087748143e+05 1.914937571637208014e-01 1.901173670697710871e-01
3.101978590138096945e-04 1.656016195671587193e+05 1.803584454221046629e-01 1.789820553281549487e-01
3.223748878149030293e-04 1.556371136423565913e+05 1.695059984309819356e-01 1.681296083370322214e-01
3.350299341977229571e-04 1.459473962436969450e+05 1.589528264803112545e-01 1.575764363863615403e-01
3.481817630688966228e-04 1.365466733788610436e+05 1.487144014807403047e-01 1.473380113867905905e-01
3.618498759642746650e-04 1.274481764052774379e+05 1.388051338411942504e-01 1.374287437472445084e-01
3.760545399658171912e-04 1.186640521920390602e+05 1.292382528430779109e-01 1.278618627491281690e-01
3.908168177536264177e-04 1.102052580360203574e+05 1.200256921923264636e-01 1.186493020983767216e-01
4.061585988376979588e-04 1.020814629350960022e+05 1.111779824950416135e-01 1.098015924010918853e-01
4.221026320156898832e-04 9.430095685557204706e+04 1.027041524397076244e-01 1.013277623457578963e-01
4.386725591048498511e-04 8.687056963614275446e+04 9.461164047464765137e-02 9.323525038069790938e-02
4.558929499981059568e-04 7.979560114325255563e+04 8.690621873950235554e-02 8.552982864555262743e-02
4.737893390963144095e-04 7.307976422936856397e+04 7.959193094049152317e-02 7.821554084654179506e-02
4.923882631706736918e-04 6.672514194374874933e+04 7.267104574821685314e-02 7.129465565426713891e-02
5.117173007114604729e-04 6.073216030291969946e+04 6.614402714170622422e-02 6.476763704775649610e-02
5.318051128214197360e-04 5.509957774442154187e+04 6.000952292237759361e-02 5.863313282842787244e-02
5.526814857144602593e-04 4.982449216267717566e+04 5.426437237687743026e-02 5.288798228292770909e-02
5.743773748826580582e-04 4.490236616175864765e+04 4.890363378013100337e-02 4.752724368618128220e-02
5.969249509970733867e-04 4.032707085940199613e+04 4.392063210275035101e-02 4.254424200880062984e-02
6.203576476104268565e-04 3.609094824454995251e+04 3.930702692528231790e-02 3.793063683133259673e-02
6.447102107323869971e-04 3.218489173321580893e+04 3.505290017243728462e-02 3.367651007848755651e-02
6.700187503509583229e-04 2.859844419245240351e+04 3.114686287201285167e-02 2.977047277806312356e-02
6.963207939763882718e-04 2.531991231900561979e+04 2.757617972587441887e-02 2.619978963192469076e-02
