# t_m M M/M0 (M-M1)/M0
9.999999999999999547e-07 9.067030055364449508e+05 9.067030055364450059e-01 9.060893777429256390e-01
1.023371798632519308e-06 9.046917945917518809e+05 9.046917945917519743e-01 9.040781667982326075e-01
1.047289838236359565e-06 9.026398815156482160e+05 9.026398815156483346e-01 9.020262537221289678e-01
1.071766885445503435e-06 9.005465485912944423e+05 9.005465485912945711e-01 8.999329207977750933e-01
1.096816005273138014e-06 8.984110702872505644e+05 8.984110702872506460e-01 8.977974424937312792e-01
1.122450568085305844e-06 8.962327134142110590e+05 8.962327134142111795e-01 8.956190856206917017e-01
1.148684256737554753e-06 8.940107372973320307e+05 8.940107372973321587e-01 8.933971095038126808e-01
1.175531073878369957e-06 8.917443939648639644e+05 8.917443939648640461e-01 8.911307661713446793e-01
1.203005349423324184e-06 8.894329283538099844e+05 8.894329283538100483e-01 8.888193005602906815e-01
1.231121748203889582e-06 8.870755785333615495e+05 8.870755785333616084e-01 8.864619507398422416e-01
1.259895277795028425e-06 8.846715759468756150e+05 8.846715759468757323e-01 8.840579481533562545e-01
1.289341296525715624e-06 8.822201456731836079e+05 8.822201456731837421e-01 8.816065178796642643e-01
1.319475521676705910e-06 8.797205067080339650e+05 8.797205067080340335e-01 8.791068789145146667e-01
1.350314037869872138e-06 8.771718722665025853e+05 8.771718722665027279e-01 8.765582444729832501e-01
1.381873305653633617e-06 8.745734501072108978e+05 8.745734501072109923e-01 8.739598223136916255e-01
1.414170170289023892e-06 8.719244428792214021e+05 8.719244428792215507e-01 8.713108150857020728e-01
1.447221870741134366e-06 8.692240484924901975e+05 8.692240484924903532e-01 8.686104206989708754e-01
1.481046048880673974e-06 8.664714605127824470e+05 8.664714605127825653e-01 8.658578327192630875e-01
1.515660758900604291e-06 8.636658685819660313e+05 8.636658685819661452e-01 8.630522407884467784e-01
1.551084476952840571e-06 8.608064588646210032e+05 8.608064588646211490e-01 8.601928310711016712e-01
1.587336111010208705e-06 8.578924145219122292e+05 8.578924145219123387e-01 8.572787867283929719e-01
1.624435010958865447e-06 8.549229162136934465e+05 8.549229162136935400e-01 8.543092884201741732e-01
1.662400978926613503e-06 8.518971426298174774e+05 8.518971426298175276e-01 8.512835148362981608e-01
1.701254279852589246e-06 8.488142710516466759e+05 8.488142710516467515e-01 8.482006432581273847e-01
1.741015652304015331e-06 8.456734779447572073e+05 8.456734779447573347e-01 8.450598501512378569e-01
1.781706319545728901e-06 8.424739395838520722e+05 8.424739395838521938e-01 8.418603117903327160e-01
1.823348000868442370e-06 8.392148327108956873e+05 8.392148327108958084e-01 8.386012049173763305e-01
1.865962923181746036e-06 8.358953352274917997e+05 8.358953352274919313e-01 8.352817074339724535e-01
1.909573832878096448e-06 8.325146269225231372e+05 8.325146269225232043e-01 8.319009991290038375e-01
