# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
9.000000000000000228e-06 7.318113174720678944e+05 2.478216730218706289e+03 -9.872592791980905531e+03 2.478216730218706289e+03 5.566620145564135100e+02 1.885088525709507801e+00 -7.509719050893170156e+00 1.885088525709507801e+00
1.500000000000000038e-05 6.393734129285070812e+05 2.460506588395091512e+03 -2.621400773042075343e+03 2.460506588395091512e+03 4.863478926836590404e+02 1.871617070717983333e+00 -1.994003372784731720e+00 1.871617070717983333e+00
2.400000000000000061e-05 5.210736018699558335e+05 2.444755388433793087e+03 3.400894317792693073e+03 2.444755388433793087e+03 3.963615675568824486e+02 1.859635710915534146e+00 2.586935507878639573e+00 1.859635710915534146e+00
4.000000000000000327e-05 3.722844985482692136e+05 2.355101997728620518e+03 4.573220679541988829e+03 2.355101997728620518e+03 2.831831566446273882e+02 1.791439666538754638e+00 3.478681151418597572e+00 1.791439666538754638e+00
6.499999999999999431e-05 2.272032552183500084e+05 2.383634901586023716e+03 7.039247803233574814e+03 2.383634901586023716e+03 1.728251787639907207e+02 1.813143599455879329e+00 5.354497490754333455e+00 1.813143599455879329e+00
1.069999999999999988e-04 1.069569002433149726e+05 2.442173077466724408e+03 4.576135276799745043e+03 2.442173077466724408e+03 8.135818911057708647e+01 1.857671441723708572e+00 3.480898178598127668e+00 1.857671441723708572e+00
1.759999999999999954e-04 3.397988138572024036e+04 2.280264494202568130e+03 2.425470740368429688e+03 2.280264494202568130e+03 2.584724883991012234e+01 1.734513523853382422e+00 1.844966586804200004e+00 1.734513523853382422e+00
2.889999999999999774e-04 8.411979171974790006e+03 2.229795618851429936e+03 9.729513606868272291e+02 2.229795618851429936e+03 6.398683869024486270e+00 1.696123702386275411e+00 7.400883965230630190e-01 1.696123702386275411e+00
4.749999999999999990e-04 6.730231457068841294e+00 2.308266013991717045e+03 7.938004245303314974e+02 2.308266013991717045e+03 5.119440095931400252e-03 1.755813252409526237e+00 6.038148535351893775e-01 1.755813252409526237e+00
7.799999999999999859e-04 -9.960636139096835961e+01 2.387382942599780108e+03 5.699162155707203965e+02 2.387382942599780108e+03 -7.576690394193985600e-02 1.815994596716436815e+00 4.335143514640622531e-01 1.815994596716436815e+00
1.200000000000000030e-05 6.839887806785651483e+05 2.382117457229631782e+03 -4.451092590553370428e+03 2.382117457229631782e+03 5.202851657197111308e+02 1.811989335218310293e+00 -3.385782795753410568e+00 1.811989335218310293e+00
1.900000000000000105e-05 5.828557411211198196e+05 2.383560041403551168e+03 5.970124372934587882e+02 2.383560041403551168e+03 4.433569737197155405e+02 1.813086656062151691e+00 4.541254530020246150e-01 1.813086656062151691e+00
3.100000000000000135e-05 4.488692682384385262e+05 2.431198685159572960e+03 5.816312045337981544e+03 2.431198685159572960e+03 3.414383805831336645e+02 1.849323624213405459e+00 4.424255136734959848e+00 1.849323624213405459e+00
5.099999999999999960e-05 2.991697124380484456e+05 2.439530374644741642e+03 7.311950599902223985e+03 2.439530374644741642e+03 2.275674218804130646e+02 1.855661234663997572e+00 5.561932501042394783e+00 1.855661234663997572e+00
8.399999999999999535e-05 1.590091106958141027e+05 2.197322806926831618e+03 6.171956312738499946e+03 2.197322806926831618e+03 1.209523954870158065e+02 1.671422825981821125e+00 4.694780680177609078e+00 1.671422825981821125e+00
1.379999999999999933e-04 6.410692699564676150e+04 2.280037155189995246e+03 2.296168352890864298e+03 2.280037155189995246e+03 4.876378688934355665e+01 1.734340595408980779e+00 1.746611005547474171e+00 1.734340595408980779e+00
2.259999999999999910e-04 1.778752310722638140e+04 2.450935174218469001e+03 9.159839299287531276e+02 2.450935174218469001e+03 1.353031609437404548e+01 1.864336447187703083e+00 6.967553624297457837e-01 1.864336447187703083e+00
3.710000000000000190e-04 2.273093347130159600e+03 2.608710735650314291e+03 -9.727689978926024139e+01 2.608710735650314291e+03 1.729058695428759673e+00 1.984350527016104371e+00 -7.399496798375053419e-02 1.984350527016104371e+00
6.089999999999999494e-04 8.629140207232863986e+02 2.295365333876205113e+03 1.493747436094593922e+03 2.295365333876205113e+03 6.563870299575322864e-01 1.746000178450714646e+00 1.136238859884305841e+00 1.746000178450714646e+00
1.000000000000000021e-03 6.559913267386100415e+02 2.356069144657020843e+03 -1.183593223723302344e+03 2.356069144657020843e+03 4.989885299058482437e-01 1.792175339716637561e+00 -9.003159319933324856e-01 1.792175339716637561e+00
