# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
1.000000000000000082e-05 3.578878594659201190e+04 2.255045925954169888e+03 -1.387517642777223955e+03 2.255045925954169888e+03 1.997623503639922304e-01 1.258699512801569192e-02 -7.744710477363323485e-03 1.258699512801569192e-02
1.599999999999999928e-05 5.834513800645075389e+04 2.503050533870550225e+03 -1.966594473119475879e+02 2.503050533870550225e+03 3.256651935014844290e-01 1.397128302904727601e-02 -1.097694497794476616e-03 1.397128302904727601e-02
2.599999999999999840e-05 8.463154516774797230e+04 2.430522926405830276e+03 5.855314504248417506e+02 2.430522926405830276e+03 4.723880939374417443e-01 1.356645551254390819e-02 3.268262268618306494e-03 1.356645551254390819e-02
4.300000000000000165e-05 1.181388252083719708e+05 2.396888777673442746e+03 2.230714254614482343e+03 2.396888777673442746e+03 6.594157574409846845e-01 1.337871970576632111e-02 1.245118298109476607e-02 1.337871970576632111e-02
6.999999999999999387e-05 1.465596737173092843e+05 2.439505689454636922e+03 3.585758103364220005e+03 2.439505689454636922e+03 8.180524741476298267e-01 1.361659462209823153e-02 2.001463440625532442e-02 1.361659462209823153e-02
1.129999999999999955e-04 1.683038303383505554e+05 2.420164550593699914e+03 3.960112600635722629e+03 2.420164550593699914e+03 9.394218841014646548e-01 1.350863814200575774e-02 2.210416978071267496e-02 1.350863814200575774e-02
1.830000000000000029e-04 1.760062038939163031e+05 2.445769974047550932e+03 9.904532160393355298e+02 2.445769974047550932e+03 9.824142406216720413e-01 1.365155999408645439e-02 5.528415036398667999e-03 1.365155999408645439e-02
2.979999999999999793e-04 1.799144004478626885e+05 2.445779722449140081e+03 1.413251649954887398e+03 2.445779722449140081e+03 1.004228630482949969e+00 1.365161440676244259e-02 7.888350045516469636e-03 1.365161440676244259e-02
4.829999999999999767e-04 1.787768110359023849e+05 2.511277416463105965e+03 1.040533499342716823e+03 2.511277416463105965e+03 9.978789449970688619e-01 1.401720303888806876e-02 5.807948271041143799e-03 1.401720303888806876e-02
7.849999999999999990e-04 1.791599111424318689e+05 2.461034482794889755e+03 4.155629821294132853e+01 2.461034482794889755e+03 1.000017295759210834e+00 1.373676193832313805e-02 2.319548870931909597e-04 1.373676193832313805e-02
1.299999999999999920e-05 4.444604605481991894e+04 2.369090771963485167e+03 -2.526148900666521513e+01 2.369090771963485167e+03 2.480845993923004311e-01 1.322355951216993598e-02 -1.410021123710715842e-04 1.322355951216993598e-02
2.099999999999999884e-05 7.125442260452764458e+04 2.550339984288428695e+03 -6.924476842178701190e+02 2.550339984288428695e+03 3.977209775864176122e-01 1.423523866523438222e-02 -3.865036861264002036e-03 1.423523866523438222e-02
3.399999999999999973e-05 1.041471307893443736e+05 2.475499639949988705e+03 -9.162444636646068830e+02 2.475499639949988705e+03 5.813182839225832232e-01 1.381750213990469607e-02 -5.114203869412521468e-03 1.381750213990469607e-02
5.500000000000000196e-05 1.351604871023166343e+05 2.503970852431587900e+03 -1.011977501971588936e+03 2.503970852431587900e+03 7.544256075127326877e-01 1.397641997331554135e-02 -5.648557193613783223e-03 1.397641997331554135e-02
8.899999999999999491e-05 1.598299291519175167e+05 2.360061476991579184e+03 -6.663940223541139858e+02 2.360061476991579184e+03 8.921230899965117978e-01 1.317316067527143399e-02 -3.719613075800605028e-03 1.317316067527143399e-02
1.440000000000000036e-04 1.729461099055785453e+05 2.397710297153325882e+03 -1.750227181697511696e+03 2.397710297153325882e+03 9.653337068377848551e-01 1.338330518297183892e-02 -9.769247160509910918e-03 1.338330518297183892e-02
2.339999999999999958e-04 1.782639849125784240e+05 2.478621105297475424e+03 -1.823879811832288397e+03 2.478621105297475424e+03 9.950165022230634815e-01 1.383492523034772492e-02 -1.018035421868643611e-02 1.383492523034772492e-02
3.789999999999999966e-04 1.791168234432041063e+05 2.466637855296402904e+03 -1.694732257924908481e+03 2.466637855296402904e+03 9.997767930474853459e-01 1.376803829574240433e-02 -9.459491014474970261e-03 1.376803829574240433e-02
6.160000000000000111e-04 1.799906646418853197e+05 2.588445630367411923e+03 -2.093340147319220705e+03 2.588445630367411923e+03 1.004654314513397706e+00 1.444793303922727902e-02 -1.168440160456500621e-02 1.444793303922727902e-02
1.000000000000000021e-03 1.788377357292035595e+05 2.435159591334838296e+03 -2.061674198692038772e+03 2.435159591334838296e+03 9.982190085004023494e-01 1.359233599604092214e-02 -1.150765170492574173e-02 1.359233599604092214e-02
