# t_m M M/M0 (M-M1)/M0
1.000000000000000082e-05 -4.735200873866596958e+05 4.168645003275914807e-01 9.699001643050634280e-01
1.039255682936713057e-05 -4.725276393128271447e+05 4.159907963783407436e-01 9.690264603558126355e-01
1.080052374516253993e-05 -4.715068596060915152e+05 4.150921506107633774e-01 9.681278145882352693e-01
1.122450568085305802e-05 -4.704569677901981631e+05 4.141678759307896862e-01 9.672035399082615781e-01
1.166513131698196108e-05 -4.693771635813041357e+05 4.132172678066940441e-01 9.662529317841659360e-01
1.212305401337652898e-05 -4.682666264884144766e+05 4.122396039173378823e-01 9.652752678948098852e-01
1.259895277795028468e-05 -4.671245154124131659e+05 4.112341437991758331e-01 9.642698077766478360e-01
1.309353327353609475e-05 -4.659499682442183839e+05 4.102001284924906566e-01 9.632357924699626039e-01
1.360752886424333165e-05 -4.647421014626199612e+05 4.091367801873486143e-01 9.621724441648205062e-01
1.414170170289024019e-05 -4.635000097324160160e+05 4.080433018698180203e-01 9.610789658472900232e-01
1.469684386112447426e-05 -4.622227655035067583e+05 4.069188769690306740e-01 9.599545409465026768e-01
1.527377850390712299e-05 -4.609094186116614146e+05 4.057626690057160590e-01 9.587983329831879509e-01
1.587336111010208536e-05 -4.595589958817200968e+05 4.045738212428790503e-01 9.576094852203509422e-01
1.649648074098020639e-05 -4.581705007340646116e+05 4.033514563393558738e-01 9.563871203168278212e-01
1.714406135851971963e-05 -4.567429127952378476e+05 4.020946760070216452e-01 9.551303399844935926e-01
1.781706319545728901e-05 -4.552751875136656454e+05 4.008025606724906487e-01 9.538382246499625960e-01
1.851648417912153989e-05 -4.537662557814993197e+05 3.994741691442040832e-01 9.525098331216760306e-01
1.924336141115980055e-05 -4.522150235636705766e+05 3.981085382858679522e-01 9.511442022633398441e-01
1.999877270535286910e-05 -4.506203715353208827e+05 3.967046826972631668e-01 9.497403466747351697e-01
2.078383818579755086e-05 -4.489811547288500005e+05 3.952615944035239304e-01 9.482972583809958778e-01
2.159972194782717103e-05 -4.472962021919112885e+05 3.937782425540529707e-01 9.468139065315248626e-01
2.244763378413223854e-05 -4.455643166577642551e+05 3.922535731323157360e-01 9.452892371097876278e-01
2.332883097864158392e-05 -4.437842742294910131e+05 3.906865086778396612e-01 9.437221726553115531e-01
2.424462017082330928e-05 -4.419548240796705941e+05 3.890759480218217159e-01 9.421116119992936078e-01
2.519635929317013366e-05 -4.400746881672161398e+05 3.874207660378454210e-01 9.404564300153173129e-01
2.618545958474232716e-05 -4.381425609731700970e+05 3.857198134092874042e-01 9.387554773867593516e-01
2.721338768375308650e-05 -4.361571092573724454e+05 3.839719164150998676e-01 9.370075803925718150e-01
2.828166780230035161e-05 -4.341169718380254926e+05 3.821758767357499309e-01 9.352115407132218783e-01
2.939188398646884365e-05 -4.320207593962956453e+05 3.803304712812002331e-01 9.333661352586721804e-01
3.054568246515432163e-05 -4.298670543082152726e+05 3.784344520429234748e-01 9.314701160203954222e-01
3.174477409109193257e-05 -4.276544105062837480e+05 3.764865459720624363e-01 9.295222099495343837e-01
3.299093687770942587e-05 -4.253813533732841024e+05 3.744854548859513632e-01 9.275211188634233661e-01
3.428601863556583155e-05 -4.230463796709846938e+05 3.724298554053483423e-01 9.254655193828202897e-01
3.563193971228584164e-05 -4.206479575065261452e+05 3.703183989248438612e-01 9.233540629023158086e-01
3.703069584005140764e-05 -4.181845263394500362e+05 3.681497116190484142e-01 9.211853755965203616e-01
3.848436109487433118e-05 -4.156544970324727474e+05 3.659223944872916912e-01 9.189580584647636385e-01
3.999509097203661132e-05 -4.130562519492659485e+05 3.636350234397036085e-01 9.166706874171755004e-01
4.156512558225988177e-05 -4.103881451026687864e+05 3.612861494276933261e-01 9.143218134051652735e-01
4.319679297334173899e-05 -4.076485023569237674e+05 3.588742986219881081e-01 9.119099625994601110e-01
4.489251258218607721e-05 -4.048356216876944527e+05 3.563979726415404947e-01 9.094336366190124421e-01
4.665479882234468170e-05 -4.019477735038048122e+05 3.538556488367721187e-01 9.068913128142440661e-01
4.848626481239078214e-05 -3.989832010348134208e+05 3.512457806307758279e-01 9.042814446082477753e-01
5.038962625065150348e-05 -3.959401207887227647e+05 3.485667979222609181e-01 9.016024618997328099e-01
5.236770544204655644e-05 -3.928167230843038997e+05 3.458171075541863759e-01 8.988527715316583233e-01
5.442343548300271707e-05 -3.896111726627112366e+05 3.429950938521974524e-01 8.960307578296694553e-01
5.655986461065002122e-05 -3.863216093832488405e+05 3.400991192371452532e-01 8.931347832146171450e-01
5.878016072274911818e-05 -3.829461490083405515e+05 3.371275249161365672e-01 8.901631888936084591e-01
6.108761607505039696e-05 -3.794828840829569381e+05 3.340786316567398995e-01 8.871142956342118469e-01
6.348565216305209716e-05 -3.759298849139335798e+05 3.309507406491302151e-01 8.839864046266021624e-01
6.597782479539533469e-05 -3.722852006548162317e+05 3.277421344611352039e-01 8.807777984386071513e-01
6.856782936641737654e-05 -3.685468605020586401e+05 3.244510780913103520e-01 8.774867420687822994e-01
7.125950633568410445e-05 -3.647128750085814390e+05 3.210758201253340882e-01 8.741114841028060356e-01
7.405684692262442192e-05 -3.607812375208893791e+05 3.176145940011767532e-01 8.706502579786487006e-01
7.696399902471150959e-05 -3.567499257461212110e+05 3.140656193886568470e-01 8.671012833661287944e-01
7.998527336796708482e-05 -3.526169034555766266e+05 3.104271036891448343e-01 8.634627676666167817e-01
8.312514989890631772e-05 -3.483801223314322997e+05 3.066972436613238373e-01 8.597329076387957292e-01
8.638828442740453491e-05 -3.440375239635049365e+05 3.028742271790447194e-01 8.559098911565166112e-01
8.977951553033313987e-05 -3.395870420030693058e+05 2.989562351274445140e-01 8.519918991049164614e-01
9.330387172620360271e-05 -3.350266044808559818e+05 2.949414434436013477e-01 8.479771074210732396e-01
9.696657893145520398e-05 -3.303541362964723958e+05 2.908280253081017563e-01 8.438636892855736482e-01
1.007730682094461807e-04 -3.255675618865740253e+05 2.866141534939715685e-01 8.396498174714435159e-01
1.047289838236358574e-04 -3.206648080791875254e+05 2.822980028794855878e-01 8.353336668569575352e-01
1.088401916069005473e-04 -3.156438071416250896e+05 2.778777531314063909e-01 8.309134171088783383e-01
1.131127876593921339e-04 -3.105025000294534257e+05 2.733515915652212080e-01 8.263872555426932109e-01
1.175531073878369897e-04 -3.052388398439575685e+05 2.687177161889285903e-01 8.217533801664005377e-01
1.221677348996791812e-04 -2.998507955054939957e+05 2.639743389368829907e-01 8.170100029143549936e-01
1.269635127659972894e-04 -2.943363556500365958e+05 2.591196891001281144e-01 8.121553530776001173e-01
1.319475521676705977e-04 -2.886935327560871374e+05 2.541520169595320455e-01 8.071876809370039929e-01
1.371272434398400808e-04 -2.829203675089435419e+05 2.490695976278808343e-01 8.021052616053527817e-01
1.425102670302997709e-04 -2.770149334090822376e+05 2.438707351068786222e-01 7.969063990843505696e-01
1.481046048880673999e-04 -2.709753416311299661e+05 2.385537665647545491e-01 7.915894305422265242e-01
1.539185522990205494e-04 -2.647997461395417340e+05 2.331170668398617751e-01 7.861527308173337225e-01
1.599607301861487752e-04 -2.584863490666897269e+05 2.275590531752903212e-01 7.805947171527622963e-01
1.662400978926611885e-04 -2.520334063585696276e+05 2.218781901890776453e-01 7.749138541665495650e-01
1.727659664669034588e-04 -2.454392336927650031e+05 2.160729950841023539e-01 7.691086590615743290e-01
1.795480124687830279e-04 -2.387022126726522110e+05 2.101420431011666590e-01 7.631777070786386341e-01
1.865962923181746036e-04 -2.318207973010819405e+05 2.040839732181168320e-01 7.571196371955887239e-01
1.939212572065831012e-04 -2.247935207359229680e+05 1.978974940971017782e-01 7.509331580745737256e-01
2.015337685941733013e-04 -2.176190023289116798e+05 1.915813902812404657e-01 7.446170542587123853e-01
2.094451143151468647e-04 -2.102959549481805880e+05 1.851345286410266411e-01 7.381701926184985885e-01
2.176670253153459040e-04 -2.028231925836673472e+05 1.785558650697683936e-01 7.315915290472403409e-01
2.262116930469026423e-04 -1.951996382332943613e+05 1.718444514262043310e-01 7.248801154036762506e-01
2.350917875457286799e-04 -1.874243320663776249e+05 1.649994427211795567e-01 7.180351066986514486e-01
2.443204762186486812e-04 -1.794964398591467179e+05 1.580201045438749674e-01 7.110557685213468870e-01
2.539114433680347252e-04 -1.714152616955427220e+05 1.509058207215749070e-01 7.039414846990468266e-01
2.638789104828934487e-04 -1.631802409245885210e+05 1.436561012053086672e-01 6.966917651827806424e-01
2.742376573264949761e-04 -1.547909733636012534e+05 1.362705901719198087e-01 6.893062541493917283e-01
2.850030438518105108e-04 -1.462472167343333131e+05 1.287490743311946462e-01 6.817847383086665936e-01
2.961910329772553230e-04 -1.375489003167743795e+05 1.210914914246090796e-01 6.741271554020810131e-01
3.078182142565080021e-04 -1.286961348028278444e+05 1.132979389000353804e-01 6.663336028775073139e-01
3.199018284775064186e-04 -1.196892223293790594e+05 1.053686827443769819e-01 6.584043467218488876e-01
3.324597932270938281e-04 -1.105286666674098233e+05 9.730416645357879701e-02 6.503398304310507028e-01
3.455107294592218038e-04 -1.012151835407745093e+05 8.910502011678568535e-02 6.421406840942576189e-01
3.590739891061055147e-04 -9.174971104503888637e+04 8.077206958859114994e-02 6.338077335660631251e-01
3.731696837732751608e-04 -8.213342013340117410e+04 7.230634572034211338e-02 6.253420096978140608e-01
3.878187145610719399e-04 -7.236772513316955883e+04 6.370909361834416196e-02 6.167447575958161510e-01
4.030428030568050765e-04 -6.245429425257397816e+04 5.498178189355752005e-02 6.080174458710294605e-01
4.188645235435270735e-04 -5.239506003382999916e+04 4.612611186397588131e-02 5.991617758414478079e-01
4.353073364731892205e-04 -4.219222970439295750e+04 3.714402666737691427e-02 5.901796906448488755e-01
4.523956232538053576e-04 -3.184829537424014416e+04 2.803772023852307144e-02 5.810733842159949702e-01
4.701547224022129445e-04 -2.136604402280354407e+04 1.880964610118089977e-02 5.718453100786528021e-01
4.886109671160326559e-04 -1.074856721490551718e+04 9.462525921567384313e-03 5.624981898990393248e-01
5.077917243205403450e-04 7.295192955061793327e-01 -6.422339932375329530e-07 5.530350217434787385e-01
5.277254352483537903e-04 1.087811770969803911e+04 -9.576575998253525346e-03 5.434590879792183804e-01
5.484416576121014814e-04 2.187953745067818090e+04 -1.926170122393996986e-02 5.337739627535319498e-01
5.699711094326075696e-04 3.300058946251636371e+04 -2.905214499501173470e-02 5.239835189824602057e-01
5.923457145875806037e-04 4.423652779201162048e+04 -3.894372920062959958e-02 5.140919347768423409e-01
6.155986501483508158e-04 5.558225323850207496e+04 -4.893196474773794241e-02 5.041036992297339703e-01
6.397643955748423279e-04 6.703230759536230471e+04 -5.901204649155367826e-02 4.940236174859182761e-01
6.648787838417262669e-04 7.858086880062415730e+04 -6.917884896640412451e-02 4.838568150110678090e-01
6.909790545715644838e-04 9.022174709362688009e+04 -7.942692300222504997e-02 4.736087409752469113e-01
7.181039092537349049e-04 1.019483822774587898e+05 -8.975049331454494628e-02 4.632851706629270150e-01
7.462935686310129138e-04 1.137538421893233317e+05 -1.001434571578682098e-01 4.528922068196037376e-01
7.755898323389001994e-04 1.256308224827859667e+05 -1.105993841339757006e-01 4.424362798434962607e-01
8.060361408861344565e-04 1.375716478270309744e+05 -1.211115172476932567e-01 4.319241467297786907e-01
8.376776400682915506e-04 1.495682746286958572e+05 -1.316727753030648707e-01 4.213628886744070767e-01
8.705612479099856735e-04 1.616122953814492794e+05 -1.422757567325136085e-01 4.107599072449583666e-01
9.047357242349293423e-04 1.736949447471523308e+05 -1.529127449504060210e-01 4.001229190270659264e-01
9.402517429670132366e-04 1.858071074700880563e+05 -1.635757153203623582e-01 3.894599486571095892e-01
9.771619672696181796e-04 1.979393282222471316e+05 -1.742563438225763761e-01 3.787793201548955713e-01
1.015521127634568194e-03 2.100818234729290707e+05 -1.849460175032462406e-01 3.680896464742257068e-01
1.055386103036523061e-03 2.222244954698586371e+05 -1.956358467828825942e-01 3.573998171945893532e-01
1.096816005273138070e-03 2.343569484115175437e+05 -2.063166796936579672e-01 3.467189842838139802e-01
1.139872266616051392e-03 2.464685068813760881e+05 -2.169791181080250597e-01 3.360565458694468877e-01
1.184618730902683558e-03 2.585482366040896741e+05 -2.276135360114823758e-01 3.254221279659895716e-01
1.231121748203889638e-03 2.705849675714090699e+05 -2.382100998615223342e-01 3.148255641159495855e-01
1.279450273207873327e-03 2.825673195715275942e+05 -2.487587910624511900e-01 3.042768729150207574e-01
1.329675967466211308e-03 2.944837301397416159e+05 -2.592494305718172631e-01 2.937862334056546842e-01
1.381873305653632221e-03 3.063224849306808901e+05 -2.696717056386739308e-01 2.833639583387979610e-01
1.436119685999078747e-03 3.180717504928921117e+05 -2.800151986567598894e-01 2.730204653207120580e-01
1.492495545051829124e-03 3.297196094053299166e+05 -2.902694180969898619e-01 2.627662458804820855e-01
1.551084476952840603e-03 3.412540977123075281e+05 -3.004238314633997375e-01 2.526118325140722098e-01
1.611973357388157098e-03 3.526632445688077132e+05 -3.104679001949874895e-01 2.425677637824844579e-01
1.675252472408215532e-03 3.639351139818695374e+05 -3.203911164128392386e-01 2.326445475646327088e-01
1.741015652304015327e-03 3.750578485061679967e+05 -3.301830413876333803e-01 2.228526225898385671e-01
1.809360410738716568e-03 3.860197147231493727e+05 -3.398333455773022149e-01 2.132023184001697047e-01
1.880388089340914639e-03 3.968091503033491317e+05 -3.493318500584521868e-01 2.037038139190197605e-01
1.954204007974053459e-03 4.074148124211583054e+05 -3.586685691484147731e-01 1.943670948290571465e-01
2.030917620904734884e-03 4.178256272605864797e+05 -3.678337539877593043e-01 1.852019099897126431e-01
2.110642679101554751e-03 4.280308403199470486e+05 -3.768179368261382889e-01 1.762177271513336307e-01
2.193497398905057839e-03 4.380200671932216501e+05 -3.856119757277789439e-01 1.674236882496929757e-01
2.279604637318979887e-03 4.477833444766987814e+05 -3.942070993872596185e-01 1.588285645902123289e-01
2.369092074182631985e-03 4.573111804217752069e+05 -4.025949517218202489e-01 1.504407122556516985e-01
2.462092401494625667e-03 4.665946049291782547e+05 -4.107676358838913688e-01 1.422680280935805786e-01
2.558743520168586631e-03 4.756252184568582452e+05 -4.187177573172697898e-01 1.343179066602021576e-01
2.659188744512693513e-03 4.843952393940706388e+05 -4.264384654630010707e-01 1.265971985144709044e-01
2.763577014736157307e-03 4.928975494383170735e+05 -4.339234937070740039e-01 1.191121702703979157e-01
2.872063117797828136e-03 5.011257365005223546e+05 -4.411671971520924052e-01 1.118684668253795284e-01
2.984807916924324140e-03 5.090741346576873329e+05 -4.481645877896847652e-01 1.048710761877871683e-01
3.101978590138096837e-03 5.167378606719303061e+05 -4.549113666501267694e-01 9.812429732734517795e-02
3.223748878149030293e-03 5.241128466008405667e+05 -4.614039525109411288e-01 9.163171146653084631e-02
3.350299341977229679e-03 5.311958680369934300e+05 -4.676395067576196718e-01 8.539615721985228947e-02
3.481817630688966662e-03 5.379845675347099314e+05 -4.736159540074253438e-01 7.941970997004658972e-02
3.618498759642746650e-03 5.444774728100786451e+05 -4.793319981318233669e-01 7.370366584564855272e-02
3.760545399658171695e-03 5.506740093361204490e+05 -4.847871333446635012e-01 6.824853063280846011e-02
3.908168177536264394e-03 5.565745069988619071e+05 -4.899816500618694448e-01 6.305401391560247482e-02
4.061585988376979588e-03 5.621802005319785094e+05 -4.949166352840784211e-01 5.811902869339351241e-02
4.221026320156898506e-03 5.674932235073166667e+05 -4.995939673061829400e-01 5.344169667128899348e-02
4.386725591048498511e-03 5.725165957256498514e+05 -5.040163046167541738e-01 4.901935936071777355e-02
4.558929499981059785e-03 5.772542039258314762e+05 -5.081870689153000775e-01 4.484859506217187680e-02
4.737893390963143769e-03 5.817107758103047963e+05 -5.121104222455632460e-01 4.092524173190870140e-02
4.923882631706736485e-03 5.858918474696868798e+05 -5.157912383176783688e-01 3.724442565979359243e-02
5.117173007114604946e-03 5.898037243776565883e+05 -5.192350681699318127e-01 3.380059580754015552e-02
5.318051128214196926e-03 5.934534362182249315e+05 -5.224481004008451057e-01 3.058756357662685901e-02
5.526814857144603244e-03 5.968486858990567271e+05 -5.254371162829351016e-01 2.759854769453688045e-02
5.743773748826581232e-03 5.999977931950914208e+05 -5.282094401492455349e-01 2.482622382822637086e-02
5.969249509970733433e-03 6.029096335544065805e+05 -5.307728855209483676e-01 2.226277845652359019e-02
6.203576476104268565e-03 6.055935726810924243e+05 -5.331356975172258927e-01 1.989996646024609628e-02
6.447102107323869104e-03 6.080593975858759368e+05 -5.353064921555292788e-01 1.772917182194271371e-02
6.700187503509583663e-03 6.103172448623247910e+05 -5.372941932093692197e-01 1.574147076810273119e-02
6.963207939763882935e-03 6.123775270027623046e+05 -5.391079673403619266e-01 1.392769663710999133e-02
7.236553422869657429e-03 6.142508576117262710e+05 -5.407571582597251458e-01 1.227850571774679461e-02
7.520629269592406588e-03 6.159479764043064788e+05 -5.422512207003916673e-01 1.078444327708032342e-02
7.815856707684091381e-03 6.174796748906592838e+05 -5.435996549932003985e-01 9.436008984271526331e-03
8.122673500479711886e-03 6.188567236453990918e+05 -5.448119430383380202e-01 8.223720939133961905e-03
8.441534596012984296e-03 6.200898020407705335e+05 -5.458974864457742937e-01 7.138177531697629391e-03
8.772912801613356321e-03 6.211894312852964504e+05 -5.468655475856823989e-01 6.170116391789550250e-03
9.117299484984920863e-03 6.221659115552351577e+05 -5.477251942419716357e-01 5.310469735500267414e-03
9.475205302806537222e-03 6.230292639354064595e+05 -5.484852484997604360e-01 4.550415477711486183e-03
9.847160957933774605e-03 6.237891778000069316e+05 -5.491542404219553752e-01 3.881423555516614644e-03
1.023371798632519147e-02 6.244549641646557720e+05 -5.497403669826171901e-01 3.295296994854720381e-03
1.063544957486011258e-02 6.250355154302867595e+05 -5.502514566274039343e-01 2.784207350068026131e-03
1.105295141126021001e-02 6.255392718202255201e+05 -5.506949397263736223e-01 2.340724251098296859e-03
1.148684256737553602e-02 6.259741946867946535e+05 -5.510778250743934015e-01 1.957838903078542876e-03
1.193776641714435795e-02 6.263477467362739844e+05 -5.514066824821370894e-01 1.628981495334839167e-03
1.240639159058831882e-02 6.266668790943315253e+05 -5.516876313891079242e-01 1.348032588363990434e-03
1.289341296525714324e-02 6.269380250115275849e+05 -5.519263353222644275e-01 1.109328655207497552e-03
1.339955269659338401e-02 6.271670998934528325e+05 -5.521280019225525137e-01 9.076620549194426351e-04
1.392556128874461972e-02 6.273595072355810553e+05 -5.522973881696667808e-01 7.382758078051850905e-04
1.447221870741134328e-02 6.275201499517527409e+05 -5.524388103551072238e-01 5.968536223647296843e-04
1.504033553638023726e-02 6.276534465096546337e+05 -5.525561582870858190e-01 4.795056903861087119e-04
1.563075417945815684e-02 6.277633512285159668e+05 -5.526529131596502609e-01 3.827508178217208868e-04
1.624435010958865527e-02 6.278533780546592316e+05 -5.527321684835445614e-01 3.034954939274122970e-04
1.688203316700362736e-02 6.279266271100392332e+05 -5.527966534582769986e-01 2.390105191949281021e-04
1.754474890833459741e-02 6.279858133073115023e+05 -5.528487581634614623e-01 1.869058140104827581e-04
1.823348000868440372e-02 6.280332963414621772e+05 -5.528905599620176359e-01 1.451040154542664864e-04
1.894924771873821717e-02 6.280711114011589671e+05 -5.529238505369801215e-01 1.118134404918400064e-04
1.969311337907421813e-02 6.281009999907439342e+05 -5.529501630257102063e-01 8.550095176174777418e-05
2.046617999391989878e-02 6.281244403137458721e+05 -5.529707987680916315e-01 6.486520938036659755e-05
2.126959386668689569e-02 6.281426767381610116e+05 -5.529868532463577679e-01 4.881073111412276310e-05
2.210454629971021767e-02 6.281567479395620758e+05 -5.529992408609433197e-01 3.642311652856933246e-05
2.297227536071151308e-02 6.281675133973229676e+05 -5.530087182564960013e-01 2.694572097591253713e-05
2.387406771860646829e-02 6.281756779989383649e+05 -5.530159059823464007e-01 1.975799512554703629e-05
2.481126055137767780e-02 6.281818145848290296e+05 -5.530213083398791696e-01 1.435563759273888402e-05
