# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
1.000000000000000082e-05 -1.582924622205250198e+05 2.497503603418850616e+03 7.444617267775574874e+03 2.497503603418850616e+03 -3.785864801321755513e-01 5.973254096070067590e-03 1.780521578729297311e-02 5.973254096070067590e-03
1.599999999999999928e-05 -1.209240957524043624e+05 2.410136680034031997e+03 5.393290898268678575e+03 2.410136680034031997e+03 -2.892129361806896615e-01 5.764299509476069477e-03 1.289907926670487079e-02 5.764299509476069477e-03
2.599999999999999840e-05 -6.284772669806407066e+04 2.499657875510245958e+03 1.642571537390205776e+03 2.499657875510245958e+03 -1.503122719879195213e-01 5.978406446831989289e-03 3.928521724802769809e-03 5.978406446831989289e-03
4.300000000000000165e-05 2.095725616502430057e+04 2.355576219229862090e+03 -4.416760504611747820e+02 2.355576219229862090e+03 5.012325750351557391e-02 5.633807807467773425e-03 -1.056352140570188721e-03 5.633807807467773425e-03
6.999999999999999387e-05 1.200196990219335421e+05 2.487343784446227346e+03 -5.220585009794362122e+03 2.487343784446227346e+03 2.870498996720087237e-01 5.948954959840403560e-03 -1.248602034085089310e-02 5.948954959840403560e-03
1.129999999999999955e-04 2.241039732307044906e+05 2.535326589532025537e+03 -4.803643535035123932e+03 2.535326589532025537e+03 5.359872050688624379e-01 6.063714949226335985e-03 -1.148882563469797412e-02 6.063714949226335985e-03
1.830000000000000029e-04 3.151799959372991580e+05 2.343926256669096801e+03 -6.524948132674442604e+03 2.343926256669096801e+03 7.538128069783948115e-01 5.605944709897105367e-03 -1.560565242299909519e-02 5.605944709897105367e-03
2.979999999999999793e-04 3.799004071451508207e+05 2.412809677311131509e+03 -4.155472229318009340e+03 2.412809677311131509e+03 9.086039595586878903e-01 5.770692490015661737e-03 -9.938600881656637145e-03 5.770692490015661737e-03
4.829999999999999767e-04 4.092643249908596044e+05 2.451506342602785026e+03 -3.814456158628003323e+03 2.451506342602785026e+03 9.788333447369279572e-01 5.863242912822342300e-03 -9.122996196127308374e-03 5.863242912822342300e-03
7.849999999999999990e-04 4.185284916285460349e+05 2.409982590561394318e+03 -1.711098300540674245e+03 2.409982590561394318e+03 1.000990358340225539e+00 5.763930975243592922e-03 -4.092416490807762250e-03 5.763930975243592922e-03
1.299999999999999920e-05 -1.397074050708294380e+05 2.562005212813537582e+03 -1.788293794427314424e+03 2.562005212813537582e+03 -3.341367870093513992e-01 6.127521942567869598e-03 -4.277044172395613221e-03 6.127521942567869598e-03
2.099999999999999884e-05 -9.051139316744515963e+04 2.353469559938109796e+03 -1.192939469613782421e+03 2.353469559938109796e+03 -2.164751831542320315e-01 5.628769331756964395e-03 -2.853141258126601701e-03 5.628769331756964395e-03
3.399999999999999973e-05 -1.873275709402319626e+04 2.426596398783714903e+03 -2.135458795276475485e+03 2.426596398783714903e+03 -4.480294558509749503e-02 5.803666052253872096e-03 -5.107355191965599721e-03 5.803666052253872096e-03
5.500000000000000196e-05 6.900140667290679994e+04 2.451411555754139499e+03 -1.768663906366127776e+02 2.451411555754139499e+03 1.650299661146931995e-01 5.863016212075584065e-03 -4.230095567754414677e-04 5.863016212075584065e-03
8.899999999999999491e-05 1.735074046340962814e+05 2.534165001766525620e+03 1.730116709932444792e+03 2.534165001766525620e+03 4.149759039427857732e-01 6.060936791521691347e-03 4.137902628102868054e-03 6.060936791521691347e-03
1.440000000000000036e-04 2.739374055063579581e+05 2.352250543499045307e+03 2.067952672387458733e+03 2.352250543499045307e+03 6.551733207782843849e-01 5.625853822474875636e-03 4.945901480946066769e-03 5.625853822474875636e-03
2.339999999999999958e-04 3.552900668615883915e+05 2.294201714080145393e+03 3.078494329718581866e+03 2.294201714080145393e+03 8.497436577344050779e-01 5.487019024549514429e-03 7.362803737118806327e-03 5.487019024549514429e-03
3.789999999999999966e-04 3.983098278691262240e+05 2.318269959790595294e+03 4.336965379970992217e+03 2.318269959790595294e+03 9.526335848193812073e-01 5.544582804268736835e-03 1.037267621354506786e-02 5.544582804268736835e-03
6.160000000000000111e-04 4.169046722029342782e+05 2.393113844371292998e+03 6.326099636738625122e+03 2.393113844371292998e+03 9.971066858514107123e-01 5.723586165675487343e-03 1.513006848741636247e-02 5.723586165675487343e-03
1.000000000000000021e-03 4.189955247720975894e+05 2.373942957269982799e+03 6.796639108008341282e+03 2.373942957269982799e+03 1.002107356783751735e+00 5.677735348985397598e-03 1.625545297946552267e-02 5.677735348985397598e-03
