# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_error Beta Beta_error M0 M0_error Moff Moff_err
12 380.0 -27.21129257189817 5.03876771636416e-05 9.339985915679401e-07 0.8750068392645703 0.018019705207587867 0.0 0.0 0.0 0.0
14 390.0 -16.9485053544631 3.6164207801219545e-05 1.051425094361695e-06 0.9202153464015682 0.027922129278613768 0.0 0.0 0.0 0.0
17 375.0 -31.761048383501326 6.439149907373756e-05 5.316098102179093e-07 0.8691664062107407 0.008674416828146066 0.0 0.0 0.0 0.0
20 385.0 -24.44481919869419 4.0153190080585556e-05 4.484394581422378e-07 0.8744911186771672 0.009916657837864865 0.0 0.0 0.0 0.0
23 370.0 -17.889847222933756 8.93332370449874e-05 6.10840595327274e-07 0.8878345525530037 0.008388928601294556 0.0 0.0 0.0 0.0
25 365.0 -12.042688476768209 0.00012530561313812294 5.62105635033917e-07 0.898139841224206 0.006042680920649798 0.0 0.0 0.0 0.0
28 360.0 -4.243096126265396 0.00018311573881886698 9.682749789208751e-07 0.9009804089532197 0.0066440344350440095 0.0 0.0 0.0 0.0
30 355.0 -5.490093190300766 0.0003049457480264701 2.8247464042685285e-06 0.9183686706874592 0.008416741692178473 0.0 0.0 0.0 0.0
33 350.0 -7.134457395703116 0.000559906485722417 4.0309498607378596e-06 0.843823165811396 0.00841502660611038 0.0 0.0 0.0 0.0
35 345.0 -0.7179254677458596 0.0010162902275886406 1.3375318843530925e-05 0.7547597891657414 0.011603509847435049 0.0 0.0 0.0 0.0
38 340.0 6.3068933201299195 0.0018221441485952743 2.8112686561577715e-05 0.6873736943983927 0.010218210068345071 0.0 0.0 0.0 0.0
40 330.0 -3.4135655530047404 0.004470899368572565 6.0738654236242736e-05 0.6642909117741251 0.007153866986780225 0.0 0.0 0.0 0.0
43 335.0 11.253985715755798 0.002965760183692901 4.602319829562134e-05 0.6670407023802526 0.008760739108642925 0.0 0.0 0.0 0.0
46 320.0 -0.9768406733264647 0.0060520037798358715 7.70699553161378e-05 0.6686738931272026 0.0065764408476282656 0.0 0.0 0.0 0.0
49 310.0 -4.613376478908681 0.007140087775813657 8.725054868774234e-05 0.6745810154253825 0.006328106146902366 0.0 0.0 0.0 0.0
56 340.0 -11.552383459984773 0.0018889658980971412 2.9506004660682734e-05 0.6900411074994347 0.010297856623438783 0.0 0.0 0.0 0.0
