#i	t	cos	sin
0	3e-05	0.0247954	-0.000372161
1	9.4e-05	0.0247124	-0.00195609
2	0.000158	0.024528	-0.00353303
3	0.000222	0.024243	-0.00509444
4	0.000286	0.023859	-0.00663311
5	0.00035	0.0233775	-0.00814364
6	0.000414	0.0228014	-0.00961786
7	0.000478	0.0221318	-0.0110532
8	0.000542	0.0213724	-0.0124414
9	0.000606	0.0205266	-0.0137767
10	0.00067	0.0195973	-0.0150551
11	0.000734	0.0185875	-0.0162725
12	0.000798	0.0175055	-0.0174192
13	0.000862	0.0163519	-0.018495
14	0.000926	0.0151294	-0.0194969
15	0.00099	0.013848	-0.0204166
16	0.001054	0.0125091	-0.0212531
17	0.001118	0.0111213	-0.0220015
18	0.001182	0.00968946	-0.0226593
19	0.001246	0.00821647	-0.0232251
20	0.00131	0.00670946	-0.0236954
21	0.001374	0.00517964	-0.0240672
22	0.001438	0.00362931	-0.0243403
23	0.001502	0.00206431	-0.024514
24	0.001566	0.000493545	-0.0245873
25	0.00163	-0.00107842	-0.02456
26	0.001694	-0.00264577	-0.0244323
27	0.001758	-0.00420056	-0.0242049
28	0.001822	-0.00573785	-0.0238785
29	0.001886	-0.00725025	-0.0234543
30	0.00195	-0.00873204	-0.0229346
31	0.002014	-0.0101782	-0.0223213
32	0.002078	-0.0115803	-0.021617
33	0.002142	-0.0129323	-0.0208264
34	0.002206	-0.0142331	-0.0199496
35	0.00227	-0.0154731	-0.0189927
36	0.002334	-0.0166499	-0.0179587
37	0.002398	-0.0177574	-0.0168521
38	0.002462	-0.0187928	-0.0156757
39	0.002526	-0.0197491	-0.0144384
40	0.00259	-0.0206247	-0.0131413
41	0.002654	-0.0214151	-0.0117917
42	0.002718	-0.0221177	-0.0103942
43	0.002782	-0.0227297	-0.00895388
44	0.002846	-0.0232472	-0.00748204
45	0.00291	-0.0236699	-0.00597796
46	0.002974	-0.0239953	-0.0044516
47	0.003038	-0.0242224	-0.00290651
48	0.003102	-0.0243502	-0.00135202
49	0.003166	-0.0243781	0.000206406
50	0.00323	-0.0243074	0.00176113
51	0.003294	-0.0241366	0.00331117
52	0.003358	-0.0238672	0.00484602
53	0.003422	-0.0235008	0.00635988
54	0.003486	-0.0230382	0.00784596
55	0.00355	-0.022482	0.0092987
56	0.003614	-0.0218339	0.0107133
57	0.003678	-0.0210971	0.0120831
58	0.003742	-0.0202744	0.0134026
59	0.003806	-0.0193688	0.0146671
60	0.00387	-0.0183837	0.0158715
61	0.003934	-0.0173267	0.0170069
62	0.003998	-0.0161984	0.0180734
63	0.004062	-0.015003	0.0190663
64	0.004126	-0.013746	0.0199812
65	0.00419	-0.0124363	0.020812
66	0.004254	-0.0110752	0.0215583
67	0.004318	-0.0096703	0.0222142
68	0.004382	-0.00822703	0.0227792
69	0.004446	-0.00675093	0.0232501
70	0.00451	-0.00524849	0.0236258
71	0.004574	-0.00372967	0.0239043
72	0.004638	-0.0021935	0.0240856
73	0.004702	-0.000649585	0.0241682
74	0.004766	0.000898022	0.0241521
75	0.00483	0.00243821	0.024037
76	0.004894	0.00397052	0.0238233
77	0.004958	0.00548498	0.0235125
78	0.005022	0.00697444	0.0231051
79	0.005086	0.00843384	0.0226041
80	0.00515	0.00985942	0.0220103
81	0.005214	0.0112437	0.0213265
82	0.005278	0.0125807	0.0205564
83	0.005342	0.0138654	0.0197021
84	0.005406	0.015092	0.0187686
85	0.00547	0.0162557	0.0177588
86	0.005534	0.0173529	0.0166769
87	0.005598	0.018377	0.0155285
88	0.005662	0.0193244	0.0143183
89	0.005726	0.0201944	0.0130474
90	0.00579	0.0209796	0.0117259
91	0.005854	0.0216784	0.0103576
92	0.005918	0.022289	0.00894695
93	0.005982	0.0228086	0.00749838
94	0.006046	0.023233	0.00602301
95	0.00611	0.0235632	0.00452173
96	0.006174	0.0237954	0.00300621
97	0.006238	0.0239308	0.00148029
98	0.006302	0.0239681	-5.47526e-05
99	0.006366	0.0239074	-0.00158613
