#i	t	cos	sin
0	3e-05	0.167139	-0.0935667
1	3.05e-05	0.15748	-0.0892755
2	3.1e-05	0.148447	-0.0851819
3	3.15e-05	0.139999	-0.081278
4	3.2e-05	0.132089	-0.0775599
5	3.25e-05	0.124676	-0.0740247
6	3.3e-05	0.117718	-0.070659
7	3.35e-05	0.111195	-0.0674516
8	3.4e-05	0.10508	-0.064404
9	3.45e-05	0.0993398	-0.0615042
10	3.5e-05	0.093954	-0.0587497
11	3.55e-05	0.0889038	-0.0561339
12	3.6e-05	0.0841583	-0.05365
13	3.65e-05	0.0796922	-0.0512939
14	3.7e-05	0.0754855	-0.0490597
15	3.75e-05	0.0715105	-0.0469369
16	3.8e-05	0.0677504	-0.0449086
17	3.85e-05	0.0641939	-0.0429624
18	3.9e-05	0.0608356	-0.0410941
19	3.95e-05	0.0576646	-0.0392966
20	4e-05	0.0546692	-0.0375731
21	4.05e-05	0.0518453	-0.0359252
22	4.1e-05	0.0491762	-0.0343428
23	4.15e-05	0.0466649	-0.0328181
24	4.2e-05	0.0443036	-0.0313618
25	4.25e-05	0.0420908	-0.0299768
26	4.3e-05	0.0400054	-0.028658
27	4.35e-05	0.0380317	-0.0274116
28	4.4e-05	0.0361668	-0.0262341
29	4.45e-05	0.0343984	-0.0251197
30	4.5e-05	0.0327211	-0.0240658
31	4.55e-05	0.0311254	-0.023061
32	4.6e-05	0.0296022	-0.0220992
33	4.65e-05	0.0281566	-0.0211711
34	4.7e-05	0.026784	-0.0202827
35	4.75e-05	0.0254807	-0.0194311
36	4.8e-05	0.0242478	-0.018608
37	4.85e-05	0.023086	-0.0178174
38	4.9e-05	0.021984	-0.0170632
39	4.95e-05	0.0209326	-0.0163431
40	5e-05	0.019939	-0.0156519
41	5.05e-05	0.0190003	-0.0149961
42	5.1e-05	0.0181055	-0.0143678
43	5.15e-05	0.0172441	-0.0137674
44	5.2e-05	0.0164162	-0.0132044
45	5.25e-05	0.015617	-0.012674
46	5.3e-05	0.0148397	-0.0121612
47	5.35e-05	0.014094	-0.0116639
48	5.4e-05	0.0133857	-0.0111733
49	5.45e-05	0.0127145	-0.0106878
50	5.5e-05	0.0120851	-0.0102159
51	5.55e-05	0.0114929	-0.00975197
