# t_m M M/M0 (M-M1)/M0
2.618545958474232716e-04 1.620227939273622469e+05 4.878622208128231552e-01 9.999999999987110311e-01
2.659188744512693946e-04 1.620227939273394877e+05 4.878622208127545989e-01 9.999999999986425303e-01
2.700462352420681983e-04 1.620227939273155644e+05 4.878622208126826010e-01 9.999999999985704768e-01
2.742376573264949761e-04 1.620227939272903022e+05 4.878622208126065507e-01 9.999999999984944266e-01
2.784941350080644140e-04 1.620227939272637595e+05 4.878622208125266146e-01 9.999999999984144905e-01
2.828166780230032180e-04 1.620227939272358199e+05 4.878622208124424597e-01 9.999999999983304466e-01
2.872063117797827919e-04 1.620227939272063668e+05 4.878622208123538084e-01 9.999999999982417398e-01
2.916640776023704030e-04 1.620227939271753421e+05 4.878622208122603832e-01 9.999999999981482590e-01
2.961910329772553230e-04 1.620227939271426876e+05 4.878622208121620729e-01 9.999999999980500043e-01
3.007882518043099003e-04 1.620227939271082869e+05 4.878622208120584891e-01 9.999999999979464205e-01
3.054568246515431892e-04 1.620227939270720235e+05 4.878622208119492987e-01 9.999999999978371745e-01
3.101978590138096945e-04 1.620227939270339557e+05 4.878622208118346681e-01 9.999999999977225995e-01
3.150124795755327540e-04 1.620227939269937342e+05 4.878622208117135428e-01 9.999999999976014742e-01
3.199018284775064186e-04 1.620227939269514172e+05 4.878622208115861447e-01 9.999999999974740206e-01
3.248670655878374666e-04 1.620227939269068884e+05 4.878622208114520298e-01 9.999999999973400167e-01
3.299093687770939063e-04 1.620227939268599730e+05 4.878622208113107539e-01 9.999999999971986853e-01
3.350299341977229571e-04 1.620227939268105547e+05 4.878622208111619840e-01 9.999999999970499154e-01
3.402299765678067620e-04 1.620227939267585170e+05 4.878622208110052760e-01 9.999999999968932629e-01
3.455107294592218038e-04 1.620227939267036854e+05 4.878622208108401859e-01 9.999999999967280617e-01
3.508734455902714675e-04 1.620227939266460016e+05 4.878622208106664915e-01 9.999999999965544228e-01
3.563193971228584300e-04 1.620227939265852328e+05 4.878622208104835267e-01 9.999999999963714581e-01
3.618498759642750444e-04 1.620227939265212044e+05 4.878622208102907365e-01 9.999999999961786123e-01
3.674661940736688058e-04 1.620227939264538581e+05 4.878622208100879543e-01 9.999999999959758856e-01
3.731696837732755402e-04 1.620227939263828448e+05 4.878622208098741253e-01 9.999999999957620567e-01
3.789616980644716030e-04 1.620227939263081062e+05 4.878622208096490831e-01 9.999999999955370145e-01
3.848436109487433118e-04 1.620227939262294094e+05 4.878622208094121060e-01 9.999999999952999818e-01
3.908168177536264177e-04 1.620227939261464635e+05 4.878622208091623613e-01 9.999999999950502927e-01
3.968827354637166063e-04 1.620227939260591520e+05 4.878622208088994605e-01 9.999999999947873919e-01
4.030428030568050765e-04 1.620227939259672421e+05 4.878622208086226819e-01 9.999999999945106133e-01
4.092984818452442570e-04 1.620227939258704428e+05 4.878622208083312484e-01 9.999999999942191797e-01
4.156512558225987906e-04 1.620227939257684047e+05 4.878622208080239941e-01 9.999999999939118700e-01
4.221026320156903168e-04 1.620227939256610698e+05 4.878622208077008082e-01 9.999999999935886841e-01
4.286541408420925384e-04 1.620227939255479141e+05 4.878622208073600808e-01 9.999999999932479566e-01
4.353073364731892205e-04 1.620227939254288212e+05 4.878622208070014787e-01 9.999999999928893546e-01
4.420637972028530196e-04 1.620227939253034419e+05 4.878622208066239474e-01 9.999999999925118788e-01
4.489251258218607721e-04 1.620227939251713688e+05 4.878622208062262655e-01 9.999999999921141969e-01
4.558929499981059568e-04 1.620227939250322524e+05 4.878622208058073784e-01 9.999999999916953097e-01
4.629689226627267825e-04 1.620227939248857438e+05 4.878622208053662312e-01 9.999999999912541071e-01
4.701547224022129445e-04 1.620227939247314935e+05 4.878622208049017694e-01 9.999999999907897008e-01
4.774520538566131341e-04 1.620227939245690359e+05 4.878622208044126052e-01 9.999999999903005365e-01
4.848626481239078079e-04 1.620227939243979636e+05 4.878622208038974617e-01 9.999999999897853931e-01
4.923882631706741255e-04 1.620227939242178109e+05 4.878622208033550067e-01 9.999999999892429381e-01
5.000306842491090281e-04 1.620227939240280539e+05 4.878622208027836860e-01 9.999999999886716173e-01
5.077917243205403450e-04 1.620227939238282270e+05 4.878622208021819451e-01 9.999999999880698764e-01
5.156732244854962937e-04 1.620227939236178063e+05 4.878622208015483963e-01 9.999999999874362722e-01
5.236770544204655915e-04 1.620227939233962097e+05 4.878622208008811523e-01 9.999999999867690281e-01
5.318051128214197360e-04 1.620227939231627970e+05 4.878622208001783256e-01 9.999999999860662570e-01
5.400593278542374252e-04 1.620227939229170443e+05 4.878622207994383064e-01 9.999999999853262933e-01
5.484416576121014814e-04 1.620227939226581948e+05 4.878622207986589299e-01 9.999999999845468057e-01
5.569540905800135630e-04 1.620227939223856083e+05 4.878622207978381420e-01 9.999999999837260178e-01
5.655986461065001716e-04 1.620227939220985863e+05 4.878622207969738889e-01 9.999999999828618202e-01
5.743773748826587087e-04 1.620227939217963140e+05 4.878622207960637280e-01 9.999999999819516594e-01
5.832923594286200169e-04 1.620227939214779180e+05 4.878622207951049949e-01 9.999999999809929818e-01
5.923457145875806037e-04 1.620227939211427001e+05 4.878622207940956357e-01 9.999999999799835670e-01
6.015395880274832614e-04 1.620227939207896125e+05 4.878622207930324861e-01 9.999999999789204175e-01
6.108761607505039425e-04 1.620227939204177819e+05 4.878622207919128817e-01 9.999999999778007576e-01
6.203576476104268565e-04 1.620227939200262190e+05 4.878622207907338248e-01 9.999999999766218117e-01
6.299862978380693342e-04 1.620227939196138759e+05 4.878622207894922624e-01 9.999999999753801383e-01
6.397643955748423279e-04 1.620227939191796468e+05 4.878622207881847528e-01 9.999999999740727397e-01
6.496942604146124312e-04 1.620227939187222510e+05 4.878622207868075211e-01 9.999999999726953970e-01
6.597782479539533469e-04 1.620227939182406408e+05 4.878622207853573478e-01 9.999999999712452237e-01
6.700187503509590818e-04 1.620227939177334774e+05 4.878622207838302360e-01 9.999999999697182229e-01
6.804181968927094015e-04 1.620227939171993639e+05 4.878622207822219670e-01 9.999999999681099538e-01
6.909790545715644838e-04 1.620227939166368451e+05 4.878622207805282107e-01 9.999999999664160866e-01
7.017038286703822323e-04 1.620227939160444657e+05 4.878622207787445264e-01 9.999999999646324023e-01
7.125950633568410445e-04 1.620227939154206542e+05 4.878622207768661401e-01 9.999999999627541269e-01
7.236553422869649622e-04 1.620227939147636644e+05 4.878622207748879447e-01 9.999999999607758205e-01
7.348872892180387728e-04 1.620227939140717499e+05 4.878622207728045002e-01 9.999999999586924870e-01
7.462935686310129138e-04 1.620227939133431646e+05 4.878622207706106995e-01 9.999999999564985753e-01
7.578768863625930151e-04 1.620227939125758712e+05 4.878622207683003253e-01 9.999999999541882012e-01
7.696399902471158820e-04 1.620227939117677743e+05 4.878622207658671051e-01 9.999999999517550364e-01
7.815856707684091381e-04 1.620227939109167783e+05 4.878622207633046548e-01 9.999999999491926417e-01
7.937167617217550904e-04 1.620227939100206131e+05 4.878622207606062577e-01 9.999999999464941336e-01
8.060361408861344565e-04 1.620227939090768341e+05 4.878622207577644754e-01 9.999999999436524067e-01
8.185467307069029365e-04 1.620227939080829383e+05 4.878622207547717582e-01 9.999999999406596896e-01
8.312514989890631501e-04 1.620227939070362481e+05 4.878622207516201126e-01 9.999999999375080995e-01
8.441534596012984729e-04 1.620227939059339697e+05 4.878622207483011008e-01 9.999999999341889767e-01
8.572556731909324870e-04 1.620227939047731343e+05 4.878622207448057302e-01 9.999999999306936616e-01
