# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
1.000000000000000082e-05 -6.244873590771920135e+03 8.070901105421532975e+02 3.355712598730622631e+03 8.070901105421532975e+02 3.890675227499764688e-01 -5.028325159514167308e-02 -2.090672883720655073e-01 -5.028325159514167308e-02
1.599999999999999928e-05 -1.873370855270324000e+02 8.223375605998934361e+02 4.499827734327586199e+02 8.223375605998934361e+02 1.167145735230063104e-02 -5.123319678394182980e-02 -2.803478411450226193e-02 -5.123319678394182980e-02
2.599999999999999840e-05 7.167835055347455636e+03 8.397592305088817284e+02 -3.760247127428218846e+03 8.397592305088817284e+02 -4.465697804652854486e-01 -5.231860001190693360e-02 2.342705602493026784e-01 -5.231860001190693360e-02
4.300000000000000165e-05 1.788763970044259258e+04 8.426079593405627293e+02 -8.791463996238064283e+03 8.426079593405627293e+02 -1.114434033761614762e+00 -5.249608124566102624e-02 5.477249569016739983e-01 -5.249608124566102624e-02
6.999999999999999387e-05 2.753059503486497852e+04 8.662884274653104058e+02 -1.385162377615953847e+04 8.662884274653104058e+02 -1.715208523335972846e+00 -5.397141952704272161e-02 8.629825520597788069e-01 -5.397141952704272161e-02
1.129999999999999955e-04 3.666743267893164011e+04 8.719832010026404987e+02 -1.879807087644943385e+04 8.719832010026404987e+02 -2.284450916520482266e+00 -5.432621476838519342e-02 1.171155630625762889e+00 -5.432621476838519342e-02
1.830000000000000029e-04 4.136297314017127792e+04 8.689169386454184405e+02 -2.085119430597370956e+04 8.689169386454184405e+02 -2.576992033433782137e+00 -5.413518078153415486e-02 1.299069131998367377e+00 -5.413518078153415486e-02
2.979999999999999793e-04 4.432081198200363724e+04 8.578588477669570693e+02 -2.261009988779092964e+04 8.578588477669570693e+02 -2.761271028702143582e+00 -5.344624065137929675e-02 1.408652300900292698e+00 -5.344624065137929675e-02
4.829999999999999767e-04 4.467490028464902571e+04 8.782751704570497395e+02 -2.302253160811529233e+04 8.782751704570497395e+02 -2.783331404583660351e+00 -5.471821645316916199e-02 1.434347582862001147e+00 -5.471821645316916199e-02
7.849999999999999990e-04 4.493836232712832862e+04 8.494400756379603763e+02 -2.298018302876924281e+04 8.494400756379603763e+02 -2.799745591791155341e+00 -5.292173510787790552e-02 1.431709185684114871e+00 -5.292173510787790552e-02
1.299999999999999920e-05 -3.247549984274463441e+03 8.681433928845750643e+02 1.531981070261293098e+03 8.681433928845750643e+02 2.023285514146346553e-01 -5.408698740683561684e-02 -9.544533948408438773e-02 -5.408698740683561684e-02
2.099999999999999884e-05 3.911822788817780747e+03 8.454991954112020949e+02 -1.934282401534451310e+03 8.454991954112020949e+02 -2.437140127433885528e-01 -5.267621076138914032e-02 1.205094789069798555e-01 -5.267621076138914032e-02
3.399999999999999973e-05 1.255186690153933159e+04 8.444223502609189609e+02 -6.408112503385177661e+03 8.444223502609189609e+02 -7.820052224092634008e-01 -5.260912125686736940e-02 3.992376180167069855e-01 -5.260912125686736940e-02
5.500000000000000196e-05 2.252011312106500191e+04 8.653708811635804068e+02 -1.143661221273311094e+04 8.653708811635804068e+02 -1.403045953885987629e+00 -5.391425464428992870e-02 7.125227304577333998e-01 -5.391425464428992870e-02
8.899999999999999491e-05 3.228071375303271634e+04 8.874082158698453213e+02 -1.629921472509534578e+04 8.874082158698453213e+02 -2.011149969641112811e+00 -5.528722258312033372e-02 1.015472131450930071e+00 -5.528722258312033372e-02
1.440000000000000036e-04 3.872046364553328021e+04 9.230503089047007279e+02 -2.060091651880895733e+04 9.230503089047007279e+02 -2.412358657276841623e+00 -5.750779288628659475e-02 1.283476349016270390e+00 -5.750779288628659475e-02
2.339999999999999958e-04 4.309724615225754678e+04 9.283354927689204033e+02 -2.259436234421591507e+04 9.283354927689204033e+02 -2.685040546310267562e+00 -5.783706991062359526e-02 1.407671821951615776e+00 -5.783706991062359526e-02
3.789999999999999966e-04 4.413132685519981169e+04 8.490152529013323601e+02 -2.283348522016558854e+04 8.490152529013323601e+02 -2.749465744285743529e+00 -5.289526784199249931e-02 1.422569632712119780e+00 -5.289526784199249931e-02
6.160000000000000111e-04 4.454330374748782924e+04 9.043279928464964996e+02 -2.331506367713881264e+04 9.043279928464964996e+02 -2.775132689594226321e+00 -5.634135692516937383e-02 1.452572888108866422e+00 -5.634135692516937383e-02
1.000000000000000021e-03 4.451546135179858538e+04 8.651579630410291202e+02 -2.262070143666033982e+04 8.651579630410291202e+02 -2.773398055296064424e+00 -5.390098943959274747e-02 1.409312797593456956e+00 -5.390098943959274747e-02
