# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
1.000000000000000082e-05 -6.178714545027263230e+05 2.390318489203936224e+03 -1.384625398914287798e+05 2.390318489203936224e+03 -7.719248840024861558e-01 2.986294817572940352e-03 -1.729853018220461613e-01 2.986294817572940352e-03
1.599999999999999928e-05 -6.132345805191111285e+05 2.345818712028760729e+03 -1.316397048868231359e+05 2.345818712028760729e+03 -7.661319016825357542e-01 2.930699944102487312e-03 -1.644613344480604922e-01 2.930699944102487312e-03
2.599999999999999840e-05 -6.034713170753695304e+05 2.454800354839546799e+03 -1.291635925008238410e+05 2.454800354839546799e+03 -7.539343710370045581e-01 3.066853898735044746e-03 -1.613678548053119333e-01 3.066853898735044746e-03
4.300000000000000165e-05 -5.823538411473416490e+05 2.448593341842145946e+03 -1.224837929806914035e+05 2.448593341842145946e+03 -7.275516905662137157e-01 3.059099295810595656e-03 -1.530225858465962818e-01 3.059099295810595656e-03
6.999999999999999387e-05 -5.564943132080755895e+05 2.369072388802471778e+03 -1.162963813693377015e+05 2.369072388802471778e+03 -6.952446257885692704e-01 2.959751442784563404e-03 -1.452924715071762241e-01 2.959751442784563404e-03
1.129999999999999955e-04 -5.196354405531410594e+05 2.453555998193502091e+03 -1.087801236397674074e+05 2.453555998193502091e+03 -6.491957578706919474e-01 3.065299287573361019e-03 -1.359021908367398779e-01 3.065299287573361019e-03
1.830000000000000029e-04 -4.652989647323456011e+05 2.630781171418988379e+03 -9.669665951824502554e+04 2.630781171418988379e+03 -5.813116090086468679e-01 3.286711881224424914e-03 -1.208059656067503873e-01 3.286711881224424914e-03
2.979999999999999793e-04 -3.883262049207775854e+05 2.422563918493146048e+03 -8.161563969097041991e+04 2.422563918493146048e+03 -4.851472883301395922e-01 3.026579975727263037e-03 -1.019648063397676496e-01 3.026579975727263037e-03
4.829999999999999767e-04 -2.892542359282155521e+05 2.469244300355554060e+03 -6.020795091434536880e+04 2.469244300355554060e+03 -3.613737791072048067e-01 3.084899142427287300e-03 -7.521955446701796000e-02 3.084899142427287300e-03
7.849999999999999990e-04 -1.631595280390173139e+05 2.336797397833038303e+03 -3.407504821089971665e+04 2.336797397833038303e+03 -2.038399716277281004e-01 2.919429352358307323e-03 -4.257095459887737243e-02 2.919429352358307323e-03
1.299999999999999920e-05 -6.201851217408116208e+05 2.520122086085651972e+03 -1.209522597919726395e+05 2.520122086085651972e+03 -7.748154161695964826e-01 3.148462248574693690e-03 -1.511091966287707589e-01 3.148462248574693690e-03
2.099999999999999884e-05 -6.095991012933052843e+05 2.213180844721951871e+03 -1.185762967082989053e+05 2.213180844721951871e+03 -7.615899911294221614e-01 2.764991576141795793e-03 -1.481408364392955423e-01 2.764991576141795793e-03
3.399999999999999973e-05 -5.951201108443387784e+05 2.359517448949100981e+03 -1.168241596963228949e+05 2.359517448949100981e+03 -7.435009647771904095e-01 2.947814176895009915e-03 -1.459518404112874479e-01 2.947814176895009915e-03
5.500000000000000196e-05 -5.745242362547393423e+05 2.463114781890785707e+03 -1.155548452398192021e+05 2.463114781890785707e+03 -7.177699361179984416e-01 3.077241355689566433e-03 -1.443660487268539072e-01 3.077241355689566433e-03
8.899999999999999491e-05 -5.405823043539192295e+05 2.381761099869529517e+03 -1.074989285837155767e+05 2.381761099869529517e+03 -6.753652876196346577e-01 2.975603820730171167e-03 -1.343015563717226968e-01 2.975603820730171167e-03
1.440000000000000036e-04 -4.965451879430637928e+05 2.395453092534883581e+03 -9.656063188876488130e+04 2.395453092534883581e+03 -6.203484297772343670e-01 2.992709627727635577e-03 -1.206360223097387024e-01 2.992709627727635577e-03
2.339999999999999958e-04 -4.287949794376692735e+05 2.376443446095538093e+03 -8.398989145330991596e+04 2.376443446095538093e+03 -5.357061122522059904e-01 2.968960320301821613e-03 -1.049310285254351216e-01 2.968960320301821613e-03
3.789999999999999966e-04 -3.423213094009287888e+05 2.287100342340534098e+03 -6.925713226580763876e+04 2.287100342340534098e+03 -4.276720264792960302e-01 2.857341367039109830e-03 -8.652496146412037847e-02 2.857341367039109830e-03
6.160000000000000111e-04 -2.307374910925084259e+05 2.387774729258725529e+03 -4.727402904962294269e+04 2.387774729258725529e+03 -2.882670978706353693e-01 2.983116823855432725e-03 -5.906082749822088446e-02 2.983116823855432725e-03
1.000000000000000021e-03 -9.327036362056748476e+04 2.408749332807363317e+03 -1.974098896932788557e+04 2.408749332807363317e+03 -1.165253939051469345e-01 3.009321009682905650e-03 -2.466299504402100218e-02 3.009321009682905650e-03
2.000000000000000042e-03 1.336379967472337594e+05 2.387299743061901154e+03 2.419818657330206770e+04 2.387299743061901154e+03 1.669578589295030446e-01 2.982523409703970781e-03 3.023150240643508388e-02 2.982523409703970781e-03
4.000000000000000083e-03 3.714997357756529236e+05 2.343137418120360508e+03 6.901572088495547359e+04 2.343137418120360508e+03 4.641254881670694998e-01 2.927350125181197010e-03 8.622335916350727658e-02 2.927350125181197010e-03
8.000000000000000167e-03 5.757098492467823671e+05 2.324684996895268341e+03 1.108345936148421169e+05 2.324684996895268341e+03 7.192511571141864124e-01 2.904296975517230150e-03 1.384689002803287383e-01 2.904296975517230150e-03
1.600000000000000033e-02 7.174683959425876383e+05 2.281590058695518564e+03 1.386679603257378913e+05 2.281590058695518564e+03 8.963542566619543406e-01 2.850457208477483358e-03 1.732419395802242135e-01 2.850457208477483358e-03
