# t_m M M/M0 (M-M1)/M0
1.000000000000000082e-05 -9.937094979420115124e+04 3.129468095536984684e-01 9.301193735668159546e-01
1.031283160672184683e-05 -9.876858386622779653e+04 3.110497914036906564e-01 9.282223554168080870e-01
1.063544957486011146e-05 -9.815052255235108896e+04 3.091033441101218582e-01 9.262759081232393443e-01
1.096816005273138056e-05 -9.751639389174038661e+04 3.071062962646934902e-01 9.242788602778109208e-01
1.131127876593921339e-05 -9.686581922309225774e+04 3.050574553574511016e-01 9.222300193705685878e-01
1.166513131698196108e-05 -9.619841319184596068e+04 3.029556077995080310e-01 9.201281718126255171e-01
1.203005349423324184e-05 -9.551378376714399201e+04 3.007995189764587907e-01 9.179720829895763323e-01
1.240639159058831744e-05 -9.481153226922205067e+04 2.985879333346377340e-01 9.157604973477552202e-01
1.279450273207873449e-05 -9.409125340794507065e+04 2.963195745024797545e-01 9.134921385155972962e-01
1.319475521676705910e-05 -9.335253533324078307e+04 2.939931454493497354e-01 9.111657094624672215e-01
1.360752886424333165e-05 -9.259495969821358449e+04 2.916073286843054446e-01 9.087798926974228753e-01
1.403321537605484669e-05 -9.181810173575740191e+04 2.891607864973730901e-01 9.063333505104905763e-01
1.447221870741134408e-05 -9.102153034952198504e+04 2.866521612460253832e-01 9.038247252591428138e-01
1.492495545051829036e-05 -9.020480822012128192e+04 2.840800756896612045e-01 9.012526397027786906e-01
1.539185522990205290e-05 -8.936749192751015653e+04 2.814431333750042064e-01 8.986156973881217480e-01
1.587336111010208536e-05 -8.850913209049313446e+04 2.787399190754546452e-01 8.959124830885720758e-01
1.636993001611702035e-05 -8.762927352436436922e+04 2.759689992875413722e-01 8.931415633006588584e-01
1.688203316700362703e-05 -8.672745541771795251e+04 2.731289227877470305e-01 8.903014868008645166e-01
1.741015652304015246e-05 -8.580321152950290707e+04 2.702182212530890304e-01 8.873907852662065165e-01
1.795480124687830550e-05 -8.485607040743759717e+04 2.672354099489673840e-01 8.844079739620848146e-01
1.851648417912153989e-05 -8.388555562893408933e+04 2.641789884879026107e-01 8.813515525010200413e-01
1.909573832878096617e-05 -8.289118606572024873e+04 2.610474416629045002e-01 8.782200056760219864e-01
1.969311337907421862e-05 -8.187247617338658893e+04 2.578392403593358639e-01 8.750118043724532946e-01
2.030917620904734816e-05 -8.082893630711708101e+04 2.545528425492367131e-01 8.717254065623541992e-01
2.094451143151468647e-05 -7.976007306490195333e+04 2.511866943721970946e-01 8.683592583853145808e-01
2.159972194782717103e-05 -7.866538965956235188e+04 2.477392313069663454e-01 8.649117953200837761e-01
2.227542951999556551e-05 -7.754438632094938657e+04 2.442088794380900263e-01 8.613814434512074847e-01
2.297227536071151343e-05 -7.639656072971163667e+04 2.405940568219646081e-01 8.577666208350820387e-01
2.369092074182632066e-05 -7.522140848405219731e+04 2.368931749567854683e-01 8.540657389699028990e-01
2.443204762186486879e-05 -7.401842360092382296e+04 2.331046403609500772e-01 8.502772043740675079e-01
2.519635929317013366e-05 -7.278709905313220224e+04 2.292268562645458363e-01 8.463994202776633502e-01
2.598458104929247240e-05 -7.152692734383800416e+04 2.252582244186171201e-01 8.424307884317345785e-01
2.679746087325689358e-05 -7.023740111996457563e+04 2.211971470269570583e-01 8.383697110400745167e-01
2.763577014736157294e-05 -6.891801382602748345e+04 2.170420288051988778e-01 8.342145928183163361e-01
2.850030438518105311e-05 -6.756826039991134894e+04 2.127912791720111552e-01 8.299638431851286136e-01
2.939188398646884365e-05 -6.618763801211907412e+04 2.084433145771994178e-01 8.256158785903169317e-01
3.031135501567576034e-05 -6.477564685001349426e+04 2.039965609715017891e-01 8.211691249846192475e-01
3.125959000482277588e-05 -6.333179094856008305e+04 1.994494564228292410e-01 8.166220204359466717e-01
3.223748878149026770e-05 -6.185557906906123389e+04 1.948004538836445865e-01 8.119730178967620171e-01
3.324597932270938416e-05 -6.034652562734295498e+04 1.900480241140810600e-01 8.072205881271985461e-01
3.428601863556583155e-05 -5.880415167282088078e+04 1.851906587652940583e-01 8.023632227784115445e-01
3.535859366535175748e-05 -5.722798591982439393e+04 1.802268736273881233e-01 7.973994376405055817e-01
3.646472223212745157e-05 -5.561756583250249969e+04 1.751552120460877771e-01 7.923277760592052354e-01
3.760545399658167846e-05 -5.397243876456486760e+04 1.699742485120997459e-01 7.871468125252172321e-01
3.878187145610719399e-05 -5.229216315503179794e+04 1.646825924268627006e-01 7.818551564399801590e-01
3.999509097203669263e-05 -5.057630978107042029e+04 1.592788920480775749e-01 7.764514560611950333e-01
4.124626382901347725e-05 -4.882446306888817344e+04 1.537618386180764074e-01 7.709344026311938380e-01
4.253657732750391928e-05 -4.703622246352306684e+04 1.481301706776735616e-01 7.653027346907910200e-01
4.386725591048494039e-05 -4.521120385823870311e+04 1.423826785677288487e-01 7.595552425808462793e-01
4.523956232538058048e-05 -4.334904108405782608e+04 1.365182091201038450e-01 7.536907731332213034e-01
4.665479882234468170e-05 -4.144938745980474050e+04 1.305356705391773064e-01 7.477082345522947371e-01
4.811430839003264084e-05 -3.951191740281123202e+04 1.244340374744068722e-01 7.416066014875243306e-01
4.961947603002898075e-05 -3.753632810023482307e+04 1.182123562837760211e-01 7.353849202968935073e-01
5.117173007114609744e-05 -3.552234124067879748e+04 1.118697504871480203e-01 7.290423145002654648e-01
5.277254352483532347e-05 -3.346970480555083486e+04 1.054054264077533554e-01 7.225779904208707860e-01
5.442343548300271707e-05 -3.137819491928801290e+04 9.881867899906385255e-02 7.159912430121813109e-01
5.612597255954966110e-05 -2.924761775727180066e+04 9.210889785334860913e-02 7.092814618664661230e-01
5.788177037701280284e-05 -2.707781150989388698e+04 8.527557338706454049e-02 7.024481374001819711e-01
5.969249509970739695e-05 -2.486864840087408083e+04 7.831830319710181287e-02 6.954908672102192435e-01
6.155986501483513579e-05 -2.262003675751012634e+04 7.123679858057743730e-02 6.884093625936948957e-01
