# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
1.000000000000000082e-05 -1.115501449687922723e+05 2.343456138280401774e+03 5.703043099996208912e+04 2.343456138280401774e+03 2.340846556209267071e+00 -4.917672883756305652e-02 -1.196766602524271583e+00 -4.917672883756305652e-02
1.599999999999999928e-05 -6.364451949047204107e+04 2.381218076981258946e+03 3.420714791248935944e+04 2.381218076981258946e+03 1.335561278853961920e+00 -4.996915187016796184e-02 -7.178268070480184893e-01 -4.996915187016796184e-02
2.599999999999999840e-05 3.302754256475066541e+03 2.446992865673220876e+03 -4.805831159496051441e+02 2.446992865673220876e+03 -6.930731402848541722e-02 -5.134941621350921220e-02 1.008489350020727246e-02 -5.134941621350921220e-02
4.300000000000000165e-05 9.339892228485736996e+04 2.390717378137277592e+03 -4.893456551638295059e+04 2.390717378137277592e+03 -1.959948556277814724e+00 -5.016849187464470644e-02 1.026877277485101381e+00 -5.016849187464470644e-02
6.999999999999999387e-05 1.890739737183627149e+05 2.354627698613594475e+03 -1.035182108400154830e+05 2.354627698613594475e+03 -3.967661004575588013e+00 -4.941116070262924903e-02 2.172298811602509261e+00 -4.941116070262924903e-02
1.129999999999999955e-04 2.790238820225997479e+05 2.576934761996396446e+03 -1.558905087283968169e+05 2.576934761996396446e+03 -5.855233030091283375e+00 -5.407620819213464908e-02 3.271315878654112996e+00 -5.407620819213464908e-02
1.830000000000000029e-04 3.425158699468082632e+05 2.486458496060354264e+03 -1.971453526112933469e+05 2.486458496060354264e+03 -7.187593479473431302e+00 -5.217759070854186693e-02 4.137036485805690056e+00 -5.217759070854186693e-02
2.979999999999999793e-04 3.799134558029881446e+05 2.485380134113558597e+03 -2.230757901943664765e+05 2.485380134113558597e+03 -7.972370676190389638e+00 -5.215496160438238410e-02 4.681178992606712441e+00 -5.215496160438238410e-02
4.829999999999999767e-04 3.898970286078303470e+05 2.467631632754302700e+03 -2.331189590319602867e+05 2.467631632754302700e+03 -8.181872976930719688e+00 -5.178251459145996605e-02 4.891931898337913864e+00 -5.178251459145996605e-02
7.849999999999999990e-04 3.920884644606914953e+05 2.370264080777181334e+03 -2.360685395771894837e+05 2.370264080777181334e+03 -8.227859605372652041e+00 -4.973928552352880478e-02 4.953827967262729892e+00 -4.973928552352880478e-02
1.299999999999999920e-05 -8.217052066091320012e+04 2.520903436951863114e+03 5.311438871496535285e+04 2.520903436951863114e+03 1.724323893660858253e+00 -5.290040753040505667e-02 -1.114589621944201081e+00 -5.290040753040505667e-02
2.099999999999999884e-05 -2.620757925316754336e+04 2.417921398851273352e+03 2.008169533926212534e+04 2.417921398851273352e+03 5.499582421745989880e-01 -5.073936014398867239e-02 -4.214083934261729225e-01 -5.073936014398867239e-02
3.399999999999999973e-05 4.725287259445768723e+04 2.510662721813414009e+03 -2.681049835161499504e+04 2.510662721813414009e+03 -9.915874525728023414e-01 -5.268550917440860404e-02 5.626103198179615017e-01 -5.268550917440860404e-02
5.500000000000000196e-05 1.351971273372445430e+05 2.367833750614151995e+03 -8.413021028386226681e+04 2.367833750614151995e+03 -2.837071435678664599e+00 -4.968828576916568818e-02 1.765447396516033773e+00 -4.968828576916568818e-02
8.899999999999999491e-05 2.266143226543983037e+05 2.370383554489558719e+03 -1.435096982104633353e+05 2.370383554489558719e+03 -4.755434041987576244e+00 -4.974179264378628812e-02 3.011508258752838341e+00 -4.974179264378628812e-02
1.440000000000000036e-04 3.029322995482574916e+05 2.456200980218809491e+03 -1.942608318620221398e+05 2.456200980218809491e+03 -6.356944048440981376e+00 -5.154264575372408119e-02 4.076505677314722575e+00 -5.154264575372408119e-02
2.339999999999999958e-04 3.514590218798825517e+05 2.342525108170840667e+03 -2.302746940474273870e+05 2.342525108170840667e+03 -7.375262858209334915e+00 -4.915719144811096092e-02 4.832245845075919810e+00 -4.915719144811096092e-02
3.789999999999999966e-04 3.752136230300115421e+05 2.448862273445588016e+03 -2.463843888194673345e+05 2.448862273445588016e+03 -7.873746085747592716e+00 -5.138864517862907350e-02 5.170302990042088709e+00 -5.138864517862907350e-02
6.160000000000000111e-04 3.807442361688369419e+05 2.415537995226392468e+03 -2.506041805215126951e+05 2.415537995226392468e+03 -7.989804354639731265e+00 -5.068934512904700596e-02 5.258854061637888044e+00 -5.068934512904700596e-02
1.000000000000000021e-03 3.812635679577878909e+05 2.427634340295669972e+03 -2.516595173127718444e+05 2.427634340295669972e+03 -8.000702377497844964e+00 -5.094318332626368573e-02 5.280999989768695002e+00 -5.094318332626368573e-02
