# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_error Beta Beta_error M0 M0_error Moff Moff_err
1568 377.51 -19.5263563298 3.52752423709e-05 6.02401587924e-07 0.874088031561 0.0204968077681 547.086639913 5.25523672711 309.587060955 4.28012055946
1573 377.56 -12.7567908082 3.62055931008e-05 1.06867719134e-06 0.826510607427 0.0328487506999 389.64816065 6.05535875415 198.653672182 5.45072467369
1574 373.83 -7.50264389297 4.40331772813e-05 6.63939397096e-07 0.857624735504 0.0176109344375 650.968445236 5.44978338705 314.653701702 4.30936872218
1579 373.7 -6.65882798822 4.57386695038e-05 9.92413664831e-07 0.851484707722 0.024094564356 477.724075415 5.17736283074 212.888319626 4.61463900111
1580 370.92 -4.63632449507 5.65102772685e-05 9.15776569544e-07 0.867083654387 0.0169658024503 654.344905326 5.69013719903 308.253018105 4.11077355645
1585 370.82 -7.91249009337 5.5309947393e-05 1.06250976396e-06 0.89690511518 0.0231307793583 491.389338016 4.51479483774 190.457347745 3.88463364846
1586 368.04 -4.01880644155 6.81531588291e-05 1.19486420506e-06 0.883104883906 0.019554187147 582.800656994 5.63959825548 269.85749262 4.1436071693
1591 367.94 -4.2326119303 6.87356953116e-05 1.5933358544e-06 0.869546223871 0.026381179647 402.648724933 4.41691317798 158.617431414 3.84444417365
1592 366.07 -3.942338318 8.08570053497e-05 1.74576071397e-06 0.906799248174 0.0229595124127 496.371275378 5.18636845267 241.990550228 3.77470987988
1597 366.02 -4.16373195955 8.03768109145e-05 2.33186549701e-06 0.945498510287 0.0355624471552 316.628291372 4.23039033946 135.799731178 3.65828934761
1598 364.16 -5.51897681135 9.15897848938e-05 2.43713777178e-06 0.921934460369 0.0282937661487 405.388392256 5.66019241852 205.46202559 4.13259025532
1603 364.11 -5.62114464012 8.28968615523e-05 3.34455079887e-06 0.876851624707 0.044630197377 247.04220172 4.50823685075 101.328255435 3.78366380593
1604 362.23 -12.5471456084 0.000102023613617 2.94263866084e-06 0.913602846332 0.0306506296805 364.304257626 5.38243527902 172.169372483 3.94770931483
1609 362.17 -9.00117254707 0.000105118419106 4.97218596199e-06 0.912793955533 0.0537983525842 190.355156924 3.98493008909 80.4753029159 3.36318385238
1610 360.29 -10.0360063913 0.000129260548285 8.16576016699e-06 0.773821486736 0.0383442825179 311.664294524 9.33531698647 155.496059383 6.24141986442
1615 360.24 -12.2539654017 0.000121537712658 8.34975054897e-06 0.835573291552 0.0677897625034 155.590278337 4.53678546728 66.458790084 3.72665080907
1616 358.36 -14.5353169591 0.000145518478084 9.13989271803e-06 0.833458317172 0.0416750515851 292.201258313 9.21531631255 138.559424018 6.64404188218
1621 358.31 -17.3901779928 0.000147880062658 1.01359684201e-05 0.952067750229 0.0783403688029 133.408033813 3.85383122835 63.1333067452 3.25981864226
1622 355.53 -22.9156099318 0.00019404173283 1.36215888455e-05 0.856493453038 0.0417316891751 329.226303958 11.3033806861 128.073679765 8.41101307882
1627 355.43 -26.2587371689 0.000202648547358 1.18479322555e-05 0.869744435208 0.0549857055615 187.333843801 4.5036064329 60.7375633874 3.63063158002
1628 352.67 -27.8444034267 0.00023916542639 1.92199276396e-05 0.843752884085 0.0380415210298 415.581976784 16.3725019509 107.25028911 13.2663119054
1633 352.57 -28.1950755617 0.00026777873888 1.05147008834e-05 0.843754745835 0.0332749353236 288.26213078 4.40840397128 54.1341355028 3.48377523692
1634 349.81 -29.8529126678 0.000314272110893 2.86567451991e-05 0.852279637723 0.0346776937912 492.33211625 21.9270547269 71.5370242857 19.0818513607
1639 349.7 -28.2923718711 0.000388188492675 1.29465573226e-05 0.802249501098 0.0223874518293 438.463921627 6.04986009928 59.5004955481 4.5966813136
1640 346.94 -30.2907614215 0.0004039228092 4.97248732964e-05 0.814584032551 0.0328540093251 590.827884142 35.24874337 22.63058054 32.1092520227
1645 346.82 -28.0141568949 0.000551794698084 1.89946871203e-05 0.782517666317 0.0188259542993 573.294909315 7.87897367436 40.5656278504 6.03642359469
1646 344.09 -30.2105716341 0.000399624061932 4.92881826556e-05 0.883813371455 0.0395143055346 545.773724861 34.8830883823 -109.698497269 32.0199159655
1651 343.95 -27.0367450754 0.000789837963856 3.81994639135e-05 0.773842745648 0.0182599215273 651.353348261 13.3440646612 35.893332614 11.4046427928
1652 341.18 -29.8124464933 0.000609223735717 0.000218929001942 0.851691305963 0.0680150909555 585.178953609 113.049647568 -129.588916755 108.811447011
1653 349.46 -26.3533961063 0.000392575699917 8.16290604998e-06 0.772386664367 0.0163559155752 576.889286542 4.18407837779 120.160206861 3.55327462318
1658 349.67 -28.5473319394 0.000404878694315 1.3150022927e-05 0.763088004712 0.0262801564749 450.152482193 5.01064851823 68.5817506715 4.24335168299
1659 346.92 -26.6478877316 0.000562798827102 8.45242018874e-06 0.750871516203 0.0115595941055 678.759977723 3.46029279739 111.86686812 2.90059687353
1664 346.81 -26.9517917625 0.000639288778108 1.66729097866e-05 0.734764084987 0.0179815929497 574.72412567 4.65361795913 70.3740370769 3.92983930429
1665 344.09 -25.6227214733 0.000853399117673 1.32493946102e-05 0.693861034422 0.00920091758276 771.262662101 4.00115204569 104.632335047 3.18017683252
1670 343.94 -25.4239704768 0.000918747526302 2.13827712271e-05 0.694556665367 0.0136150124399 712.235166991 5.18234233949 61.2413651751 4.18362136215
1671 341.22 -25.4736698315 0.00121999925077 1.91332174047e-05 0.682998720208 0.00866611141114 836.983848187 4.50384295411 94.6488831899 3.45730583444
