# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_error Beta Beta_error M0 M0_error Moff Moff_err
1351 435.36 -2.8251844814 4.9707452571e-06 0.000123457559224 0.366405706552 1.98673196526 267.251658432 2801.65566133 66.663737443 2794.63971802
1378 392.51 33.1413935643 6.74332194832e-05 7.72558276494e-05 2.85961750351 13.3322904191 23.4700626233 21.4220486391 58.9935690384 20.9678602207
1381 387.72 40.8650272192 3.07428860726e-05 1.94215936456e-05 2.52507324277 4.94078355567 61.8157709717 40.5074692722 88.9013932017 39.8181901637
1384 382.94 44.6948357068 2.52779425893e-05 4.52101700727e-05 0.805337464053 1.09727775299 174.269251899 221.829708235 79.8263204113 219.087834317
1387 378.22 46.8297270109 2.15818621707e-05 2.9682264431e-05 0.725606930898 0.652420653023 390.743878209 354.821444376 27.5403710677 351.725422536
1390 373.29 47.0125626722 4.04211415004e-05 3.24008296557e-05 0.729421868276 0.429282320298 391.34105623 198.272417662 112.530841757 195.148790193
1393 368.52 51.2381164405 7.18484342464e-05 2.30954270552e-05 1.02447562067 0.510692068573 242.724601182 59.8747154209 123.203662557 58.0215344079
1396 363.7 52.9493448219 0.00010176319385 4.71698260756e-05 1.05742009819 0.895663281662 129.04591145 42.9423700364 52.8448828554 41.1561194733
1399 358.85 49.0859560338 0.000169921914937 0.000118725681779 1.30022521342 1.64314805212 66.7934378685 27.359369721 39.1219204547 25.5436480857
