# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_err Beta Beta_err M0 M0_err Moff Moff_err
1419 434.63 23.161979579866216 2.383843411910049e-05 2.7616292029129272e-06 1.0 0 144.53908241988748 8.806493317523383 315.5387924390507 9.29776042662653
1422 430.28 25.524768072290957 1.826786404690461e-05 2.1013373770680346e-06 1.0 0 91.3487189636356 5.869578461507155 201.7931581230134 6.127498205564555
1425 425.53 26.19975467447939 1.9442402095124505e-05 3.5648542195611725e-06 1.0 0 47.284097541085984 5.124567417341745 117.16511534534573 5.3482091761571
1428 420.75 27.627043605309172 1.1704017059230385e-05 3.4426507157558186e-06 1.0 0 34.41606340525337 7.01525533866335 51.30065825045151 7.306014701953665
1431 415.92 28.08847090570821 1.9950990548885717e-05 8.860339413825196e-06 1.0 0 17.25752679730847 4.254983843845669 32.58002057928765 4.4350386090321505
1434 411.14 25.7942155623279 3.6742502796735465e-06 1.9554733540918737e-06 1.0 0 56.76965054680217 44.75477643771091 -26.68285785605846 44.97033583028473
1440 401.48 37.23333440765817 9.928509067824279e-06 3.4301448605866822e-06 1.0 0 35.618164056623854 9.116888599264193 6.186133338120771 9.35110963725162
1443 396.76 47.41732457677498 1.5232055823360499e-05 2.9278093368330126e-06 1.0 0 34.439434141196024 3.9645163303324256 30.790691305327883 4.171130061873414
1446 392.0 48.79043745790772 2.0703951373417856e-05 2.634091847947035e-06 1.0 0 58.54520095835048 4.273087849601712 58.509648756276924 4.458429046663578
1449 387.23 53.57266683813124 2.3454977274731652e-05 1.289157665949041e-06 1.0 0 121.30937572131214 3.435931530219782 88.46877976461337 3.619303985672573
1452 382.43 55.63179459144235 2.889663159983025e-05 9.253415498386588e-07 1.0 0 220.10468620679742 3.138065803393613 133.36963930660932 3.35925570094631
1455 377.75 57.43197071517926 3.831932490567292e-05 1.5841642885612456e-06 1.0 0 344.8383392481738 6.463928021034074 169.3901448393468 7.163732065096477
1458 377.49 76.75785641737527 3.8211359057413566e-05 1.1822865937358123e-06 1.0 0 342.42502825977994 4.694125433700471 178.78228752478853 5.065716659141181
1461 372.86 79.7794632389924 5.1662062379813616e-05 1.2250494460529388e-06 1.0 0 418.23325562037087 3.784619949453627 176.21507592625343 4.17676436151303
1464 368.07 80.68500592835828 6.960029262634439e-05 1.6759919592709104e-06 1.0 0 330.7398354148143 2.8386369415337307 121.9759431690091 3.1576103963948814
1467 363.32 79.31893882397956 9.915890828375374e-05 3.5262538833785247e-06 1.0 0 183.88577292129906 2.2818297241673635 58.82043111438765 2.5371414275635873
1470 358.47 80.43000915145912 0.00015629991224565365 6.3718126842940386e-06 1.0 0 151.35481789527998 2.01426691559757 28.928613893619957 2.267289547182471
