7.9 5.61162
10.5    2.87419
13.5    1.03496
14.5    0.98986
21.8    0.29374
30  0.10497
38.4    0.06547
45  0.03049
54  0.01757
63  0.01196
76.56642    0.00963
80.72   0.00688
88.69796    0.00561
98.16054    0.00612
104.42769   0.00521
109.40269   0.00414
113.14808   0.00448
122.47385   0.00381
127.695 0.00418
130.68577   0.00474
137.48731   0.0044
142.40577   0.00421
147.34692   0.00369
152.28462   0.00345
157.22115   0.00438
162.17923   0.00349
167.14538   0.00473
172.28462   0.00443
177.12885   0.00397
182.10692   0.00353
186.92615   0.0051
191.73577   0.00478
196.58538   0.00524
206.28962   0.00412
230.4175    0.00567
249.77269   0.00608
2.953e2   0.00595
1.0549e2  0.00419
1.35e2    0.00377
1.55e2    0.0038
1.75e2    0.0041
2.7285e2  0.00633
3.313e2   0.0033
3.05e2    0.00691
3.0762e2  0.00481
3.27e2    0.00586
3.34e2    0.003
3.3836e2  0.00186
288 0.00828
298.5   0.00782
316.2   0.00682
362.9   6.33271e-5
331.2   0.004
339 0.00208
351.9   2.86943e-4
356.6   1.05728e-4
367.6   4.7e-5
375 3.79752e-5
375.9   3e-5
380.9   4e-5
382.8   1.9e-5
383.6   1.9e-5
385.8   3e-5
4.13619e2 3.48067e-5
4.08753e2 3.0216e-5
4.03889e2 2.83083e-5
4.49335e2 7.82662e-5
4.86408e2 1.3585e-4
4.84767e2 9.36545e-5
4.8045e2  9.62022e-5
4.75882e2 1.03179e-4
4.71206e2 1.05641e-4
4.66509e2 9.08023e-5
4.61671e2 8.86772e-5
4.56252e2 9.76766e-5
4.49335e2 7.27035e-5
4.52057e2 8.29445e-5
4.47406e2 7.66488e-5
4.42616e2 7.01014e-5
4.37836e2 6.89384e-5
4.33009e2 5.7671e-5
4.28179e2 5.18195e-5
4.2334e2  4.55771e-5
4.185e2   3.96922e-5
4.13619e2 3.48067e-5
4.08753e2 3.0216e-5
4.03889e2 2.83083e-5
4.49335e2 7.82662e-5
