#i	omega	re	im	r	phi
0.000000000000000000e+00	2.999999999999999864e-07	9.994189999999999463e-01	-1.291819999999999947e-02
1.000000000000000000e+00	9.399999999999998939e-07	9.825690000000000257e-01	-7.468360000000000276e-02
2.000000000000000000e+00	1.579999999999999907e-06	9.444430000000000325e-01	-1.279949999999999977e-01
3.000000000000000000e+00	2.219999999999999921e-06	8.907359999999999722e-01	-1.683959999999999901e-01
4.000000000000000000e+00	2.860000000000000146e-06	8.280340000000000478e-01	-1.945729999999999960e-01
5.000000000000000000e+00	3.499999999999999524e-06	7.621069999999999789e-01	-2.077459999999999862e-01
6.000000000000000000e+00	4.140000000000000173e-06	6.971110000000000362e-01	-2.104910000000000114e-01
7.000000000000000000e+00	4.779999999999999974e-06	6.355730000000000546e-01	-2.057110000000000050e-01
8.000000000000000000e+00	5.419999999999999776e-06	5.787560000000000482e-01	-1.960119999999999918e-01
9.000000000000000000e+00	6.060000000000000425e-06	5.270930000000000337e-01	-1.834629999999999872e-01
1.000000000000000000e+01	6.700000000000000226e-06	4.805249999999999799e-01	-1.695699999999999985e-01
1.100000000000000000e+01	7.339999999999999181e-06	4.387440000000000229e-01	-1.553609999999999991e-01
1.200000000000000000e+01	7.979999999999999829e-06	4.013329999999999953e-01	-1.414910000000000057e-01
1.300000000000000000e+01	8.620000000000000478e-06	3.678460000000000063e-01	-1.283479999999999899e-01
1.400000000000000000e+01	9.259999999999999433e-06	3.378530000000000144e-01	-1.161360000000000031e-01
1.500000000000000000e+01	9.900000000000000081e-06	3.109609999999999874e-01	-1.049439999999999956e-01
1.600000000000000000e+01	1.054000000000000073e-05	2.868149999999999866e-01	-9.478069999999999551e-02
1.700000000000000000e+01	1.118000000000000138e-05	2.650939999999999963e-01	-8.560990000000000266e-02
1.800000000000000000e+01	1.182000000000000203e-05	2.455239999999999922e-01	-7.737140000000000684e-02
1.900000000000000000e+01	1.245999999999999929e-05	2.278580000000000050e-01	-6.999270000000000491e-02
2.000000000000000000e+01	1.309999999999999994e-05	2.118770000000000098e-01	-6.339640000000000553e-02
2.100000000000000000e+01	1.373999999999999889e-05	1.973860000000000059e-01	-5.750220000000000331e-02
2.200000000000000000e+01	1.438000000000000123e-05	1.842239999999999989e-01	-5.222910000000000053e-02
2.300000000000000000e+01	1.502000000000000019e-05	1.722509999999999875e-01	-4.751219999999999749e-02
2.400000000000000000e+01	1.565999999999999914e-05	1.613380000000000092e-01	-4.330019999999999702e-02
2.500000000000000000e+01	1.629999999999999979e-05	1.513599999999999945e-01	-3.954180000000000195e-02
2.600000000000000000e+01	1.694000000000000044e-05	1.422140000000000071e-01	-3.618190000000000295e-02
2.700000000000000000e+01	1.758000000000000109e-05	1.338119999999999865e-01	-3.317250000000000060e-02
2.800000000000000000e+01	1.822000000000000174e-05	1.260819999999999996e-01	-3.047340000000000118e-02
2.900000000000000000e+01	1.886000000000000239e-05	1.189560000000000062e-01	-2.805030000000000023e-02
3.000000000000000000e+01	1.949999999999999626e-05	1.123730000000000007e-01	-2.586969999999999895e-02
3.100000000000000000e+01	2.014000000000000368e-05	1.062810000000000005e-01	-2.389749999999999860e-02
3.200000000000000000e+01	2.077999999999999756e-05	1.006399999999999934e-01	-2.210530000000000134e-02
3.300000000000000000e+01	2.141999999999999820e-05	9.541869999999999519e-02	-2.047159999999999952e-02
3.400000000000000000e+01	2.206000000000000224e-05	9.058479999999999310e-02	-1.898499999999999840e-02
3.500000000000000000e+01	2.269999999999999950e-05	8.609749999999999348e-02	-1.763479999999999909e-02
3.600000000000000000e+01	2.334000000000000354e-05	8.191389999999999783e-02	-1.639960000000000029e-02
3.700000000000000000e+01	2.397999999999999741e-05	7.800940000000000651e-02	-1.525040000000000076e-02
3.800000000000000000e+01	2.462000000000000145e-05	7.437050000000000605e-02	-1.417140000000000066e-02
3.900000000000000000e+01	2.525999999999999871e-05	7.098619999999999930e-02	-1.316220000000000064e-02
4.000000000000000000e+01	2.589999999999999936e-05	6.783809999999999840e-02	-1.222709999999999943e-02
4.100000000000000000e+01	2.654000000000000339e-05	6.490219999999999323e-02	-1.136790000000000023e-02
4.200000000000000000e+01	2.717999999999999727e-05	6.215840000000000254e-02	-1.058049999999999963e-02
4.300000000000000000e+01	2.782000000000000130e-05	5.959310000000000301e-02	-9.860630000000000436e-03
4.400000000000000000e+01	2.846000000000000195e-05	5.719280000000000197e-02	-9.208130000000000134e-03
4.500000000000000000e+01	2.909999999999999921e-05	5.494389999999999691e-02	-8.622950000000000753e-03
4.600000000000000000e+01	2.973999999999999986e-05	5.282850000000000046e-02	-8.102569999999999911e-03
4.700000000000000000e+01	3.038000000000000051e-05	5.082799999999999818e-02	-7.641499999999999855e-03
4.800000000000000000e+01	3.102000000000000455e-05	4.892400000000000221e-02	-7.228369999999999587e-03
4.900000000000000000e+01	3.165999999999999842e-05	4.710419999999999885e-02	-6.849609999999999900e-03
5.000000000000000000e+01	3.229999999999999229e-05	4.536439999999999917e-02	-6.491010000000000182e-03
5.100000000000000000e+01	3.293999999999999972e-05	4.370910000000000073e-02	-6.143939999999999645e-03
5.200000000000000000e+01	3.358000000000000037e-05	4.214699999999999697e-02	-5.809940000000000417e-03
5.300000000000000000e+01	3.422000000000000101e-05	4.067740000000000244e-02	-5.500389999999999967e-03
5.400000000000000000e+01	3.486000000000000166e-05	3.928960000000000091e-02	-5.223870000000000249e-03
5.500000000000000000e+01	3.550000000000000231e-05	3.796759999999999718e-02	-4.979009999999999860e-03
