#i	t	cos	sin
136	6.8e-05	0.000627903	0.000470415
137	6.85e-05	0.000603476	0.000466858
138	6.9e-05	0.000573469	0.000462233
139	6.95e-05	0.00054121	0.000453795
140	7e-05	0.000509356	0.000440634
141	7.05e-05	0.000478917	0.000423888
142	7.1e-05	0.000450668	0.0004062
143	7.15e-05	0.000425018	0.000388047
144	7.2e-05	0.000400438	0.000369982
145	7.25e-05	0.000377763	0.000352511
146	7.3e-05	0.000355434	0.000335146
147	7.35e-05	0.00033365	0.000318639
148	7.4e-05	0.000312876	0.000299963
149	7.45e-05	0.000294865	0.000280975
150	7.5e-05	0.000280952	0.000261834
151	7.55e-05	0.000270012	0.000245065
152	7.6e-05	0.00026254	0.000231002
153	7.65e-05	0.000257541	0.000218429
154	7.7e-05	0.000254172	0.00020961
155	7.75e-05	0.000251966	0.000205515
156	7.8e-05	0.000248035	0.000202986
157	7.85e-05	0.000241296	0.000202083
158	7.9e-05	0.000229176	0.000200286
159	7.95e-05	0.000214104	0.000194173
160	8e-05	0.00019977	0.000185656
161	8.05e-05	0.000185464	0.000177725
162	8.1e-05	0.000171429	0.000168292
163	8.15e-05	0.00016032	0.000157795
164	8.2e-05	0.000150226	0.000146636
165	8.25e-05	0.000140979	0.000134914
166	8.3e-05	0.00013379	0.000125073
167	8.35e-05	0.000129847	0.0001166
168	8.4e-05	0.000128362	0.000109073
169	8.45e-05	0.000127209	0.000101849
170	8.5e-05	0.000127954	9.50767e-05
171	8.55e-05	0.000129606	8.87079e-05
172	8.6e-05	0.000131265	8.4595e-05
173	8.65e-05	0.000130863	8.02861e-05
174	8.7e-05	0.000129256	7.52206e-05
175	8.75e-05	0.000125872	7.28817e-05
176	8.8e-05	0.000120352	7.00258e-05
177	8.85e-05	0.000112496	6.75101e-05
178	8.9e-05	0.000104174	6.4404e-05
179	8.95e-05	9.5083e-05	6.08626e-05
180	9e-05	8.65066e-05	5.5984e-05
181	9.05e-05	7.86643e-05	5.06658e-05
182	9.1e-05	7.15777e-05	4.50994e-05
183	9.15e-05	6.72775e-05	3.76734e-05
184	9.2e-05	6.52862e-05	2.93484e-05
185	9.25e-05	6.67473e-05	2.37994e-05
186	9.3e-05	7.06713e-05	2.20196e-05
187	9.35e-05	7.4887e-05	2.44695e-05
188	9.4e-05	7.64627e-05	3.0892e-05
189	9.45e-05	7.44459e-05	3.87095e-05
190	9.5e-05	6.84483e-05	4.51451e-05
191	9.55e-05	6.03052e-05	4.98362e-05
192	9.6e-05	5.14263e-05	5.16749e-05
193	9.65e-05	4.51284e-05	5.1288e-05
194	9.7e-05	4.15289e-05	4.74508e-05
195	9.75e-05	3.77643e-05	4.35512e-05
196	9.8e-05	3.48536e-05	3.87296e-05
197	9.85e-05	3.19316e-05	3.46278e-05
198	9.9e-05	2.78608e-05	3.2672e-05
199	9.95e-05	2.41292e-05	3.17066e-05
200	0.0001	2.11515e-05	3.2488e-05
201	0.0001005	1.76669e-05	3.19327e-05
202	0.000101	1.37534e-05	3.03818e-05
203	0.0001015	1.15462e-05	2.91064e-05
204	0.000102	8.90543e-06	2.79389e-05
205	0.0001025	6.43302e-06	2.5979e-05
206	0.000103	5.29731e-06	2.36782e-05
207	0.0001035	5.71061e-06	2.03211e-05
208	0.000104	7.21516e-06	1.47679e-05
209	0.0001045	1.18689e-05	7.75367e-06
210	0.000105	1.92351e-05	4.07859e-07
211	0.0001055	2.68409e-05	-6.21577e-06
212	0.000106	3.37558e-05	-1.09454e-05
213	0.0001065	3.86799e-05	-1.66474e-05
214	0.000107	4.35088e-05	-2.32671e-05
215	0.0001075	4.65934e-05	-3.30632e-05
216	0.000108	5.07013e-05	-4.5205e-05
217	0.0001085	5.80489e-05	-5.68597e-05
218	0.000109	6.73403e-05	-6.66409e-05
219	0.0001095	7.6326e-05	-7.3468e-05
220	0.00011	8.34041e-05	-7.85328e-05
221	0.0001105	8.91192e-05	-8.28407e-05
222	0.000111	9.25122e-05	-8.61116e-05
223	0.0001115	9.50061e-05	-8.6379e-05
224	0.000112	9.64692e-05	-8.3338e-05
225	0.0001125	9.76845e-05	-7.68076e-05
226	0.000113	9.6557e-05	-6.81299e-05
227	0.0001135	9.40985e-05	-5.76298e-05
228	0.000114	9.32494e-05	-4.64153e-05
229	0.0001145	9.40297e-05	-3.33877e-05
230	0.000115	9.44698e-05	-2.00383e-05
231	0.0001155	9.47651e-05	-7.1381e-06
232	0.000116	9.51963e-05	2.22188e-06
233	0.0001165	9.68877e-05	8.04328e-06
234	0.000117	9.99226e-05	1.31497e-05
235	0.0001175	0.000105526	1.70235e-05
236	0.000118	0.000111387	2.06415e-05
237	0.0001185	0.000115727	2.47427e-05
238	0.000119	0.000118222	3.10443e-05
239	0.0001195	0.000116928	4.00201e-05
240	0.00012	0.00011117	4.70737e-05
241	0.0001205	0.000104066	5.07375e-05
242	0.000121	9.69306e-05	5.31303e-05
243	0.0001215	9.13626e-05	5.46302e-05
244	0.000122	8.96763e-05	5.76693e-05
245	0.0001225	8.78332e-05	6.22711e-05
246	0.000123	8.52141e-05	6.86032e-05
247	0.0001235	8.22205e-05	7.33906e-05
248	0.000124	7.94133e-05	7.7181e-05
249	0.0001245	7.73165e-05	8.08455e-05
250	0.000125	7.4258e-05	8.34654e-05
251	0.0001255	7.07107e-05	8.56176e-05
252	0.000126	6.81293e-05	8.8379e-05
253	0.0001265	6.70834e-05	9.21157e-05
254	0.000127	6.71508e-05	9.43957e-05
255	0.0001275	6.67664e-05	9.37597e-05
256	0.000128	6.60849e-05	9.14027e-05
257	0.0001285	6.69319e-05	8.84569e-05
258	0.000129	6.8392e-05	8.46487e-05
259	0.0001295	6.823e-05	8.04713e-05
260	0.00013	6.65244e-05	7.61026e-05
261	0.0001305	6.44576e-05	7.04236e-05
262	0.000131	6.30855e-05	6.32597e-05
263	0.0001315	5.99244e-05	5.57665e-05
264	0.000132	5.78253e-05	4.77201e-05
265	0.0001325	5.5629e-05	3.93821e-05
266	0.000133	5.42967e-05	3.33687e-05
267	0.0001335	5.42249e-05	2.90873e-05
268	0.000134	5.52534e-05	2.55393e-05
269	0.0001345	5.55084e-05	2.31788e-05
270	0.000135	5.52841e-05	2.02297e-05
271	0.0001355	5.50856e-05	1.67062e-05
272	0.000136	5.41994e-05	1.22018e-05
273	0.0001365	5.40358e-05	7.26697e-06
274	0.000137	5.42369e-05	2.61375e-06
275	0.0001375	5.39174e-05	-2.67579e-06
276	0.000138	5.4686e-05	-7.10184e-06
277	0.0001385	5.57232e-05	-8.79237e-06
278	0.000139	5.52327e-05	-7.72278e-06
279	0.0001395	5.3713e-05	-4.21356e-06
280	0.00014	4.94965e-05	-7.57372e-07
281	0.0001405	4.38702e-05	1.65427e-06
282	0.000141	3.95493e-05	4.17166e-06
283	0.0001415	3.53612e-05	8.28901e-06
284	0.000142	2.74393e-05	1.35335e-05
285	0.0001425	1.76042e-05	1.63273e-05
286	0.000143	7.82779e-06	1.84371e-05
287	0.0001435	1.03685e-06	1.7191e-05
288	0.000144	-2.27863e-06	1.29728e-05
289	0.0001445	-1.83992e-06	8.03568e-06
290	0.000145	1.32243e-06	6.30689e-06
291	0.0001455	7.52371e-06	6.52028e-06
292	0.000146	1.52291e-05	9.32605e-06
293	0.0001465	2.10648e-05	1.37184e-05
294	0.000147	2.53083e-05	1.78293e-05
295	0.0001475	2.78735e-05	2.26591e-05
296	0.000148	2.85433e-05	2.66957e-05
297	0.0001485	2.65717e-05	2.7987e-05
298	0.000149	2.38452e-05	2.55579e-05
299	0.0001495	2.06599e-05	1.98255e-05
300	0.00015	1.94183e-05	1.10235e-05
301	0.0001505	2.28147e-05	2.51554e-07
302	0.000151	3.15692e-05	-8.6225e-06
303	0.0001515	4.3713e-05	-1.45998e-05
304	0.000152	5.8236e-05	-1.59878e-05
305	0.0001525	7.01697e-05	-1.36535e-05
306	0.000153	7.93368e-05	-7.17703e-06
307	0.0001535	8.21709e-05	1.4888e-06
308	0.000154	7.9694e-05	9.1469e-06
309	0.0001545	7.46416e-05	1.46628e-05
310	0.000155	6.60519e-05	1.49766e-05
311	0.0001555	5.69108e-05	1.04891e-05
312	0.000156	4.74334e-05	2.63687e-06
313	0.0001565	4.17281e-05	-9.11012e-06
314	0.000157	4.05673e-05	-2.08961e-05
315	0.0001575	4.31016e-05	-2.93474e-05
316	0.000158	4.82288e-05	-3.38628e-05
317	0.0001585	5.18927e-05	-3.54808e-05
318	0.000159	5.57386e-05	-3.49976e-05
319	0.0001595	5.96949e-05	-3.22957e-05
320	0.00016	6.34999e-05	-2.94227e-05
321	0.0001605	6.8114e-05	-2.83482e-05
322	0.000161	7.29171e-05	-2.72538e-05
323	0.0001615	7.78609e-05	-2.73037e-05
324	0.000162	8.18255e-05	-2.77589e-05
325	0.0001625	8.67189e-05	-2.88422e-05
326	0.000163	9.23027e-05	-3.01402e-05
327	0.0001635	9.58691e-05	-2.97996e-05
328	0.000164	9.77924e-05	-2.92738e-05
329	0.0001645	9.73265e-05	-2.86837e-05
330	0.000165	9.7659e-05	-3.02651e-05
331	0.0001655	9.94969e-05	-3.10304e-05
332	0.000166	0.000102187	-3.01731e-05
333	0.0001665	0.000103582	-2.82843e-05
334	0.000167	0.00010531	-2.61383e-05
335	0.0001675	0.000108699	-2.1685e-05
336	0.000168	0.000113455	-1.28559e-05
337	0.0001685	0.000117874	9.27485e-08
338	0.000169	0.000117071	1.76899e-05
339	0.0001695	0.000112259	3.36683e-05
340	0.00017	0.000104536	4.61991e-05
341	0.0001705	9.45263e-05	5.38609e-05
342	0.000171	8.31945e-05	5.79078e-05
343	0.0001715	7.30094e-05	6.07928e-05
344	0.000172	6.39563e-05	6.02117e-05
345	0.0001725	5.78045e-05	5.75119e-05
346	0.000173	5.48457e-05	5.63209e-05
347	0.0001735	5.16128e-05	5.93908e-05
348	0.000174	4.7504e-05	6.42845e-05
349	0.0001745	4.04299e-05	7.17187e-05
350	0.000175	3.15501e-05	7.7616e-05
351	0.0001755	2.32195e-05	7.95189e-05
352	0.000176	1.68354e-05	7.74321e-05
353	0.0001765	1.45156e-05	7.24952e-05
354	0.000177	1.76962e-05	6.79812e-05
355	0.0001775	2.20198e-05	6.69019e-05
356	0.000178	2.60767e-05	6.70945e-05
357	0.0001785	2.87971e-05	6.76948e-05
358	0.000179	3.3411e-05	6.72237e-05
359	0.0001795	3.98764e-05	6.93112e-05
360	0.00018	4.5461e-05	7.32191e-05
361	0.0001805	4.96614e-05	7.8151e-05
362	0.000181	5.18939e-05	8.30157e-05
363	0.0001815	5.35791e-05	8.44499e-05
364	0.000182	5.50464e-05	8.31362e-05
365	0.0001825	5.83506e-05	8.09258e-05
366	0.000183	6.18047e-05	7.8857e-05
367	0.0001835	6.38037e-05	7.91555e-05
368	0.000184	6.66926e-05	8.04374e-05
369	0.0001845	6.82307e-05	8.32211e-05
370	0.000185	6.7952e-05	8.77163e-05
371	0.0001855	6.54772e-05	9.34829e-05
372	0.000186	6.44819e-05	9.92017e-05
373	0.0001865	6.30214e-05	0.000106786
374	0.000187	6.02818e-05	0.000115924
375	0.0001875	5.68446e-05	0.000127501
376	0.000188	5.11175e-05	0.000138982
377	0.0001885	4.2922e-05	0.000148907
378	0.000189	3.29529e-05	0.000158388
379	0.0001895	2.17034e-05	0.000167723
380	0.00019	8.90998e-06	0.000174518
381	0.0001905	-3.8186e-06	0.00017914
