#i	t	cos	sin
0	0	1	0
1	5e-07	0.860296	0.470774
2	1e-06	0.523765	0.801829
3	1.5e-06	0.0761071	0.932402
4	2e-06	-0.374203	0.838221
5	2.5e-06	-0.718371	0.542659
6	3e-06	-0.866557	0.134183
7	3.5e-06	-0.808214	-0.300767
8	4e-06	-0.556327	-0.633035
9	4.5e-06	-0.190147	-0.80369
10	5e-06	0.21397	-0.784743
11	5.5e-06	0.559804	-0.56786
12	6e-06	0.75349	-0.21673
13	6.5e-06	0.748999	0.170835
14	7e-06	0.563696	0.50398
15	7.5e-06	0.251117	0.691643
16	8e-06	-0.108279	0.714488
17	8.5e-06	-0.437411	0.55973
18	9e-06	-0.644502	0.273339
19	9.5e-06	-0.687395	-0.0678732
20	1e-05	-0.558458	-0.380181
21	1.05e-05	-0.295814	-0.589391
22	1.1e-05	0.0154712	-0.650875
23	1.15e-05	0.314195	-0.552244
24	1.2e-05	0.524568	-0.325482
25	1.25e-05	0.605142	-0.0355092
26	1.3e-05	0.541725	0.24829
27	1.35e-05	0.346397	0.46652
28	1.4e-05	0.0783426	0.564451
29	1.45e-05	-0.197715	0.525724
30	1.5e-05	-0.411241	0.35534
31	1.55e-05	-0.523927	0.112375
32	1.6e-05	-0.514348	-0.144708
33	1.65e-05	-0.371062	-0.366548
34	1.7e-05	-0.154808	-0.490565
35	1.75e-05	0.101798	-0.487981
36	1.8e-05	0.315849	-0.373356
37	1.85e-05	0.444667	-0.165444
38	1.9e-05	0.461032	0.0656771
39	1.95e-05	0.367443	0.274357
40	2e-05	0.191914	0.41795
41	2.05e-05	-0.0323303	0.44572
42	2.1e-05	-0.232471	0.372061
43	2.15e-05	-0.373564	0.212535
44	2.2e-05	-0.421165	0.00937943
45	2.25e-05	-0.36728	-0.192874
46	2.3e-05	-0.219724	-0.339447
47	2.35e-05	-0.0336497	-0.385104
48	2.4e-05	0.15209	-0.343199
49	2.45e-05	0.293332	-0.222267
50	2.5e-05	0.357727	-0.0540675
51	2.55e-05	0.337883	0.125049
52	2.6e-05	0.223821	0.267848
53	2.65e-05	0.0672245	0.339691
54	2.7e-05	-0.101668	0.327614
55	2.75e-05	-0.242086	0.230717
56	2.8e-05	-0.319472	0.0827212
57	2.85e-05	-0.317015	-0.073774
58	2.9e-05	-0.238565	-0.213163
59	2.95e-05	-0.109923	-0.293155
60	3e-05	0.0476633	-0.298639
61	3.05e-05	0.183861	-0.237584
62	3.1e-05	0.271687	-0.116794
63	3.15e-05	0.290392	0.0343413
64	3.2e-05	0.229633	0.165623
65	3.25e-05	0.119939	0.25119
66	3.3e-05	-0.0152669	0.272229
67	3.35e-05	-0.141943	0.230561
