# Messungs_ID Temperature[K] Phase[degree] T2[s] T2_err Beta Beta_err M0 M0_err Moff Moff_err
1476 353.6 83.62863409872548 4.55903392760542e-05 7.553954738420712e-06 1.4720955940960934 0.2551996612859666 595.5522706117756 146.6958194390505 3.725092470144268 1.5185197677538604
1479 348.82 85.42035267752811 3.511588444580887e-05 7.094668738934442e-06 0.8196549409854591 0.08675360415329392 2103.7760920369687 382.788664932604 2.4097117868754254 3.109182423149567
1482 344.02 86.31484601557815 8.673550472877325e-05 1.9664881492340918e-06 0.8778130283030473 0.0166241654568265 1922.6306859201275 37.1433353946275 4.813186937161872 1.9898047949999866
1485 339.25 85.9408443540964 0.0001788773343061369 1.7179568579526647e-06 0.888577372745705 0.012226071664078563 1944.762068316835 19.530968083446442 7.228912651632047 3.9756130343606237
1488 334.54 87.43840424704825 0.0003508603368679997 6.789469466218972e-06 0.9471074489178345 0.02898931031358719 1865.754649827972 40.34160759377142 26.67192343489781 22.263351018814742
1491 329.67 89.49669795690757 0.0008535106723225844 9.565652126014813e-05 0.8478223178979458 0.03815212742368517 2244.5434034460754 150.19961448836477 -276.7916109999881 133.94614656822912
1494 324.87 89.92460781150558 0.0013035918848541995 0.00029620473494939805 0.8335046755420712 0.04844842821780205 2246.384487643359 292.5667965466284 -277.2488656463046 277.46638599585424
1497 320.06 -89.29265949368086 0.001649742127326151 0.0006815600623040716 0.8173956294291097 0.06926773299417621 2207.7786669334178 518.4469320044383 -227.84077926037065 500.0650074567442
1500 315.22 -88.96363923680057 0.003436127007254311 0.003821957902729091 0.7806533219451206 0.09777112641298508 3082.707653443775 1985.0426535919337 -1106.7778631805431 1962.047928777466
1503 310.45 -87.60033718756843 0.003356496951184554 0.005060538133982265 0.7393703287060889 0.1310706183183786 2748.7235726114745 2248.8670027308403 -752.4546179431467 2215.800078114551
