#i	t	cos	sin
0	0	0.4	0
1	5e-07	0.39789	0.0198176
2	1e-06	0.393471	0.0391827
3	1.5e-06	0.387861	0.0580709
4	2e-06	0.381337	0.0764744
5	2.5e-06	0.373967	0.094342
6	3e-06	0.365794	0.111691
7	3.5e-06	0.356858	0.128451
8	4e-06	0.347176	0.144639
9	4.5e-06	0.336794	0.160197
10	5e-06	0.325739	0.175126
11	5.5e-06	0.314053	0.189362
12	6e-06	0.301804	0.202892
13	6.5e-06	0.289021	0.21569
14	7e-06	0.275736	0.227718
15	7.5e-06	0.261988	0.239009
16	8e-06	0.247834	0.249508
17	8.5e-06	0.233299	0.259225
18	9e-06	0.218412	0.268134
19	9.5e-06	0.203253	0.276215
20	1e-05	0.187841	0.283498
21	1.05e-05	0.172213	0.289957
22	1.1e-05	0.15643	0.295579
23	1.15e-05	0.140509	0.300369
24	1.2e-05	0.124519	0.304334
25	1.25e-05	0.108489	0.307495
26	1.3e-05	0.0924425	0.309851
27	1.35e-05	0.0764538	0.311414
28	1.4e-05	0.0605388	0.312185
29	1.45e-05	0.0447462	0.312164
30	1.5e-05	0.0290971	0.311363
31	1.55e-05	0.0136179	0.309805
32	1.6e-05	-0.00163846	0.307486
33	1.65e-05	-0.0166374	0.304465
34	1.7e-05	-0.0313259	0.300758
35	1.75e-05	-0.0457107	0.296363
36	1.8e-05	-0.05973	0.291303
37	1.85e-05	-0.0733577	0.285607
38	1.9e-05	-0.08658	0.2793
39	1.95e-05	-0.0993828	0.272401
40	2e-05	-0.11174	0.264943
41	2.05e-05	-0.123605	0.25695
42	2.1e-05	-0.13497	0.248454
43	2.15e-05	-0.145796	0.239504
44	2.2e-05	-0.156098	0.230104
45	2.25e-05	-0.165819	0.220286
46	2.3e-05	-0.174975	0.2101
47	2.35e-05	-0.183554	0.19956
48	2.4e-05	-0.191538	0.188684
49	2.45e-05	-0.19892	0.177536
50	2.5e-05	-0.205689	0.166115
51	2.55e-05	-0.211831	0.154485
52	2.6e-05	-0.217326	0.14265
53	2.65e-05	-0.22221	0.130658
54	2.7e-05	-0.22645	0.118547
55	2.75e-05	-0.230075	0.10636
56	2.8e-05	-0.233055	0.0941051
57	2.85e-05	-0.23542	0.0818335
