SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/11/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

216 points for Peak 1

Converged after 213 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -1.730e-02     1.019e+00  
T     =       5.626s      148.546s  

RSS   =    3.709e-03
SD    =    4.144e-03

Point       Tau          Expt          Calc       Difference
  101     101.000s     5.133e-01     5.163e-01    3.053e-03
  102     102.000s     5.098e-01     5.129e-01    3.052e-03
  103     103.000s     5.063e-01     5.094e-01    3.120e-03
  104     104.000s     5.026e-01     5.060e-01    3.433e-03
  105     105.000s     4.986e-01     5.026e-01    4.046e-03
  106     106.000s     4.946e-01     4.992e-01    4.604e-03
  107     107.000s     4.911e-01     4.959e-01    4.754e-03
  108     108.000s     4.880e-01     4.926e-01    4.554e-03
  109     109.000s     4.850e-01     4.893e-01    4.221e-03
  110     110.000s     4.822e-01     4.860e-01    3.767e-03
  111     111.000s     4.795e-01     4.827e-01    3.255e-03
  112     112.000s     4.763e-01     4.795e-01    3.174e-03
  113     113.000s     4.723e-01     4.763e-01    3.992e-03
  114     114.000s     4.678e-01     4.731e-01    5.304e-03
  115     115.000s     4.639e-01     4.699e-01    5.997e-03
  116     116.000s     4.612e-01     4.667e-01    5.541e-03
  117     117.000s     4.589e-01     4.636e-01    4.695e-03
  118     118.000s     4.559e-01     4.605e-01    4.549e-03
  119     119.000s     4.522e-01     4.574e-01    5.163e-03
  120     120.000s     4.487e-01     4.543e-01    5.593e-03
  121     121.000s     4.461e-01     4.513e-01    5.145e-03
  122     122.000s     4.442e-01     4.483e-01    4.102e-03
  123     123.000s     4.421e-01     4.453e-01    3.199e-03
  124     124.000s     4.394e-01     4.423e-01    2.857e-03
  125     125.000s     4.362e-01     4.393e-01    3.059e-03
  126     126.000s     4.328e-01     4.364e-01    3.570e-03
  127     127.000s     4.294e-01     4.334e-01    3.984e-03
  128     128.000s     4.267e-01     4.305e-01    3.863e-03
  129     129.000s     4.244e-01     4.276e-01    3.194e-03
  130     130.000s     4.222e-01     4.248e-01    2.542e-03
  131     131.000s     4.195e-01     4.219e-01    2.414e-03
  132     132.000s     4.165e-01     4.191e-01    2.555e-03
  133     133.000s     4.140e-01     4.163e-01    2.262e-03
  134     134.000s     4.121e-01     4.135e-01    1.360e-03
  135     135.000s     4.102e-01     4.107e-01    4.641e-04
  136     136.000s     4.078e-01     4.079e-01    1.317e-04
  137     137.000s     4.050e-01     4.052e-01    1.720e-04
  138     138.000s     4.024e-01     4.025e-01    8.998e-05
  139     139.000s     3.999e-01     3.998e-01   -7.196e-05
  140     140.000s     3.969e-01     3.971e-01    2.084e-04
  141     141.000s     3.934e-01     3.944e-01    1.079e-03
  142     142.000s     3.898e-01     3.918e-01    1.956e-03
  143     143.000s     3.870e-01     3.892e-01    2.192e-03
  144     144.000s     3.847e-01     3.866e-01    1.831e-03
  145     145.000s     3.825e-01     3.840e-01    1.422e-03
  146     146.000s     3.801e-01     3.814e-01    1.255e-03
  147     147.000s     3.777e-01     3.788e-01    1.086e-03
  148     148.000s     3.756e-01     3.763e-01    6.733e-04
  149     149.000s     3.735e-01     3.738e-01    2.710e-04
  150     150.000s     3.709e-01     3.713e-01    3.768e-04
  151     151.000s     3.677e-01     3.688e-01    1.092e-03
  152     152.000s     3.643e-01     3.663e-01    1.993e-03
  153     153.000s     3.612e-01     3.638e-01    2.642e-03
  154     154.000s     3.584e-01     3.614e-01    2.982e-03
  155     155.000s     3.559e-01     3.590e-01    3.102e-03
  156     156.000s     3.537e-01     3.566e-01    2.891e-03
  157     157.000s     3.519e-01     3.542e-01    2.242e-03
  158     158.000s     3.503e-01     3.518e-01    1.508e-03
  159     159.000s     3.481e-01     3.494e-01    1.293e-03
  160     160.000s     3.454e-01     3.471e-01    1.653e-03
  161     161.000s     3.429e-01     3.448e-01    1.881e-03
  162     162.000s     3.410e-01     3.424e-01    1.412e-03
  163     163.000s     3.395e-01     3.401e-01    6.327e-04
  164     164.000s     3.375e-01     3.379e-01    3.504e-04
  165     165.000s     3.350e-01     3.356e-01    5.978e-04
  166     166.000s     3.328e-01     3.333e-01    5.609e-04
  167     167.000s     3.313e-01     3.311e-01   -1.967e-04
  168     168.000s     3.299e-01     3.289e-01   -1.020e-03
  169     169.000s     3.277e-01     3.267e-01   -1.043e-03
  170     170.000s     3.248e-01     3.245e-01   -3.604e-04
  171     171.000s     3.221e-01     3.223e-01    2.257e-04
  172     172.000s     3.198e-01     3.201e-01    3.809e-04
  173     173.000s     3.175e-01     3.180e-01    5.446e-04
  174     174.000s     3.148e-01     3.159e-01    1.046e-03
  175     175.000s     3.122e-01     3.137e-01    1.513e-03
  176     176.000s     3.103e-01     3.116e-01    1.386e-03
  177     177.000s     3.090e-01     3.096e-01    5.861e-04
  178     178.000s     3.081e-01     3.075e-01   -6.196e-04
  179     179.000s     3.074e-01     3.054e-01   -1.983e-03
  180     180.000s     3.065e-01     3.034e-01   -3.137e-03
  181     181.000s     3.048e-01     3.013e-01   -3.453e-03
  182     182.000s     3.020e-01     2.993e-01   -2.652e-03
  183     183.000s     2.988e-01     2.973e-01   -1.456e-03
  184     184.000s     2.963e-01     2.953e-01   -1.037e-03
  185     185.000s     2.950e-01     2.933e-01   -1.701e-03
  186     186.000s     2.939e-01     2.914e-01   -2.576e-03
  187     187.000s     2.922e-01     2.894e-01   -2.805e-03
  188     188.000s     2.901e-01     2.875e-01   -2.593e-03
  189     189.000s     2.883e-01     2.855e-01   -2.737e-03
  190     190.000s     2.871e-01     2.836e-01   -3.466e-03
  191     191.000s     2.860e-01     2.817e-01   -4.249e-03
  192     192.000s     2.844e-01     2.798e-01   -4.618e-03
  193     193.000s     2.827e-01     2.779e-01   -4.716e-03
  194     194.000s     2.810e-01     2.761e-01   -4.957e-03
  195     195.000s     2.797e-01     2.742e-01   -5.481e-03
  196     196.000s     2.785e-01     2.724e-01   -6.091e-03
  197     197.000s     2.771e-01     2.706e-01   -6.493e-03
  198     198.000s     2.752e-01     2.687e-01   -6.491e-03
  199     199.000s     2.731e-01     2.669e-01   -6.129e-03
  200     200.000s     2.709e-01     2.651e-01   -5.765e-03
  201     201.000s     2.692e-01     2.634e-01   -5.861e-03
  202     202.000s     2.682e-01     2.616e-01   -6.562e-03
  203     203.000s     2.674e-01     2.598e-01   -7.569e-03
  204     204.000s     2.666e-01     2.581e-01   -8.483e-03
  205     205.000s     2.655e-01     2.564e-01   -9.128e-03
  206     206.000s     2.641e-01     2.547e-01   -9.470e-03
  207     207.000s     2.624e-01     2.529e-01   -9.419e-03
  208     208.000s     2.602e-01     2.512e-01   -8.945e-03
  209     209.000s     2.579e-01     2.496e-01   -8.311e-03
  210     210.000s     2.559e-01     2.479e-01   -8.028e-03
  211     211.000s     2.548e-01     2.462e-01   -8.564e-03
  212     212.000s     2.547e-01     2.446e-01   -1.008e-02
  213     213.000s     2.552e-01     2.429e-01   -1.225e-02
  214     214.000s     2.555e-01     2.413e-01   -1.417e-02
  215     215.000s     2.545e-01     2.397e-01   -1.482e-02
  216     216.000s     2.520e-01     2.381e-01   -1.397e-02

============================================================

