#i	t	cos	sin
162	0.010398	0.00462073	-0.000229342
163	0.010462	0.00456619	-0.00022277
164	0.010526	0.00451236	-0.000217094
165	0.01059	0.00445945	-0.000212057
166	0.010654	0.00440764	-0.000207988
167	0.010718	0.00435647	-0.000205169
168	0.010782	0.00430531	-0.000203195
169	0.010846	0.00425404	-0.000201212
170	0.01091	0.00420308	-0.000198594
171	0.010974	0.00415297	-0.000195188
172	0.011038	0.00410404	-0.000191105
173	0.011102	0.00405653	-0.000186636
174	0.011166	0.00401042	-0.000182262
175	0.01123	0.00396535	-0.000178369
176	0.011294	0.00392081	-0.000174968
177	0.011358	0.00387643	-0.000171748
178	0.011422	0.00383213	-0.000168159
179	0.011486	0.00378837	-0.000163579
180	0.01155	0.00374628	-0.000158019
181	0.011614	0.00370671	-0.000152674
182	0.011678	0.00366916	-0.000149147
183	0.011742	0.0036321	-0.000147972
184	0.011806	0.00359442	-0.000148313
185	0.01187	0.00355619	-0.000149043
186	0.011934	0.00351814	-0.00014969
187	0.011998	0.00348078	-0.000150387
188	0.012062	0.0034442	-0.000151397
189	0.012126	0.00340814	-0.000152741
190	0.01219	0.00337236	-0.000154099
191	0.012254	0.00333689	-0.000155061
192	0.012318	0.00330181	-0.000155358
193	0.012382	0.00326718	-0.000154701
194	0.012446	0.0032333	-0.000152837
195	0.01251	0.00320063	-0.000150045
196	0.012574	0.00316903	-0.000147056
197	0.012638	0.00313771	-0.000144138
198	0.012702	0.00310618	-0.000140789
199	0.012766	0.00307478	-0.000136525
200	0.01283	0.0030442	-0.000131475
201	0.012894	0.00301497	-0.000126184
202	0.012958	0.00298745	-0.000121374
203	0.013022	0.00296169	-0.0001179
204	0.013086	0.00293719	-0.000116481
205	0.01315	0.00291306	-0.000117265
206	0.013214	0.00288843	-0.000119738
207	0.013278	0.00286279	-0.00012296
208	0.013342	0.00283614	-0.000125851
209	0.013406	0.00280905	-0.000127565
210	0.01347	0.00278241	-0.000127991
211	0.013534	0.00275661	-0.000127784
