# Messungs_ID Temperature[K] Phase[degree] T1[s] Beta
1298 281.59 -8.0612244898 0.0069591373951 0.62656658252
1299 281.59 -7.65306122449 0.00644693923387 0.66590851081
1300 281.59 -7.24489795918 0.00646624800262 0.681986983226
1301 281.60 -8.0612244898 0.00447392285668 0.793815960355
1307 291.16 -10.1020408163 0.00641937901947 0.686082672524
1308 291.18 -10.5102040816 0.00639975199765 0.616721429725
1309 291.18 -9.69387755102 0.00553443264869 0.66870786167
1310 291.19 -9.28571428571 0.0041159557374 0.669988565953
