# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_error Beta Beta_error
1475 353.7 82.3344044381 0.00028426404852 9.09084190897e-06 0.837157762789 0.0333829905064
1478 348.93 84.7858781523 0.000540383518229 8.88712154351e-06 0.800109061441 0.0149150418063
1481 344.1 85.5857452973 0.000984637473775 1.3790356116e-05 0.731990108121 0.00945986337919
1484 339.33 85.766244903 0.00165431894876 2.89019964161e-05 0.699542362061 0.00859263206757
1487 334.63 86.6261735917 0.00251513930838 6.70264365279e-05 0.688263815312 0.00924641971831
1490 329.76 87.8842874448 0.00351734711414 0.000126620171986 0.696795599435 0.0102839162428
1493 324.97 88.9765697091 0.00436454500981 0.00020161003542 0.707882124288 0.0116598315729
1496 320.16 89.6706563443 0.00495939752998 0.000286796197754 0.717987951308 0.0130274115498
1499 315.3 89.7474809158 0.00546751072691 0.000346444271429 0.715701091432 0.0132627632571
1502 310.52 91.308111326 0.00576194123482 0.00036970154482 0.707306019341 0.0129583229498
