# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_error Beta Beta_error M0 M0_error Moff Moff_err
1475 353.7 82.3344044381 0.00028426404852 9.09084190897e-06 0.837157762789 0.0333829905064 341.479217718 5.12503171241 68.8332352404 4.31116633974
1478 348.93 84.7858781523 0.000540383518229 8.88712154351e-06 0.800109061441 0.0149150418063 696.513278247 4.89955989263 136.666863314 3.86304356416
1481 344.1 85.5857452973 0.000984637473775 1.3790356116e-05 0.731990108121 0.00945986337919 1033.40820259 6.04467356239 192.485322399 4.18098697723
1484 339.33 85.766244903 0.00165431894876 2.89019964161e-05 0.699542362061 0.00859263206757 1234.47971319 8.64328036306 216.431683337 6.04721209523
1487 334.63 86.6261735917 0.00251513930838 6.70264365279e-05 0.688263815312 0.00924641971831 1325.41876399 14.2338850923 223.673064789 11.013208013
1490 329.76 87.8842874448 0.00351734711414 0.000126620171986 0.696795599435 0.0102839162428 1372.39918238 19.8110247975 221.065309913 16.7629677955
1493 324.97 88.9765697091 0.00436454500981 0.00020161003542 0.707882124288 0.0116598315729 1381.67876048 26.2252116997 221.965173407 22.9193474501
1496 320.16 89.6706563443 0.00495939752998 0.000286796197754 0.717987951308 0.0130274115498 1373.11204677 33.1632283613 225.113118197 29.9063302329
1499 315.3 89.7474809158 0.00546751072691 0.000346444271429 0.715701091432 0.0132627632571 1394.87799061 36.9494795282 238.103142346 33.7517901409
1502 310.52 91.308111326 0.00576194123482 0.00036970154482 0.707306019341 0.0129583229498 1402.58084592 37.6376705542 246.22806442 34.3637489198
